id,translate,translate_description,source
8301,sandstone,rock made of sand grains bound by a binder,AI
8302,sandwich,two filled slices of bread or rolls folded together,AI
8303,scanner,device for contactless digital data capture,AI
8304,damage limitation,defense against a negative effect to reduce impact,AI
8305,acting school,educational institution for training actors,AI
8306,fork in the road,place where a path splits,AI
8307,schema,simplified graphic overview of a complex thing,AI
8308,rail transport,movement of vehicles that require rails,AI
8309,description,vivid depiction of a feeling object or event,AI
8310,trickery,crafty way of acting often at the expense of a victim,AI
8311,mediation,attempt to settle a dispute with help of a neutral third person without courts,AI
8312,closing words,ending of a meeting with final remarks,AI
8313,forge,workshop equipped for metal working with forge and anvil,AI
8314,makeup,substance for coloring skin eyes or face,AI
8315,snowman,human like figure made of snow often with carrot nose and stones,AI
8316,snowstorm,heavy snowfall with wind storm,AI
8317,gravel,coarse stone material used for filling or occurring in nature,AI
8318,character,smallest individual sign used in writing,AI
8319,school authority,supervisory authority for schools in Germany and Liechtenstein,AI
8320,swarm,group of animals moving together by swimming or flying,AI
8321,mother in law,mother of the spouse,AI
8322,difficulty level,degree of difficulty,AI
8323,pastoral care,spiritual support for believers,AI
8324,pastor,clergyman who cares for life and faith questions of the congregation,AI
8325,lake shore,shore of a lake,AI
8326,silk,fine textile fiber obtained from silkworm cocoons,AI
8327,scythe,sharp tool with long handle for mowing grass grain and similar,AI
8328,shuttle,space shuttle,AI
8329,safety distance,distance to a possible hazard to increase safety,AI
8330,signal effect,effect as a signal,AI
8331,meaningfulness,quality of being meaningful,AI
8332,sitcom,genre of tv entertainment where jokes arise from a situation,AI
8333,Scandinavian,inhabitant of Scandinavia or person born there,AI
8334,sketch,short stage scene with a humorous punch line,AI
8335,social welfare office,authority responsible for providing social assistance,AI
8336,Spanish woman,female citizen of Spain,AI
8337,savings plan,plan for spending less money,AI
8338,frugality,behavior of using as little as possible of a resource and not wasting,AI
8339,donation account,account set up at a bank for donations for a specific purpose,AI
8340,spider,spider in English,AI
8341,duration,time span of a piece of music play or match,AI
8342,playing,continued playing,AI
8343,venue,place where something is played such as football or theater,AI
8344,move,execution of an allowed action in a turn based game during a players phase,AI
8345,spitz,small breed of dog historically a typical guard dog,AI
8346,sports aid,aid or organization for athletes,AI
8347,office hours,time when a doctor or lawyer is available for consultation,AI
8348,explosive power,force of an explosion,AI
8349,shoot,young shoot of a plant newly growing part,AI
8350,state service,professional activity at a state institution,AI
8351,barbed wire,wire with barbs or blades used to block access,AI
8352,city head,head of a city administration,AI
8353,city forest,forest owned by a city,AI
8354,positioning,determination of a location,AI
8355,statics,study of forces in equilibrium,AI
8356,slope,degree of steepness especially uphill,AI
8357,tax exemption,exemption from the obligation to pay a tax,AI
8358,stairwell,staircase,AI
8359,collegiate church,church belonging to a foundation,AI
8360,mood picture,depiction of a mood,AI
8361,stumbling stone,stone in pavement one can trip over or uneven paving slab,AI
8362,criminal complaint,application for criminal proceedings,AI
8363,fine notice,slip on which a penalty is imposed for misconduct,AI
8364,strategist,person who devises a strategy or acts strategically,AI
8365,strategy paper,paper with strategy,AI
8366,orchard meadow,meadow with high stem fruit trees traditional form of fruit growing,AI
8367,stanza,grouping of several verses into a unit of meaning,AI
8368,whirlpool,small water whirl,AI
8369,stub,rest of an elongated object,AI
8370,hourly wage,pay for one hour of work,AI
8371,brew,infusion water extract,AI
8372,superpower,state that can influence global developments due to outstanding capabilities,AI
8373,synod,legislative assembly for theological and legal issues,AI
8374,tablet,small solid dosage form of medication that can be swallowed,AI
8375,Tajikistan,state in Central Asia,AI
8376,daily routine,way a day proceeds for someone,AI
8377,day trip,excursion lasting a whole day,AI
8378,daily menu,menu valid for one day,AI
8379,day victory,victory of the day,AI
8380,Taipei,capital of Taiwan,AI
8381,tandem,bicycle for two or more people sitting one behind another,AI
8382,dance group,group of dancers,AI
8383,dance school,place where one can learn to dance,AI
8384,teamwork,collaboration in a team,AI
8385,tennis court,playing field for tennis,AI
8386,theater group,group formed to play theater,AI
8387,repayment,repayment portion of an annuity payment,AI
8388,fear of death,fear of dying,AI
8389,top star,very famous star,AI
8390,goal,scored goal,AI
8391,shot on goal,shot of the ball or puck toward the goal,AI
8392,torture,torture,AI
8393,tobacco shop,state licensed shop in Austria selling tobacco newspapers and stationery,AI
8394,supply train,military part of a troop responsible for supplies,AI
8395,training camp,camp where training activities take place,AI
8396,drink,liquid food,AI
8397,means of transport,natural or technical device for transporting goods or people,AI
8398,cluster,cluster or dense group,AI
8399,engine,engine for aircraft or rockets,AI
8400,Czech woman,female citizen of the Czech Republic,AI
