id,translate,translate_description,source
2201,processing,process of changing an object in form or content,AI
2202,condition,requirement on which something depends,AI
2203,female passenger,female person riding next to the driver,AI
2204,fame,being known by many,AI
2205,evidence,proof,AI
2206,gasoline,organic compound; petroleum distillate used as fuel,AI
2207,professional fire brigade,municipal fire brigade with full-time staff,AI
2208,procurement,obtaining material or immaterial goods,AI
2209,notice,"message about a decision, often in written form",AI
2210,description,listing or depiction of features of something,AI
2211,shelling,act of shooting at someone or something,AI
2212,improvement,"getting better, usually of health",AI
2213,Best,proper name or surname,AI
2214,order,requesting a product or service,AI
2215,concrete,"building material made from cement, water, and aggregate",AI
2216,works council,elected body representing employees' interests,AI
2217,operating system,basic software managing computer resources,AI
2218,payment,"things of value, usually money, received for a service",AI
2219,district league,regional sports league,AI
2220,biography,life story of a person,AI
2221,blue,blue color; a segment of visible light,AI
2222,blue light,blue light for medical use or to influence sleep cycles,AI
2223,blockade,blocking of access routes,AI
2224,flower,blooming plant,AI
2225,Lake Constance,lake in the Alpine foothills,AI
2226,arc,curved line or curve,AI
2227,bomb,weapon that causes an explosion,AI
2228,boom,sudden phase of rapid growth,AI
2229,boss,person in a high position who gives instructions,AI
2230,brewery,company that brews beer or other fermented drinks,AI
2231,Bregenz,city in Austria (Vorarlberg),AI
2232,glasses,frame with lenses worn on the eyes for vision or protection,AI
2233,broker,securities dealer,AI
2234,browser,program for viewing web pages and documents,AI
2235,fraction,small part of a whole,AI
2236,boy,male child,AI
2237,Bulgaria,state in Southeast Europe,AI
2238,federal prosecutor's office,prosecutor's office at the Federal Court of Justice,AI
2239,federal level,highest level concerning the whole state,AI
2240,federal court,highest court in a federal state,AI
2241,federal interior minister,head of the interior ministry,AI
2242,bus driver,driver of a bus,AI
2243,bus stop,official place where buses stop,AI
2244,campsite,designated area for camping,AI
2245,Caritas,church welfare association,AI
2246,head coach,head coach of a team,AI
2247,Chile,state in South America,AI
2248,cockpit,area of an aircraft where it is controlled,AI
2249,Cottbus,city in Brandenburg,AI
2250,coup,bold and unexpected successful action,AI
2251,court,playing field,AI
2252,crash,collision of vehicles,AI
2253,Dachau,city in Bavaria,AI
2254,Damascus,capital of Syria,AI
2255,dan,one of the ten rank grades in budo sports,AI
2256,gratitude,"recognition for goodwill, help, or support received",AI
2257,loan,sum of money provided to someone for a certain time,AI
2258,performer,"person who portrays something, e.g., in theater or film",AI
2259,database,large organized collection of data allowing complex queries,AI
2260,thumb,"finger with two phalanges, opposing the other fingers",AI
2261,lid,device for covering or closing,AI
2262,defect,fault or malfunction,AI
2263,definition,precise determination of the meaning of an expression,AI
2264,decree,official or judicial order,AI
2265,depot,place or building for storing things,AI
2266,depression,dejection and joylessness; despair,AI
2267,designer,person who designs consumer goods,AI
2268,Deutschlandfunk,German radio station,AI
2269,diabetes,metabolic disease characterized by lack of insulin and increased urination,AI
2270,thief,person who steals,AI
2271,stolen goods,items stolen by a thief,AI
2272,service provider,person or company providing a service,AI
2273,public office,public institution or authority,AI
2274,dictator,ruler with unrestricted power,AI
2275,diplomacy,interstate understanding by peaceful means,AI
2276,female director,female head of a public institution,AI
2277,discourse,theoretical discussion or systematic treatment,AI
2278,dividend,profit share paid to company owners,AI
2279,dominance,assertiveness over the weaker,AI
2280,double pack,package containing two of an item,AI
2281,thorn,sharp structure on a plant,AI
2282,download,transfer of data to the recipient,AI
2283,screenplay,list of dialogue and directions for a film,AI
2284,urgency,quality of being urgent,AI
2285,scent,pleasant smell; organic or chemical compound,AI
2286,diameter,distance across a circle through its center,AI
2287,dynamo,machine generating electric power from mechanical energy,AI
2288,edition,edition or issue of books,AI
2289,ambition,strong striving to success,AI
2290,honoring,ceremonial expression of respect,AI
2291,intervention,interference to effect change,AI
2292,unity,general agreement or agreement on a question,AI
2293,shopping center,"area with many stores, usually outside city center",AI
2294,admission,access to a place or event,AI
2295,capture,occupation or conquest against resistance,AI
2296,incident site,place where an operation takes place,AI
2297,insight,recognition and understanding enabling purposeful behavior,AI
2298,immigration,permanent settlement in a foreign country,AI
2299,Eisenach,city in Thuringia,AI
2300,ice hockey,winter sport with a puck and sticks,AI
