id,translate,translate_description,source
6201,plinth,block on which something can rest,AI
6202,emergency aid,financial material or psychological aid granted immediately after a disaster,AI
6203,solar installation,power plant or heating system powered by solar energy,AI
6204,summer season,main business and travel time of warm months,AI
6205,summer day,day in summer,AI
6206,summer vacation,vacation spent in summer,AI
6207,special price,price lower than the usual price,AI
6208,songwriter,person who writes song lyrics,AI
6209,solar energy,energy produced and radiated by the sun,AI
6210,problem child,child who causes many worries especially to parents,AI
6211,custody,right to make important decisions for minors usually held by parents but can be assigned by court,AI
6212,field of tension,area where opposing opinions forces and conflicts unfold,AI
6213,savings program,concept for reducing costs,AI
6214,blank pages in printing,blank pages or filler pages in a print form,AI
6215,spear,weapon for throwing and thrusting consisting of a shaft with a point usually metal or stone,AI
6216,play ball,ball intended or suitable for play,AI
6217,game start,time when a game begins,AI
6218,player coach,player who is also a coach,AI
6219,joy of playing,enjoyment and desire to play,AI
6220,course of play,temporal and tactical sequence of a game,AI
6221,elite sport,sport practiced at the highest performance level,AI
6222,nickname,nickname given to someone with a positive or negative connotation,AI
6223,sports facility,all structural installations in an area used for sports,AI
6224,spot,short insert in radio or television often for advertising,AI
6225,explosive charge,explosive mass placed on an object to be destroyed,AI
6226,proverb,folk saying often anonymous and didactic,AI
6227,state television,state controlled or operated television,AI
6228,state territory,territory of a state,AI
6229,rod,elongated cylindrical object,AI
6230,urban planning,decisions to improve or redesign a city in building traffic and other aspects,AI
6231,urban traffic,traffic in a city,AI
6232,city quarter,part of a city belonging together in a certain way,AI
6233,headquarters,place where a company was founded and often its headquarters,AI
6234,stack,stack formed by neatly piling similar things,AI
6235,storage space,space for storing items,AI
6236,reservoir,lake created by a dam to collect water,AI
6237,steak,slice of meat suitable for quick frying or grilling,AI
6238,mine supervisor,supervisory person in mining,AI
6239,ibex,high mountain animal with long curved horns genus Capra,AI
6240,assisted dying,procedure to ease a persons dying,AI
6241,starry sky,night sky with visible stars,AI
6242,nitrogen,chemical element of the fifth main group important in amino acids,AI
6243,shutdown,likely final termination of an activity or operation of a facility,AI
6244,brace,small support inclined upward that stabilizes something,AI
6245,point of contention,topic or point being disputed,AI
6246,structural change,change of the structure of something,AI
6247,search engine,computer program to find documents or files on computers or networks,AI
6248,symposium,meeting or conference of scientists on a topic,AI
6249,scenery,stage set developed for a play,AI
6250,pocket money,money given for free disposal usually to a young person,AI
6251,drive,urge to be active and accomplish something,AI
6252,course of events,exact temporal sequence of a crime or offense,AI
6253,teamwork,work in a team,AI
6254,techno,electronic music,AI
6255,teddy,stuffed toy for children shaped like a bear,AI
6256,number of participants,number of people participating in an event or game,AI
6257,telescope,optical instrument for observing distant celestial objects,AI
6258,theology,study and teaching of religion and of God,AI
6259,heir to the throne,person who will next ascend the throne,AI
6260,tic,uncontrolled muscle contraction,AI
6261,civil engineering,construction of works at or below ground level,AI
6262,draft,vertical distance between water surface and lowest point of a ship,AI
6263,title defense,defense of a title,AI
6264,traditional association,association with a long history,AI
6265,coaches bench,bench for the coach and team during a match,AI
6266,triathlon,race with swimming cycling and running on the same day,AI
6267,Trieste,city in Italy,AI
6268,trilogy,artistic work consisting of three independent parts,AI
6269,Czech,citizen of the Czech Republic,AI
6270,tsunami,seismic sea wave usually caused by undersea earthquakes,AI
6271,virtue,quality or attitude regarded as valuable,AI
6272,tumor,growth,AI
6273,tournament victory,victory won in a tournament,AI
6274,Uganda,state in East Africa,AI
6275,bypass road,road used to bypass something,AI
6276,detour,going around an obstacle,AI
6277,orbit,orbit of a body around another,AI
6278,resettlement,voluntary or forced change of residence,AI
6279,Federal Environment Agency,federal authority responsible for environmental protection,AI
6280,discomfort,indefinite feeling of not feeling well physically or mentally,AI
6281,disagreement,no agreement in a certain question,AI
6282,Hungarian,citizen of Hungary,AI
6283,imbalance,lack of balance between two or more things,AI
6284,calamity,terrible event,AI
6285,unit,unit in English,AI
6286,trash,objects no longer usable that spoil a place,AI
6287,company spokesperson,spokesperson of a company,AI
6288,investigation commission,group of experts selected to conduct an investigation,AI
6289,subtitle,second title below the first,AI
6290,submission,act of surrendering or accepting domination,AI
6291,signatory,male person who confirms a document with a signature,AI
6292,utopia,wishful vision of the future unlikely to be realized,AI
6293,Utrecht,city in the Netherlands,AI
6294,vanilla,plant of the orchid family,AI
6295,fatherland,country one comes from,AI
6296,violet,small fragrant flower of the genus Viola usually purple,AI
6297,contempt,state of disdain or scorn,AI
6298,predisposition,inclination or innate trait,AI
6299,municipal association,group of local municipalities in some German states,AI
6300,constitutional judge,judge working at a constitutional court,AI
