id,translate,translate_description,source
5901,radio silence,time when no radio transmission occurs,AI
5902,goose,group of various genera of geese,AI
5903,gardening,work to cultivate a garden with fruit vegetables or flowers,AI
5904,hospitality,willingness to receive guests kindly,AI
5905,hospitality industry,sector for gastronomy and hotels,AI
5906,genus,kind or species in a general sense,AI
5907,obstetrics,field of gynecology dealing with childbirth and care of pregnant women,AI
5908,birth city,city where a person was born,AI
5909,day of remembrance,anniversary to remember something or someone,AI
5910,danger zone,area of increased danger,AI
5911,skirmish,combat between opposing military units,AI
5912,obedience,unquestioning compliance with orders from authority,AI
5913,violin,violin string instrument with four strings tuned G D A E,AI
5914,wrong way driver,person driving against the prescribed direction,AI
5915,female beloved,female partner loved or in a sexual relationship,AI
5916,municipal area,community land area,AI
5917,municipal office,municipal administrative authority,AI
5918,commonality,quality shared by two or more persons or objects,AI
5919,mixture,something formed by mixing substances; mixture of different substances,AI
5920,chief public prosecutor,highest public prosecutor under the state justice minister,AI
5921,satisfaction,feeling of having done the right and necessary thing,AI
5922,scuffle,prolonged physical scuffling,AI
5923,prattle,meaningless talk,AI
5924,separation of powers,principle separating legislative executive and judicial powers,AI
5925,habit,action that became routine and is repeated often unconsciously,AI
5926,black ice,frozen water on public traffic surfaces,AI
5927,gondola,oar driven boat typical of Venice,AI
5928,Goslar,city in Lower Saxony,AI
5929,house of worship,building where followers honor one or more gods,AI
5930,border region,region near a border,AI
5931,flu wave,significant rise in new infections during an outbreak,AI
5932,gun,syringe used to inject drugs into a vein,AI
5933,credit,balance of money in an account,AI
5934,Haiti,state in the Caribbean,AI
5935,half marathon,long distance run of 21.0975 km,AI
5936,caravanserai,public building on trade routes in SE Europe and Near East for travelers,AI
5937,turning the hand,hand movement turning the palm over,AI
5938,hashish,preparation from cannabis resin producing intoxication,AI
5939,main hearing,central court hearing,AI
5940,house arrest,punishment where a person may not leave home,AI
5941,house resident,person who lives in a house,AI
5942,sturgeon,large sturgeon whose roe is used as caviar,AI
5943,budget plan,overview of expected income and expenditures in a fiscal year,AI
5944,spending freeze,ban on spending approved funds,AI
5945,caretaker,person responsible for maintenance of a building,AI
5946,ban from premises,ban imposed by owner to enter property or home,AI
5947,property management,company managing houses on behalf of owners,AI
5948,Havel,river in northeastern Germany,AI
5949,home advantage,advantage of the home team in sports,AI
5950,marriage,wedding event where two people marry or enter partnership,AI
5951,inhibition,hesitation to do something due to morals or norms,AI
5952,handle,handle on a cup or jug,AI
5953,highway,main traffic road in North America,AI
5954,cry for help,loud call for help in an emergency,AI
5955,helplessness,state of being unable to help oneself,AI
5956,disadvantageous position,disadvantageous situation,AI
5957,female historian,female scientist who researches and presents history,AI
5958,extrapolation,approximate estimate based on calculations from a partial result,AI
5959,hotel industry,totality of hotels and their services,AI
5960,chicken,domestic chicken Gallus gallus gallus,AI
5961,one hundred thousand,number 100000,AI
5962,beekeeper,person who keeps bees and produces honey,AI
5963,vaccine,substance given to stimulate antibodies and immunity,AI
5964,industrial production,production by industry,AI
5965,industrial enterprise,company that produces industrially,AI
5966,information technology,techniques to create process transport and store information,AI
5967,information event,event for informing and discussing a topic,AI
5968,inner life,psyche of a person,AI
5969,repair,restoring an object to functional condition,AI
5970,interest group,association of people to represent concerns,AI
5971,annual revenue,revenue of a company in a year,AI
5972,jeep,off road vehicle with all wheel drive,AI
5973,Johannesburg,large city in South Africa,AI
5974,clear cutting,cutting down all trees in a place,AI
5975,calendar year,year from January 1 to December 31,AI
5976,caliber,inner diameter of a gun barrel or projectile diameter,AI
5977,calculation,calculation to determine costs,AI
5978,Cameroon,state in Central Africa,AI
5979,landslide win,easy and therefore high victory in sport,AI
5980,chaplain,clergyman assigned to a chapel or parish,AI
5981,department store,large multi floor store with wide assortment,AI
5982,wedge,pointed object of solid material shaped like a triangular prism,AI
5983,germ,beginning or first sign,AI
5984,nuclear energy,energy produced by fusion or fission,AI
5985,killer,person who kills often for payment,AI
5986,pediatrician,doctor specializing in children medicine,AI
5987,church square,square directly next to a church,AI
5988,clarification,correction of a misunderstanding,AI
5989,clapper,folded paper that makes a cracking sound when snapped,AI
5990,climate conference,meeting of experts about climate,AI
5991,blade,flat sharpened part of tools or weapons,AI
5992,knight,knight in English,AI
5993,cookbook,printed work containing recipes,AI
5994,carbon,nonmetal element with atomic number 6,AI
5995,commander,commander of a unit from battalion to division,AI
5996,female commissioner,female government commissioner,AI
5997,compensation,often unconscious motive to balance a deficiency elsewhere,AI
5998,competence center,center for expertise,AI
5999,configuration,specific arrangement of related objects,AI
6000,constant,something that does not change within a period,AI
