id,translate,translate_description,source
6401,shareholder,person who owns a share,AI
6402,law firm,lawyer's office,AI
6403,display board,visible board with constantly updated information,AI
6404,apartment,small comfortable flat,AI
6405,apparatus,technical structure of higher complexity,AI
6406,aquarium,container with water for keeping and observing aquatic animals and plants,AI
6407,Arabic,"language of the Quran from the Arabian Peninsula, spoken by about 300 million people today",AI
6408,labor ministry,ministry responsible for labor market matters,AI
6409,employment contract,contract between employee and employer with key agreements,AI
6410,ark,Noah's lifeboat,AI
6411,arrogance,"presumptuous, overbearing attitude",AI
6412,doctor's visit,visiting a physician,AI
6413,breather,short recovery break,AI
6414,preparation,preparation of something for use,AI
6415,sense of new beginning,mood or drive for positive change,AI
6416,listing,list-like arrangement of information,AI
6417,supervisory board chair,nominative singular of the weak declension of Aufsichtsratsvorsitzender,AI
6418,order backlog,sum of outstanding orders,AI
6419,softening,becoming soft; weakening,AI
6420,trainer,person who teaches others or animals,AI
6421,export,removal of goods from domestic territory; export,AI
6422,trip abroad,trip abroad,AI
6423,exception rule,rule that is an exception,AI
6424,informative value,substantive value of a statement regarding its effect and validity,AI
6425,strike,work stoppage,AI
6426,machine,device that operates automatically according to a program,AI
6427,bathing season,time of year when bathing is possible,AI
6428,railway chief,chairman of Deutsche Bahn AG,AI
6429,balancing act,performance in which balancing is done,AI
6430,ballroom,large decorated room for dances,AI
6431,fear,"fear, dread",AI
6432,banker,member of the banking industry,AI
6433,baron,French noble title equivalent to German Freiherr,AI
6434,building area,area designated for new buildings of a certain use,AI
6435,building code,legal regulation defining rules for building in a region,AI
6436,production series,products made in the same design,AI
6437,construction fence,temporary barrier securing a construction site,AI
6438,fertilization,union of male and female cells leading to reproduction,AI
6439,companion,person who accompanies,AI
6440,pardon,remission or reduction of a legally imposed sentence; pardon,AI
6441,withdrawal,"Austrian: withdrawal of a sum of money, the entire capital",AI
6442,aftertaste,secondary taste,AI
6443,settlement,ending of a conflict or dispute,AI
6444,assessor,member of a committee who is not the chair,AI
6445,public announcement,public notice,AI
6446,acquaintance,beginning of a contact or personal relationship,AI
6447,claim letter,letter in which someone admits responsibility,AI
6448,assignment,assignment or allocation of a value; configuration,AI
6449,benefit concert,concert whose proceeds support those in need,AI
6450,gasoline car,vehicle with a gasoline engine,AI
6451,mountain village,village in the mountains,AI
6452,vocational training,training to practice a profession,AI
6453,condition,nature or state of something,AI
6454,broom,cleaning tool with bristles and a handle,AI
6455,inventory count,"physical inventory by counting, measuring, or weighing",AI
6456,cutlery,utensils for eating,AI
6457,female visitor,female person who comes to visit,AI
6458,stress,emphasis of a syllable by stronger airflow or higher pitch,AI
6459,female caregiver,"female person who accompanies, cares for, or helps others",AI
6460,operating profit,profit of an operation,AI
6461,armament,equipping with weapons,AI
6462,preservation,keeping something or a state intact,AI
6463,Bibi,female given name or nickname,AI
6464,bidder,person who makes a bid,AI
6465,picture book,book with many pictures and little text,AI
6466,embarrassment,situation causing loss of face,AI
6467,brass band,music group playing wind instruments,AI
6468,field of view,area one can see,AI
6469,blonde woman,female person with blond hair,AI
6470,body,"body, usually well-shaped and muscular",AI
6471,bulwark,"fortification, formerly built of planks",AI
6472,tabloid newspaper,newspaper with very flashy presentation,AI
6473,pit stop,short stop of a race car in the pits,AI
6474,fire source,place where a fire starts,AI
6475,fuel,material that can be burned and used to produce energy,AI
6476,accounting,organizational unit recording business transactions,AI
6477,kiosk,small sales booth,AI
6478,Federal Ministry of Finance,federal finance ministry,AI
6479,federal defense minister,head of the defense ministry,AI
6480,female federal chair,female leader at federal level,AI
6481,Federal Ministry for Economic Affairs,ministry responsible for economic development,AI
6482,castle ruin,ruin of a castle,AI
6483,canyon,deep narrow gorge,AI
6484,chemical conglomerate,large company producing synthetic products,AI
6485,choir director,person who directs a choir,AI
6486,cocktail,alcoholic mixed drink,AI
6487,Cox,winter apple with reddish-yellow peel,AI
6488,dancing,dancing; dance event,AI
6489,dike,dam along waters to protect from floods,AI
6490,offense,violation of criminal law,AI
6491,demonstration march,group moving in public to support its goals,AI
6492,landfill,place where waste is stored,AI
6493,deportation,forcible relocation of people to a distant place,AI
6494,interpretation,attempt to understand the deeper meaning of something,AI
6495,diagonal,slanted line or arrangement on such a line,AI
6496,servant,dependent worker performing household duties,AI
6497,service sector,sector of the economy providing services,AI
6498,interpreter,person who translates spoken text,AI
6499,double role,two roles at the same time,AI
6500,drama,exciting situation,AI
