id,translate,translate_description,source
1201,regime,non democratically legitimized form of government,AI
1202,regional league,league organized by one or more regional associations,AI
1203,director,person who directs and has artistic leadership,AI
1204,range,scope of action or radius,AI
1205,tire,part of a wheel lying on the rim,AI
1206,purity,fresh cleanliness such as purity of the soul or of feelings,AI
1207,female traveler,female person who takes a trip,AI
1208,record,recognized best performance in a discipline at a given time,AI
1209,record champion,team or athlete with the most championships,AI
1210,pensioner,person no longer working and living on pension payments,AI
1211,reporter,journalist at or near the scene reporting,AI
1212,republican,adherent of the republic form of state,AI
1213,respect,esteem and appreciation toward someone or something,AI
1214,rescue,freeing from danger and protecting from harm,AI
1215,rescue helicopter,helicopter equipped to transport sick and injured,AI
1216,ambulance,vehicle that transports sick and injured,AI
1217,recipe,instructions for mixing and processing substances to prepare something,AI
1218,Rhine,large river in Europe,AI
1219,female judge,female holder of a public office at a court who administers justice,AI
1220,ring,circular usually metal piece of jewelry worn on a finger or as piercing,AI
1221,robot,machine that autonomously performs a specific task,AI
1222,Rostock,city in Mecklenburg Vorpommern,AI
1223,red,red color shade and part of visible light spectrum,AI
1224,route,determined path,AI
1225,call,call addressed to someone,AI
1226,retirement,life phase beginning with end of employment,AI
1227,hall,large heated room not divided by columns,AI
1228,Saarland,federal state in Germany,AI
1229,Saxons,genitive singular of Sachse,AI
1230,legend,old tale of unreal events often explaining historical facts,AI
1231,season start,start time of a season period,AI
1232,collection,number of stored deliberately collected objects,AI
1233,sand,loose rock made of fine grains visible to the naked eye,AI
1234,shadow,area not directly lit,AI
1235,fate,higher power influencing the future of people,AI
1236,referee,highest impartial judge at a sports event,AI
1237,ship,large watercraft usually over 10 m hull length,AI
1238,blow,strong impulsive force impact often by an object,AI
1239,jewelry,objects used to decorate or beautify,AI
1240,snow,precipitation in the form of ice crystals,AI
1241,tailor,craftsman who makes or alters clothing,AI
1242,debt,obligation to do or not do something,AI
1243,shot,firing of a weapon,AI
1244,black,name of black the darkest color tone and paint,AI
1245,center of gravity,point where mass of a body or system seems evenly distributed,AI
1246,sister,female child of the same parents,AI
1247,momentum,forceful strong rapid movement,AI
1248,soul,characteristic of living beings and the immortal part of sentient beings,AI
1249,second,sixtieth part of a minute base unit of time,AI
1250,senate,highest governing authority,AI
1251,sex,sexuality and the set of attitudes and practices related to sex life,AI
1252,winner,person who wins a victory or a contest,AI
1253,silver,white shiny precious metal,AI
1254,Slovakia,state in Central Europe,AI
1255,software,program or set of programs for use on a computer or device with controllable circuits,AI
1256,Sunday evening,evening of a Sunday,AI
1257,voltage,potential difference between two points in an electric field,AI
1258,blocking,act of blocking,AI
1259,mirror,polished glass or metal surface that reflects light,AI
1260,playing time,time a game lasts,AI
1261,hospital,building or complex where the sick are treated or housed,AI
1262,sports director,head for sports,AI
1263,athlete,person who regularly practices one or more sports,AI
1264,crack,fine crack in a solid material,AI
1265,head of state,person who heads a state,AI
1266,city territory,territory of a city,AI
1267,city administration,all authorities organizing public services of a city,AI
1268,statement,utterance that includes a claim explanation or assertion,AI
1269,station,place where a public transport vehicle regularly stops,AI
1270,statistics,comparative numerical presentation and study of mass phenomena,AI
1271,status,way something is at a particular time,AI
1272,traffic jam,disturbance of flow caused by an obstruction,AI
1273,Styria,federal state in Austria,AI
1274,stone,mineral material,AI
1275,position,professional position,AI
1276,statement,expression of an opinion on a matter incident or problem,AI
1277,style,special manner of design in art life sport and so on,AI
1278,standstill,end of a movement or process,AI
1279,story,plot of a literary film or theatrical narrative,AI
1280,penalty,sanction received for misconduct,AI
1281,criminal proceedings,judicial process to investigate and decide on crimes,AI
1282,shore,long flat sandy or gravel strip of land into a body of water,AI
1283,stress,ongoing mental emotional or physical strain,AI
1284,line,line usually short irregular drawn by a writing tool,AI
1285,structure,constructed arrangement of several parts dependent on each other,AI
1286,female learner,female person who is currently studying or learning intensively,AI
1287,studio,artist workshop,AI
1288,study,intensive mostly scientific engagement with a subject matter,AI
1289,fall,hard fall to the ground or into the depths,AI
1290,supermarket,large retail store selling food and daily goods,AI
1291,symbol,representative simplified depiction of an object or matter,AI
1292,Syrian,citizen of the Syrian Arab Republic,AI
1293,scenario,outline of the situation and framework of an artwork,AI
1294,table,ordered compilation of texts or data in rows and columns,AI
1295,talent,extraordinary ability in a particular area,AI
1296,pocket,place to store items in clothing sewn on or in,AI
1297,fact,something actually existing,AI
1298,Tehran,capital of Iran,AI
1299,telephone,device for transmitting acoustic signals over distance,AI
1300,phone number,unique number in an area code assigned to a phone connection,AI
