id,translate,translate_description,source
13801,health damage,damage to health,AI
13802,ghetto,quarter inhabited by Jewish population separated from other city districts,AI
13803,commercial enterprise,business operated independently for profit,AI
13804,union leader,leader of a union,AI
13805,union member,person who is a union member,AI
13806,union congress,meeting where union members gather,AI
13807,weightlifter,person who practices weightlifting,AI
13808,profit taking,realization of profits,AI
13809,toxin,toxic chemical compound or mixture,AI
13810,highlight,thing that impresses people positively,AI
13811,heyday,period when someone or something was at its peak,AI
13812,glasnost,public openness slogan of reforms in the USSR mid 1980s,AI
13813,gold reserve,financial reserve consisting of gold,AI
13814,trench warfare,fighting in trenches,AI
13815,congratulator,person who congratulates someone,AI
13816,border guard,guard at a national border,AI
13817,border soldier,soldier assigned to border duty,AI
13818,border troops,troops for border security,AI
13819,grimace,deliberately distorted face,AI
13820,brains,cognitive performance,AI
13821,foundation base,lowest load bearing part connecting a structure to the ground,AI
13822,basic knowledge,foundational knowledge about a topic,AI
13823,foundation wall,part of masonry in the ground that supports a building,AI
13824,base value,base value,AI
13825,main features,most important corner points,AI
13826,grunge,rock music from the 1980s US Northwest with relaxed guitar sound,AI
13827,group work,work in a group,AI
13828,guerrillero,member of a unit waging guerrilla warfare,AI
13829,habilitation,highest academic examination establishing teaching qualification,AI
13830,trade relation,connection for buying or selling goods or services,AI
13831,physical altercation,physical or violent confrontation,AI
13832,handcuff,steel lockable cuff for wrists,AI
13833,happening,improvised event with audience involvement,AI
13834,Harare,capital of Zimbabwe,AI
13835,hardcore,hard extreme form,AI
13836,harmonium,keyboard instrument with reeds set in vibration by air,AI
13837,armor,armor worn by knights for protection,AI
13838,sword,17th century sword with two edges used for striking,AI
13839,main association,central association,AI
13840,budget consultation,meeting of politicians to discuss income and expenses of a city or state,AI
13841,lift,raising something upward,AI
13842,host,part of active armed forces,AI
13843,violence,strong intensity of a process,AI
13844,Salvation Army,Christian free church with strong social work,AI
13845,heroin dispensing,controlled dispensing of heroin,AI
13846,unskilled worker,person without special training for their work,AI
13847,relief goods,goods used to support people in need,AI
13848,aid shipment,delivery of items for support,AI
13849,rear building,building section attached behind a house,AI
13850,university graduate,person who completed university studies,AI
13851,university law,law for universities,AI
13852,peak performance,peak phase or maximum performance,AI
13853,hotel guest,person staying in a hotel,AI
13854,hube,area measure sufficient to feed a family,AI
13855,homage,sign of devotion,AI
13856,prostitute,woman who performs sexual acts for money,AI
13857,hymn,solemn song of praise,AI
13858,mortgage bank,bank specializing in mortgages,AI
13859,ibis,birds of the family Threskiornithidae,AI
13860,idealist,advocate of idealism,AI
13861,idiom,characteristic way of speaking of a group,AI
13862,impression,impression gained by sensory perception or feeling,AI
13863,impressionist,representative of impressionism,AI
13864,indigenous person,indigenous person of Latin America,AI
13865,indiscretion,disclosure of personal or secret information,AI
13866,individualist,person who claims maximum independence in thinking and acting,AI
13867,industrial society,society shaped primarily by industry,AI
13868,industrial state,highly developed state with significant industry,AI
13869,infarction,tissue death due to lack of oxygen from insufficient blood flow,AI
13870,information society,society focused on information,AI
13871,initiator,person who starts something,AI
13872,domestic press,press of the home country,AI
13873,instruction,instruction to familiarize someone with something,AI
13874,instrumentalist,person who plays an instrument professionally,AI
13875,Interregio,former train category,AI
13876,incest,sexual intercourse between close blood relatives,AI
13877,millennium change,change to a new millennium,AI
13878,venetian blind,window blind with slats,AI
13879,jargon,way of speaking of certain social or professional circles,AI
13880,jogging,steady leisurely running as a recreational sport,AI
13881,Jordanian,citizen of Jordan,AI
13882,youth music,music by or for youths,AI
13883,Yugoslav,former citizen of Yugoslavia,AI
13884,young farmer,young farmer,AI
13885,youth group,child or youth group,AI
13886,young socialist,young socialist,AI
13887,junior,female daughter of a company owner,AI
13888,justice senator,senator responsible for legal affairs in city states,AI
13889,female justice spokesperson,female spokesperson for justice topics,AI
13890,cabinet member,person belonging to a cabinet,AI
13891,cabinet reshuffle,reshuffle of a government,AI
13892,qadi,judge in some Arab states,AI
13893,kaleidoscope,tube with mirrors that creates symmetric patterns,AI
13894,caliph,successor of Muhammad and head of the Muslim community,AI
13895,calorie,heat needed to raise 1 gram of water by one degree Celsius,AI
13896,combat action,deliberate participation in ongoing fighting,AI
13897,chemical agent,substance used in war that is lethal or harmful,AI
13898,cannibal,person who eats human flesh,AI
13899,caner,person who paddles a canoe,AI
13900,capital return,gain from an investment such as interest or dividends,AI
