id,translate,translate_description,source
8801,throat,part of the neck under the chin; throat or gullet,AI
8802,waitress,female restaurant employee serving guests,AI
8803,core competence,special skills or resources giving advantage,AI
8804,child upbringing,education of young people,AI
8805,childrens festival,celebratory event for children,AI
8806,childrens center,facility for child care,AI
8807,childrens home,facility where children live if they cannot with family,AI
8808,child protection association,organization for protecting children,AI
8809,childrens game,game for children,AI
8810,chin,protuberance below the mouth,AI
8811,church board,leadership of a parish,AI
8812,kirsch,short for kirschwasser cherry brandy,AI
8813,clarinet,woodwind instrument with cylindrical bore and single reed,AI
8814,classroom,room where a class is taught,AI
8815,adhesive tape,tape coated with adhesive on one or both sides,AI
8816,glue,substance used to bond two parts,AI
8817,climber,person or animal that climbs well,AI
8818,climbing wall,artificial wall for climbing,AI
8819,cliff,large rock near the coast protruding from the sea,AI
8820,club chairwoman,chairwoman of a club or parliamentary group,AI
8821,code,totality of rules and norms of a society,AI
8822,carbon monoxide,very poisonous colorless odorless gas from incomplete combustion,AI
8823,collaboration,collaboration with the enemy,AI
8824,colossus,very large statue,AI
8825,company,military unit of 100 to 250 soldiers,AI
8826,compromise proposal,proposal aimed at finding a compromise,AI
8827,consulate,representation of a state administration abroad,AI
8828,consumer protection,protection of consumers,AI
8829,drawback,negative consequence or effect,AI
8830,double bass,largest and lowest string instrument in the orchestra,AI
8831,cobblestone,paving made of rounded natural stones,AI
8832,coupling,mechanical electromagnetic or conceptual connection,AI
8833,cost pressure,pressure to reduce expenses to meet financial goals,AI
8834,sick pay,money paid by health insurance when unable to work,AI
8835,clinical picture,all symptoms characterizing an illness,AI
8836,female district chair,chairwoman of a district,AI
8837,cruiser,fast medium sized lightly armored warship,AI
8838,creditor damage,financial harm to creditors during bankruptcy,AI
8839,criminalization,classifying something as a criminal offense,AI
8840,female critic,female person who criticizes,AI
8841,crocodile,reptile of the order Crocodilia,AI
8842,ballpoint pen,pen dispensing ink through a rolling ball,AI
8843,cult figure,person admired without reservation,AI
8844,culture office,office for culture,AI
8845,culture senator,senator responsible for culture in city states,AI
8846,art market,all people businesses and events trading art,AI
8847,spa town,place where medical therapies as cures are offered,AI
8848,price crash,strong decline of a rate,AI
8849,price loss,loss due to falling stock prices,AI
8850,stuffed animal,toy made of soft material modeled on an animal or fantasy creature,AI
8851,cutter,single masted seaworthy sailer for sport and cargo transport,AI
8852,shoplifter,person who takes items in a shop with intent to steal,AI
8853,final approach,last flight phase from descent to touchdown and rollout,AI
8854,landing site,small airport or landing area for helicopters or point of impact such as a probe on Mars,AI
8855,state championship,championship at state level,AI
8856,state party,party branch in a state,AI
8857,landscape protection area,large designated area where the traditional landscape is preserved,AI
8858,lance,weapon for close combat and also for throwing like a spear long pole with a hard tip,AI
8859,truck,motor vehicle mainly for transporting goods,AI
8860,military hospital,hospital for sick and wounded soldiers,AI
8861,age,time a person has lived up to a point,AI
8862,life experience,insights acquired through events of a life,AI
8863,loam,quartz rich lime free clay rich in iron compounds good for ceramics and bricks,AI
8864,teaching office,office held by teachers,AI
8865,master teacher,person who trains someone in theory and practice,AI
8866,regret,feeling of regret,AI
8867,guiding principle,model presentation an ideal worth striving for,AI
8868,leitmotif,artistic device recurring throughout a work,AI
8869,Leslie,given name,AI
8870,Latvian,inhabitant of Latvia short form,AI
8871,liaison,combination or connection of partners or objects,AI
8872,liberalism,19th century worldview rooted in individualism emphasizing freedom autonomy responsibility and personal development,AI
8873,string lights,several lights on a common holder,AI
8874,heartache,sadness due to threatened or failed love,AI
8875,Lombardy,region in northern Italy,AI
8876,air pressure,force exerted by the mass of the atmosphere on a unit area,AI
8877,lyric poetry,literary art form of poetry,AI
8878,macho,man who presents himself as overly masculine,AI
8879,mammary gland,organ of milk production in mammals,AI
8880,St Marys church,church dedicated to Mary the mother of Jesus,AI
8881,marionette,puppet moved by strings,AI
8882,marble,very hard often veined limestone used for sculpture and building,AI
8883,martyrdom,heavy suffering,AI
8884,massage,therapy or relaxation by pressing kneading and stroking body parts,AI
8885,seawater,salt water that makes up the seas,AI
8886,additional burden,additional burden,AI
8887,human rights advocate,person who works for human rights,AI
8888,message,message in English,AI
8889,fair city,city where fairs are regularly held,AI
8890,Messiah,Messiah promised to Jews in the Old Testament and linked to Jesus,AI
8891,mead,spiced fermented honey diluted with water,AI
8892,trade,field of work someone has learned,AI
8893,tenants association,association of tenants,AI
8894,microgram,one millionth of a gram,AI
8895,ministerial office,office of a minister,AI
8896,middle class,middle social or technical class,AI
8897,shared responsibility,shared responsibility,AI
8898,poppy,plant genus with flowers and four large thin petals,AI
8899,dairy,plant for processing milk,AI
8900,monthly salary,salary per month,AI
