id,translate,translate_description,source
12801,job placement,establishing contact between employee and employer,AI
12802,archivist,staff member trained for archival work,AI
12803,remedy,medicine for physical or psychological complaints,AI
12804,aspirant,"applicant, candidate",AI
12805,asylum seekers' home,accommodation for asylum seekers,AI
12806,atheist,person who denies the existence of God,AI
12807,atoll,ring-shaped coral island or island group with lagoon,AI
12808,nuclear industry,companies producing nuclear energy or related services,AI
12809,opponent of nuclear power,person who categorically rejects nuclear energy,AI
12810,nuclear reactor,"reactor with a chain reaction, often used to generate energy",AI
12811,audit,independent and precise examination to see if rules are followed and to recommend changes,AI
12812,contract work,work performed on commission,AI
12813,order book,register of orders,AI
12814,expansion plan,plan for expansion or enlargement,AI
12815,apprenticeship occupation,profession with regulated training,AI
12816,foreign deployment,deployment abroad,AI
12817,resettler,person who resettles or has resettled,AI
12818,outfitter,person or company that equips or furnishes,AI
12819,autograph session,event where a celebrity signs items,AI
12820,motorist,person who drives a car,AI
12821,automotive group,corporate group in the automotive industry,AI
12822,urban center,central densely populated area of a metro region,AI
12823,bandage,wrapping of soft elastic fabric around body parts,AI
12824,banking group,association of several banks,AI
12825,bank customer,customer of a bank,AI
12826,bank robbery,crime of stealing money or valuables from a bank,AI
12827,barbarian,term in ancient Greece for people who spoke little or no Greek,AI
12828,barber,obsolete profession; man who groomed hair and sometimes performed minor surgery,AI
12829,barricade,street-fighting barricade made from improvised objects,AI
12830,base tunnel,tunnel through the foot of a mountain,AI
12831,bass,low male voice,AI
12832,stomachache,pain in the abdomen,AI
12833,farmers' party,party representing farmers' interests,AI
12834,building commission,commission for construction matters,AI
12835,civil servants' union,union of civil servants,AI
12836,Beatle,member of the British band The Beatles,AI
12837,berry,small fruit with sweet flesh and no stone,AI
12838,liberation movement,movement aiming to achieve liberation,AI
12839,side effect,phenomenon that accompanies a process,AI
12840,treatment method,method of treating something or someone,AI
12841,nickname,addition to the actual name,AI
12842,accession candidate,candidate for accession,AI
12843,bel,unit for indicating loudness,AI
12844,importance,meaning or importance,AI
12845,benefit,charity; benefit event,AI
12846,mountain farmer,farmer whose farm is in high mountains,AI
12847,mountain region,region characterized by mountains,AI
12848,correction,act of correcting; removing or addressing errors,AI
12849,influx of visitors,flow of visitors,AI
12850,assurance,emphatic assertion,AI
12851,works council chair,chairman of the works council,AI
12852,movement sequence,coordinated sequence of movements,AI
12853,district chief,head of a district,AI
12854,district capital,capital of an administrative district (GDR),AI
12855,librarian,staff member of a library,AI
12856,Biedermeier,lifestyle and art style in German-speaking areas (1815–1848),AI
12857,sculpture,art of creating sculptures,AI
12858,female sculptor,female artist who creates sculptures,AI
12859,educational leave,paid leave for continuing education,AI
12860,domestic demand,demand within the country,AI
12861,Burma,former name for Myanmar,AI
12862,bobo,term for bourgeois bohemian,AI
12863,plank,"very thick, broad board",AI
12864,bombing,act of violence with an explosive device,AI
12865,lignite,"brown coal from the Tertiary, relatively soft",AI
12866,Brazzaville,capital of the Republic of the Congo,AI
12867,rut,mating season of many mammals,AI
12868,gross wage,wage including all deductions,AI
12869,boy,male child,AI
12870,federal theater,theater of the federal level,AI
12871,characteristic,distinctive property,AI
12872,Chilean,person from Chile,AI
12873,chip card,plastic card with an integrated circuit,AI
12874,cover version,new recording of a song by another artist,AI
12875,Cuba,state in the Caribbean,AI
12876,Dagestan carpet,knotted carpet with geometric patterns made of sheep wool,AI
12877,data protection officer,person responsible for monitoring data protection,AI
12878,delegation leader,person who leads a delegation,AI
12879,delinquent,person who committed an offense,AI
12880,dialectics,method of reasoning: thesis + antithesis -> synthesis,AI
12881,slide lecture,presentation of slides with commentary,AI
12882,dilettantism,activity without professional training,AI
12883,directive,instruction given by a higher authority,AI
12884,discussion event,event for discussion,AI
12885,dissident,person who publicly opposes prevailing opinion or authority,AI
12886,dissonance,discord; interval needing resolution,AI
12887,thistle,thorny herbaceous plant,AI
12888,doping case,case of prohibited substance use,AI
12889,biplane,aircraft with two stacked wings,AI
12890,dramaturge,"artistic advisor in theater, radio, and TV",AI
12891,printing press,mechanical device for printing,AI
12892,single municipality,municipal structure at the lowest level,AI
12893,emergency responder,member of an official organization involved in operations,AI
12894,single judge,judge deciding alone,AI
12895,rail line,connection served by a railway,AI
12896,ice skating,skating on ice,AI
12897,electrode,component where electric current passes into another medium,AI
12898,ivory tower,"place of seclusion, detached from practice",AI
12899,issuer,issuer of securities,AI
12900,final fight,last fight deciding the outcome,AI
