id,translate,translate_description,source
9501,helper,unskilled assistant,AI
9502,harm,deep emotional or physical injury or damage,AI
9503,tusks,protruding canine teeth of a wild boar,AI
9504,main defendant female,female person accused as main culprit,AI
9505,main burden,largest heaviest burden,AI
9506,main guard,central guard post,AI
9507,main bank,customers primary bank,AI
9508,house construction,construction of a building,AI
9509,fiscal year,period corresponding to a calendar year for a budget,AI
9510,budget consolidation,reduction of public debt to achieve a balanced budget,AI
9511,household goods,all items belonging to a household,AI
9512,spa resort,spa town with healing springs,AI
9513,remedy,substance or medical method that brings healing,AI
9514,homes dative,dative plural of the noun Heim,AI
9515,executioner,person who carries out executions,AI
9516,herald,announcer or messenger in the Middle Ages,AI
9517,mens team,group of male athletes forming a team,AI
9518,hornets nest,place of chaotic confusion,AI
9519,rear hand,player who plays the last card in a trick,AI
9520,back room,room accessible only through other rooms,AI
9521,sign,clearly visible flat object carrying a short message,AI
9522,peak form,best form or peak performance,AI
9523,high culture,advanced highly developed culture,AI
9524,highland,land area at higher elevation,AI
9525,stool,simple seat without back or armrest,AI
9526,testicle,male gonad,AI
9527,hopelessness,state of being without hope,AI
9528,court garden,garden of a court or palace,AI
9529,tutor,house tutor for nobility and wealthy families,AI
9530,hops,hops plant used to create bitterness in brewing,AI
9531,hormone,substance that transmits information between organs and regulates functions,AI
9532,humanism,philosophy centered on human interests values and dignity,AI
9533,image damage,undesired reduction of reputation,AI
9534,imam,person who leads ritual prayer in a mosque,AI
9535,import ban,ban on importing goods and services from abroad,AI
9536,Native American,indigenous inhabitant of America,AI
9537,industrial union,union of industry,AI
9538,industrial park,business park used by industrial companies,AI
9539,inferno,terrible catastrophic event,AI
9540,information booth,booth for providing information,AI
9541,infusion,introducing fluid into the body over time usually intravenously,AI
9542,injection,injection,AI
9543,interior design,furnishing of a room,AI
9544,islander,person living on an island,AI
9545,interested party,person interested in something,AI
9546,performer,performer of an existing artistic work,AI
9547,intrigue,malicious plan to exploit others for ones benefit,AI
9548,investment company,association of investors investing in securities property or commodities,AI
9549,odyssey,literary motif for wandering such as the Odyssey,AI
9550,hunting lodge,princely building in forest area built for hunting,AI
9551,annual income,income in a year,AI
9552,annual result,result of a fiscal year,AI
9553,annual assembly,assembly held yearly,AI
9554,turn of the century,transition from one century to the next,AI
9555,youth unemployment,state where many young job seekers cannot find work,AI
