id,translate,translate_description,source
11301,Vogler,surname,AI
11302,executor,person who carries out a decision or will,AI
11303,precondition,condition that must be met before an action occurs,AI
11304,preliminary match,match in the preliminary phase of a competition,AI
11305,growth forecast,forecast of economic growth,AI
11306,waffle,sweet crisp baked piece,AI
11307,arsenal,considerable collection or store of weapons,AI
11308,arms depot,store for weapons,AI
11309,truthfulness,tendency or habit of telling the truth,AI
11310,wall picture,picture on a wall,AI
11311,department store,store offering goods from many branches,AI
11312,hold music,phone call on hold with music while waiting to be connected,AI
11313,waiting room,room where one waits,AI
11314,water glass,drinking glass used for water,AI
11315,ups and downs,alternating situations,AI
11316,winegrower,winemaker,AI
11317,world heritage,totality of sites significant to human or earth history recognized by UNESCO,AI
11318,advertiser,person who creates and carries out advertising,AI
11319,West German,person from West Germany,AI
11320,competitive disadvantage,disadvantage in competition,AI
11321,weather god,god of the weather,AI
11322,formation of will,forming a will of a person or group,AI
11323,wind speed,speed of the wind,AI
11324,wind turbine,facility converting wind power into electricity,AI
11325,economic expert,expert in economic matters,AI
11326,business magazine,magazine or TV show on economic topics,AI
11327,economics professor,professor who teaches economics,AI
11328,economic system,typical structure of economic life in a country,AI
11329,housing unit,single dwelling unit,AI
11330,Wolga,car brand formerly Soviet and Russian,AI
11331,vocabulary,number of words in a language,AI
11332,root,root,AI
11333,taps,beginning of night rest or end of daily activities,AI
11334,tsar,historic ruler title in Russia Bulgaria and Serbia,AI
11335,pastime,activity to pass the time,AI
11336,tent city,large collection of tents serving as homes,AI
11337,inner conflict,state of inner conflict,AI
11338,cigar,tobacco rolled in a tobacco leaf and smoked,AI
11339,tin,chemical element number 50; silver white malleable metal,AI
11340,civil court,court for civil matters,AI
11341,tub,large open barrel,AI
11342,registration office,authority for approvals,AI
11343,auditorium,room in a cinema or theater for spectators,AI
11344,duplex,building where two separate parties can live,AI
11345,second residence,residence where one does not primarily live,AI
11346,inner conflict,inner conflict with oneself,AI
11347,interwar period,period between two wars especially between the world wars,AI
11348,current status,current status in the course of something,AI
11349,Abkhazia,region in the Caucasus,AI
11350,the West,geographical area shaped by antiquity and Christianity: the West,AI
11351,holding,carrying out an event,AI
11352,treatise,thorough written treatment of a topic,AI
11353,disgust,strong aversion,AI
11354,female graduate,woman who has completed education,AI
11355,relegation candidate,team or person likely to be relegated,AI
11356,abstraction,generalization from a higher viewpoint,AI
11357,acrylic,colorless plastic used for textiles and paints,AI
11358,adaptation,adjustment,AI
11359,goodbye,word for parting,AI
11360,adjective,word describing qualities or relations,AI
11361,addressee,recipient of a message,AI
11362,affect,intense emotional arousal,AI
11363,maple,deciduous tree with lobed leaves (genus Acer),AI
11364,chord,simultaneous harmonious sounding of multiple tones,AI
11365,credit grant,granting of a credit,AI
11366,action program,program with measures,AI
11367,mountaineer,mountaineer in high mountains,AI
11368,term length,duration of an office,AI
11369,removal from office,dishonorable dismissal from office,AI
11370,cultivation area,geographically defined area where something is grown,AI
11371,bond market,market for bonds,AI
11372,answering machine,device that answers calls and lets a caller leave a message,AI
11373,anthropology,"science of humans, their nature and development",AI
11374,antibiotic,medicine that inhibits microorganisms to treat bacterial infections,AI
11375,apartment,small comfortable flat,AI
11376,workforce,collective of workers,AI
11377,employee representation,representation of employees,AI
11378,colleague,person one works with,AI
11379,labor market policy,political activities regulating the labor market,AI
11380,aria,solo vocal piece usually accompanied by an orchestra,AI
11381,Arkansas,U.S. state,AI
11382,armada,war fleet consisting of many ships,AI
11383,medical assistant,female assistant in a practice who supports a doctor,AI
11384,ashtray,dish for tobacco ash,AI
11385,asceticism,strictly abstinent way of life,AI
11386,atom,smallest particle not further divisible chemically with neutral charge,AI
11387,field of responsibility,specialist or task area where tasks must be done,AI
11388,task definition,topic or issue to deal with,AI
11389,sincerity,attitude of expressing one's opinion or knowledge correctly,AI
11390,supervisory body,committee for oversight,AI
11391,courtesy visit,visit out of politeness,AI
11392,training position,position or job offering training,AI
11393,way of expression,manner of verbal or written expression,AI
11394,compensatory payment,payment to compensate,AI
11395,excavation,place where ruins or fossils are uncovered,AI
11396,temporary help,help in a difficult situation,AI
11397,stay abroad,temporary stay abroad,AI
11398,exceptional case,case that is an exception,AI
11399,horseback outing,leaving a place on horseback,AI
11400,exclamation,"usually involuntary, short, emotion-filled utterance",AI
