id,translate,translate_description,source
12501,parish council,body of pastor staff and elected members advising parish care,AI
12502,compulsory school,educational institution that must be attended by age or training,AI
12503,plow,agricultural tool to loosen and turn soil,AI
12504,phalanx,battle formation in ancient Greece in several ranks,AI
12505,piercing,piercing of body parts to attach jewelry,AI
12506,established post,designated position in public service,AI
12507,plastic bag,bag made of plastic,AI
12508,pommer,woodwind instrument with six to seven finger holes,AI
12509,pont,bridge in French,AI
12510,pontoon,wide ferry,AI
12511,doorman,man at entrance of buildings who assists people and gives information,AI
12512,postmodernism,developments and styles beyond modernity in art and society,AI
12513,practice,application of actions deeds by people,AI
12514,price fixing,legal or contractual requirement to sell at a fixed price,AI
12515,ordination,ordination as priest,AI
12516,prior,head of a monastery also general prior of an order,AI
12517,prism,transparent usually wedge shaped body bounded by intersecting planes,AI
12518,private detective,private freelance investigator,AI
12519,subject,person examined or participating in a scientific test,AI
12520,program director,person responsible for a broadcasters program,AI
12521,programming language,formal language for writing programs,AI
12522,proletariat,social class of landless and propertyless but not slaves,AI
12523,protest rally,rally protesting against something or someone,AI
12524,gunpowder barrel,barrel for storing and transporting gunpowder,AI
12525,punk rock,rock music style that emerged in the 1970s,AI
12526,qualification tournament,tournament for qualification,AI
12527,quota regulation,rule requiring certain shares of people in a group,AI
12528,act of revenge,punitive act as response to an attack or injustice,AI
12529,council chairwoman,nominative singular of Ratsvorsitzender,AI
12530,overexploitation,excessive use of natural resources causing rapid depletion or damage,AI
12531,accountability report,presentation of activities carried out for a client,AI
12532,accounting,totality of accounting systems including bookkeeping and cost accounting,AI
12533,rectangle,figure with four sides and right angles with opposite sides parallel,AI
12534,legal committee,committee dealing with legislation and justice,AI
12535,perversion of justice,criminal offense of intentional misapplication of law by an official,AI
12536,spelling,rule based standard spelling of a language,AI
12537,legal question,legal question,AI
12538,legal protection,protection of individual rights by the state,AI
12539,high bar,gymnastic apparatus for men with two posts and a bar,AI
12540,reformer,person in church history who advanced the Reformation,AI
12541,reform program,totality of reform measures,AI
12542,regent,ruling prince or monarch,AI
12543,government official,official working in government administration,AI
12544,administrative region,administrative district of a federal state,AI
12545,stirring,sudden feeling,AI
12546,rehabilitation,restoring good reputation,AI
12547,Reich chancellor,title of head of government in various systems,AI
12548,sequence,sequence or series,AI
12549,tour guide,person who supervises a tour group,AI
12550,travel bag,bag for travel luggage,AI
12551,advertising,promotion of a service or product sometimes intrusive,AI
12552,relegation match,deciding match for staying in or moving up a league,AI
12553,religion teacher,teacher who teaches religion in school,AI
12554,relic,physical remains or object of a saint kept and revered,AI
12555,renovation,renovation in Swiss usage,AI
12556,pension entitlement,entitlement to a pension,AI
