id,translate,translate_description,source
8601,wind orchestra,large group of musicians playing wind instruments,AI
8602,bodywork damage,accident damage with only material damage,AI
8603,drill,rod-shaped tool for making round holes,AI
8604,Botswana,state in southern Africa,AI
8605,ribcage,bony cage enclosing heart and lungs,AI
8606,bookshop,shop selling books,AI
8607,federal health ministry,top health authority of a federal state,AI
8608,federal constitution,constitution of a federal state,AI
8609,top management,company leadership,AI
8610,top job,position as top leader,AI
8611,chemical,chemical substance produced industrially or in a lab,AI
8612,Chiemsee,lake in Bavaria,AI
8613,Chinese,citizen of China,AI
8614,chlorine,"chemical element, atomic number 17",AI
8615,cup winner,winner of a cup competition,AI
8616,Dakar,capital of Senegal,AI
8617,delegates' assembly,assembly of delegates,AI
8618,idiot,person with lower intelligence or sense,AI
8619,detective,usually private investigator,AI
8620,employee,employee (Austrian),AI
8621,dispute,exchange of arguments to convince the other side,AI
8622,disqualification,exclusion from competition for rule violations,AI
8623,dogma,fundamental doctrine with binding truth claim,AI
8624,donna,title of address for certain Italian noblewomen,AI
8625,bicycle,bicycle,AI
8626,dramatist,person who writes dramas,AI
8627,turnstile,cross-shaped device allowing one person at a time,AI
8628,understanding,understanding of connections,AI
8629,mean value,mean value of measurements,AI
8630,honorary member,member with honorary status,AI
8631,reverence,awe based on respect,AI
8632,initiative,activity initiated without outside stimulus,AI
8633,ingenuity,having many ideas,AI
8634,integration,integration into a larger unit,AI
8635,income tax,tax on income of natural persons,AI
8636,emergency vehicle,specially equipped vehicle used in service operations,AI
8637,task force,group for an operation,AI
8638,formal objection,formal objection,AI
8639,registration,act of writing into an official place,AI
8640,objection,reaction expressing concerns,AI
8641,individual,person alone without companions,AI
8642,individual time trial,time trial in cycling,AI
8643,iceberg,large floating mass of ice,AI
8644,vanity,excessive concern for one's own perfection,AI
8645,release,"release from something, especially an obligation",AI
8646,expedition,journey to discover something new,AI
8647,remuneration,consideration agreed in a contract,AI
8648,derailment,accident where a rail vehicle leaves the tracks,AI
8649,epidemic,mass occurrence of a disease in a population,AI
8650,epic,long narrative in verse,AI
8651,team,group of athletes competing together,AI
8652,success rate,share of successful cases,AI
8653,world of experiences,experience world,AI
8654,encouragement,attempt to give someone more courage,AI
8655,substitute,substitute player,AI
8656,astonishment,state of having to be amazed,AI
8657,paid work,work to earn a living,AI
8658,eater,person who is eating or likes to eat a lot or has certain eating habits,AI
8659,Estonian,citizen of Estonia,AI
8660,female European champion,female leader in a discipline; winner of a European championship,AI
8661,subsistence minimum,amount of material means minimally necessary to make a living,AI
8662,export economy,economy of exports,AI
8663,facet,angular cut surface; one of the many faces of a cut gemstone,AI
8664,field of expertise,area of work or knowledge focused on a specific coherent part of the world,AI
8665,professional competence,professional competence,AI
8666,technical school,educational institution specialized in a field and teaching it in a specialized program,AI
8667,family property,everything owned by a family,AI
8668,family drama,tragic complicated event in a family,AI
8669,farmer,person who owns and usually operates a farm,AI
8670,laziness,inner mood or attitude of not wanting to do anything strenuous,AI
8671,fig,edible sweet fleshy fruit of the fig tree,AI
8672,fig leaf,leaf of the fig tree,AI
8673,boulder,piece of rock,AI
8674,feminist,female person advocating feminism and womens rights,AI
8675,heel,back part of the foot,AI
8676,landline network,system of telephone connections via cables and lines,AI
8677,festive speech,solemn speech,AI
8678,fire chief,leader of a fire brigade,AI
8679,financial strength,ability to have or obtain funds,AI
8680,financial market,totality of markets where financial resources are traded,AI
8681,Finke,family name,AI
8682,fish market,market where usually fresh fish is sold or auctioned,AI
8683,butcher,craft profession dealing with slaughter and preparing meat for food,AI
8684,flight risk,possible danger that someone will flee,AI
8685,escape route,designated safe route for self rescue and access for rescuers,AI
8686,fund company,company that collects investor money and issues fund shares,AI
8687,forestry office,office responsible for forestry,AI
8688,locomotion,movement or getting ahead from a point,AI
8689,fossil,evidence of past life older than 10000 years,AI
8690,photo appointment,appointment for taking photos,AI
8691,womens movement,large group seeking recognition and equality of women,AI
8692,womens day,day for women on 8 March,AI
8693,freestyle,free style for example in sports,AI
8694,exemption,making free or being exempted,AI
8695,leisure activities,shaping of leisure time,AI
8696,peace mission,assignment to ensure security and peace,AI
8697,peace prize,prize for peace achievements,AI
8698,gangster,member of a criminal gang,AI
8699,garden show,exhibition for horticulture,AI
8700,innkeeper,person who runs a hospitality business,AI
