id,translate,translate_description,source
11701,farm worker,person employed as a worker in agriculture,AI
11702,state law,law passed by a state parliament,AI
11703,father of the state,ruler of a state,AI
11704,landgrave,noble title higher than count,AI
11705,Landsgemeinde,Swiss popular assembly,AI
11706,life sphere,totality of spatial social and other conditions of someones life,AI
11707,way of life,way one shapes ones life,AI
11708,domestic partnership,lasting cohabitation of persons often sexual partners in a household,AI
11709,life planning,totality of decisions and considerations on how to shape ones life,AI
11710,way of life,way people shape their personal and moral life,AI
11711,treat,something that is especially liked to eat,AI
11712,teacher training,training of teachers,AI
11713,teaching staff,all teachers at a school or district,AI
11714,course,teaching unit within a university program,AI
11715,apprenticeship period,time during which someone completes an apprenticeship,AI
11716,undershirt,term for various sleeveless garments,AI
11717,passion story,religion the story of the suffering of Christ,AI
11718,way of suffering,fateful sequence of painful events,AI
11719,Leitgeb,person who sells food and drink for immediate consumption for payment,AI
11720,dominant culture,culture that is dominant and guiding in a region or country,AI
11721,lecturer,instructor responsible for teaching specific skills or knowledge,AI
11722,lethargy,abnormal sleepiness narcolepsy,AI
11723,letter,letter character,AI
11724,encyclopedia,alphabetically ordered reference work,AI
11725,Liberia,state in West Africa,AI
11726,libretto,text book of a musical work especially stage works like opera operetta singspiel,AI
11727,light ray,light emitted in a straight line from a source,AI
11728,love song,song about love,AI
11729,song recital,evening event where songs are performed for an audience,AI
11730,deck chair,folding seat or recliner with a stretched fabric seat,AI
11731,limes,border wall of the Roman Empire,AI
11732,scheduled flight,flight on a regularly served route,AI
11733,lip service,statement promising something that is not meant seriously,AI
11734,literary prize,award for achievements in literature,AI
11735,laurel,plant genus Laurus,AI
11736,lover,male romantic partner,AI
11737,balloon,rubber shell filled with air or helium often a colorful toy on a string,AI
11738,lunch,small light midday meal,AI
11739,position of power,position with power and influence,AI
11740,power center,person or institution that makes key decisions for its area,AI
11741,maid,female person employed for simple daily work such as household tasks,AI
11742,folder,two connected covers that open for carrying small items,AI
11743,Marxism,theory based on Karl Marx and Friedrich Engels,AI
11744,medal winner,person who won a medal,AI
11745,media entrepreneur,entrepreneur in the media sector,AI
11746,difference of opinion,different assessment or evaluation of something,AI
11747,view of humanity,impression or opinion a person has about people,AI
11748,human rights commission,commission to protect human rights,AI
11749,Meran,city in South Tyrol,AI
11750,metamorphosis,change or transformation of form or state,AI
11751,rent,price paid for temporary use of property goods or services,AI
11752,mixed breed,offspring of crossing different lines breeds or species,AI
11753,loss of credit,loss of credit poor credit,AI
11754,fellow human,human being who lives with others in society,AI
11755,model experiment,trial on a model scale,AI
11756,fashion designer,person who designs clothing,AI
11757,monoculture,concentrated cultivation of one plant species in one area,AI
11758,monopoly position,state of having a monopoly,AI
11759,harmonica,folk instrument played by blowing and drawing while moving across the mouth,AI
11760,musical instrument,manual sound producing device used to play music,AI
11761,mysticism,form of religiosity seeking personal experience of union with God or transcendent powers,AI
11762,navel,scar remaining after the umbilical cord falls off also short for belly button,AI
11763,Nairobi,capital of Kenya,AI
11764,name plate,small labeled plate attached to an object to explain it,AI
11765,name day,commemoration day of the name saint,AI
11766,nation state,state whose inhabitants belong to one nation,AI
11767,force of nature,natural process with high threatening energy,AI
11768,by product,something produced additionally during a process,AI
11769,newton meter,unit of torque equal to joule,AI
11770,non smoker,person who does not inhale burned tobacco,AI
11771,nomination,nomination naming,AI
11772,usage concept,concept of use,AI
11773,obi,wide belt worn with a kimono,AI
11774,obolus,small coin in ancient Greece,AI
11775,optimum,best result under given conditions and ability limited approach to the ideal,AI
11776,oracle,ancient site where a medium gives prophecies or answers in riddling statements,AI
11777,orgasm,peak of sexual pleasure during intercourse masturbation or other sexual acts,AI
11778,female parliamentarian,female member of a parliament,AI
11779,expulsion from party,exclusion from a party as a sanction,AI
11780,party card,document proving membership in a party,AI
11781,taking sides,one sided stance in favor of a conflict party,AI
11782,partner country,country in partnership,AI
11783,patent office,authority that grants protection rights for intellectual property or trademarks,AI
11784,stalemate,chess position where no legal move without check and game is a draw,AI
11785,HR manager,superior responsible for personnel matters,AI
11786,group of persons,group of persons,AI
11787,passenger train,train for transporting people not freight,AI
11788,equestrian sport,all sports where human and horse work together,AI
11789,peach,fruit of the peach tree,AI
11790,plant protection,protection of plants,AI
11791,care case,person who cannot manage life without help,AI
11792,pirate,robber who attacks ships or aircraft,AI
11793,poet,artist who creates poetic works,AI
11794,pogrom,riots against specific groups in a society,AI
11795,political disillusionment,negative attitude toward politics,AI
11796,populist,person who is an adherent or representative of populism,AI
11797,porter,dark malty beer,AI
11798,mail carrier,person who delivers mail,AI
11799,postal code,letter or number combination indicating delivery area,AI
11800,intern,person who completes an internship,AI
