id,translate,translate_description,source
7801,tray,open container or place to put things (usually paper),AI
7802,agreement,verbal or written agreement that is binding,AI
7803,secondment,sending a group of people in the employer's interest,AI
7804,depreciation,reduction of book value due to wear or uncollectibility,AI
7805,descent,origin in evolutionary lineage; family origin,AI
7806,voting behavior,how someone votes,AI
7807,badge,wearable copy of a sign or symbol,AI
7808,Aden,city in Yemen,AI
7809,admiral,naval rank,AI
7810,joint-stock company,corporation whose capital is divided into shares,AI
7811,acoustics,study of sound and tones,AI
7812,alcoholic,person dependent on alcohol,AI
7813,Allah,God in Islam,AI
7814,Alpine area,regions in and around the Alps,AI
7815,old-age provision,comprehensive provision for people in retirement,AI
7816,old master,long-recognized master of a craft or art,AI
7817,ambivalence,double meaning; inner conflict,AI
7818,ant,social insect of the family Formicidae,AI
7819,Amman,capital of Jordan,AI
7820,abuse of office,misuse of the power of office,AI
7821,hint,"indirect, vague hint",AI
7822,Andorra,small state between France and Spain,AI
7823,contestation,request to reconsider an unfair decision,AI
7824,pivot point,point around which a body can rotate,AI
7825,Angola,state in southwest Africa,AI
7826,crediting,offset or crediting of a performance or period,AI
7827,entitlement,right to acquire or claim something,AI
7828,form of address,designation used to address people,AI
7829,collection,a quantity of unspecified number,AI
7830,incitement,inducing someone to commit a crime or bad act,AI
7831,anti-fascism,political opposition to fascism and developments toward it,AI
7832,attraction,place or event that arouses interest,AI
7833,apartheid,former racial segregation in South Africa,AI
7834,employee representative,person representing the interests of all employees,AI
7835,work permit,official permit for a foreigner to seek and take paid work,AI
7836,employment service,service for job placement,AI
7837,labor minister,head of a labor ministry,AI
7838,dashboard,panel with gauges and controls in a vehicle or machine,AI
7839,performer,"performing artist, mainly in variety or circus",AI
7840,nuclear facility,"technical facility of nuclear research, industry or armament",AI
7841,nuclear power,state possessing ready-to-use nuclear weapons,AI
7842,atrium,square inner room of a Roman house with an opening in the ceiling,AI
7843,Attersee,lake in Austria,AI
7844,medical certificate,doctor's certificate or health certificate,AI
7845,audience,formal reception by a high-ranking person or celebrity,AI
7846,audience,group of listeners,AI
7847,print,something printed on fabric or paper,AI
7848,residence permit,official permit to stay in a country for a limited time,AI
7849,staff room,room in a company or authority where staff may stay,AI
7850,essay,short written composition,AI
7851,supervisory board chair,person who chairs the supervisory board,AI
7852,awarding of contracts,award of orders,AI
7853,apprenticeship position,training position for a person receiving vocational training,AI
7854,curfew,official prohibition on leaving home within a set time,AI
7855,balance,"balance, equilibrium",AI
7856,display,"presentation of goods, e.g., in shop windows or markets",AI
7857,exercise run,free movement for someone or something,AI
7858,discontinued model,product still available but outdated,AI
7859,exploitation,use of something for one's benefit,AI
7860,exhibition room,room in a building where exhibitions are held,AI
7861,automotive group,very large company in the automotive sector,AI
7862,automation,production of goods that runs largely on its own,AI
7863,avenue,street leading to a particular place,AI
7864,bakery workshop,room where bakery and confectionery products are made,AI
7865,bathing resort,place at a lake or sea whose main income is bathing tourism,AI
7866,ballad,long poem often with a tragic ending,AI
7867,ballast,material or component that stabilizes an object and is heavy for its size,AI
7868,rally,alternating play of the ball in racket sports,AI
7869,bank branch,branch office of a bank,AI
7870,mercy,the quality of being merciful,AI
7871,baseball,team sport with a bat and ball,AI
7872,farmhouse,house used and inhabited by farmers,AI
7873,Bauhaus,design and architecture movement,AI
7874,construction industry,companies producing structures and related services and products,AI
7875,tree trunk,connection between roots and crown of a tree,AI
7876,wadding,formless soft wool-like mass,AI
7877,construction rubble,waste produced at a construction site or demolition,AI
7878,construction halt,interruption of construction activity,AI
7879,construction contractor,operator or owner of a construction company,AI
7880,case of need,situation in which something is needed,AI
7881,time to think,period to reflect,AI
7882,talent,innate above-average ability,AI
7883,lust,passionate desire,AI
7884,circle of acquaintances,set of people one knows at some distance,AI
7885,consulting firm,firm that provides advice,AI
7886,department head,head of a department or responsibility area,AI
7887,on-call duty,time an employee must be on standby,AI
7888,mountaineering,mountain hiking or alpine climbing in high regions,AI
7889,vocational education,training for a profession,AI
7890,occupying power,state whose troops occupy an area,AI
7891,gift-giving,distribution of Christmas gifts on Christmas Eve,AI
7892,corruptibility,morally reprehensible character trait,AI
7893,endeavor,serious effort to reach a goal,AI
7894,number of visitors,number of people who visited,AI
7895,subject,subject of a document or email,AI
7896,staff meeting,assembly of the workforce,AI
7897,paternalism,interference that excludes free decisions,AI
7898,favoritism,preferential treatment,AI
7899,evidence material,objects and records that clarify a case,AI
7900,female applicant,female person who applies,AI
