id,translate,translate_description,source
11501,final disposal,permanent storage of waste,AI
11502,development policy,political measures related to development aid,AI
11503,globe,"the planet Earth, emphasizing its spherical shape",AI
11504,success report,report of a success,AI
11505,success story,story of success,AI
11506,leisure pool,leisure pool with attractions,AI
11507,theme park,theme park,AI
11508,enlightenment,insight leading to new consciousness,AI
11509,humiliation,degrading treatment,AI
11510,first edition,first publication of a printed work,AI
11511,establishment,business or venue sometimes of questionable reputation,AI
11512,budget draft,thought out but not yet approved plan for a budget with income and expenses,AI
11513,Eurotunnel,50 km railway tunnel under the Strait of Dover between Folkestone in the UK and Coquelles in France,AI
11514,euthanasia,easing of dying through pain relieving medicines and care,AI
11515,executive committee,committee in an organization that decides and implements,AI
11516,exhibitionist,person who gains sexual pleasure from exposing themselves to strangers,AI
11517,exporter,trader who exports goods abroad,AI
11518,female specialist,female person trained in a field with corresponding knowledge,AI
11519,driving service,service for driving or transport,AI
11520,crease,long unevenness in a flat smooth surface especially in textiles paper skin and similar,AI
11521,color accent,small color accent,AI
11522,fencer,athlete who practices fencing,AI
11523,misdevelopment,change in the wrong direction over time,AI
11524,long haul driver,truck driver who performs transport over long distances,AI
11525,telescope,optical device with one eyepiece to improve distant vision,AI
11526,television studio,rooms of an institution where TV programs are produced,AI
11527,television crew,work group that makes TV recordings,AI
11528,party,casual informal celebration,AI
11529,feuilleton,culture section of a newspaper,AI
11530,fighter,fighter in English,AI
11531,file,file in English,AI
11532,film reel,spool on which a film is wound,AI
11533,felt,tangled fibrous material made by compressing unspun hair or wool,AI
11534,final victory,victory in the final of a tournament or competition,AI
11535,fixation,fastening of someone or something,AI
11536,air passenger,person traveling by airplane,AI
11537,formal error,error in form or formality,AI
11538,research community,association of researchers or institutions for joint research,AI
11539,camera,device for taking photos,AI
11540,group board,board of a parliamentary group,AI
11541,Franciscan,member of a mendicant order founded by Francis of Assisi,AI
11542,gynecologist,doctor specializing in womens diseases and obstetrics,AI
11543,freak,person passionately devoted to a specific topic,AI
11544,baron,noble title,AI
11545,tourism,travel and holiday traffic by non residents,AI
11546,peace conference,meeting to discuss a state of peace,AI
11547,Fromme plural,nominative plural of the noun Frommer,AI
11548,ore pit,place where an ore vein is first uncovered,AI
11549,female gallerist,female person who runs an art gallery,AI
11550,gallows,device for carrying out death by hanging,AI
11551,chamois,cloven hoofed animal of high mountains of Europe and Asia Minor,AI
11552,set,several separate pieces that form a unit,AI
11553,restaurant business,gastro business operation,AI
11554,donor,person or organization that gives something,AI
11555,dentition,entire set of teeth,AI
11556,exchange of ideas,exchange of thoughts or ideas,AI
11557,prisoner camp,camp where prisoners are held,AI
11558,contemporary art,art of the present,AI
11559,affectation,usually negative affected behavior,AI
11560,salary list,list of the salaries of all employees in a company,AI
11561,stinginess,unwillingness to give up something like money,AI
11562,gel,firm gelatinous mass; multiphase mixture of solid and liquid phases,AI
11563,lack of money,shortage of money,AI
11564,money source,means of obtaining money or generating income,AI
11565,banknote,paper money used as a means of payment,AI
11566,escort,accompaniment for protection or honor,AI
11567,gendarme,rural police officer,AI
11568,female comrade,female person who accompanies another,AI
11569,gene therapy,therapy that changes genetic sequences to treat diseases,AI
11570,history book,book about past events and developments used for teaching,AI
11571,tastelessness,lack of taste or flavorless,AI
11572,legislative process,process of legislation,AI
11573,Gestapo,Nazi era police authority responsible for political crimes and persecution,AI
11574,health prevention,measures for health prevention,AI
11575,act of violence,violent act,AI
11576,goodwill,company value intangible value,AI
11577,gravestone monument,stone or monument on a grave with information,AI
11578,border delineation,determining the course of a border,AI
11579,Greek,Indo European language spoken mainly in Greece,AI
11580,basic course,introductory course,AI
11581,basic rule,decisive rule on which others build,AI
11582,gymnasium student,person attending a gymnasium,AI
11583,friend,friend or drinking buddy,AI
11584,habitus,outer appearance of a living being or group,AI
11585,tack,sailing maneuver to change direction,AI
11586,hand movement,movement made with the hand,AI
11587,trade system,system of trade,AI
11588,craft business,company whose work area is a specific craft,AI
11589,blow,strong strike with an object,AI
11590,main department,most important department of an organization,AI
11591,main actor,one of the most important persons in a film or play,AI
11592,main argument,central most important argument,AI
11593,main place,most significant place of a region,AI
11594,receiving stolen goods,trade in stolen items,AI
11595,sanctuary,holy site for worship of a god,AI
11596,home resident,person accommodated in a home,AI
11597,home place,place where someone is or can become at home,AI
11598,cogeneration plant,power plant that produces heat as well as electricity,AI
11599,helium,chemical element with atomic number 2,AI
11600,obstacle,impediment or obstacle,AI
