id,translate,translate_description,source
14001,life circumstance,circumstance of life,AI
14002,educational institution,institution whose task is to teach,AI
14003,teaching assignment,authorization obligation to conduct a course or courses,AI
14004,teaching post,position for a teacher,AI
14005,balance of payments,balance sheet of foreign trade,AI
14006,rood screen,stone or wooden screen separating choir from nave in a church,AI
14007,Lebanese,citizen of Lebanon,AI
14008,light year,distance light travels in one year about 9.46 trillion kilometers,AI
14009,favorite topic,topic someone likes to talk about often,AI
14010,affair,temporary intimate relationship,AI
14011,supply contract,contract for deliveries,AI
14012,league member,member of a league,AI
14013,limit value,threshold or upper bound,AI
14014,Lipizzaner,horse breed from Lipizza,AI
14015,writer,person engaged in writing often without much creativity,AI
14016,wage demand,demand for higher wages,AI
14017,wage round,wage negotiations between unions and employers usually yearly,AI
14018,local derby,derby between local rivals,AI
14019,lolita,childlike appearing woman with erotic charisma,AI
14020,pilot,seaman who guides ships through difficult waters,AI
14021,Lummer,family name,AI
14022,pleasure garden,park like garden for recreation,AI
14023,comedy,humorous theatrical presentation,AI
14024,Luxor,city in Egypt,AI
14025,intrigue,secret questionable deal or plot,AI
14026,claim to power,claim to power,AI
14027,Macedonia,region or state in southeastern Europe,AI
14028,waste paper,defective print sheets or unusable printed products,AI
14029,painting competition,competition in painting,AI
14030,mammoth,extinct elephant genus Mammuthus,AI
14031,Managua,capital of Nicaragua,AI
14032,man marker,football player who closely marks an opponent,AI
14033,model,female person who presents clothes,AI
14034,teammate,person on the same team,AI
14035,team championship,championship for teams,AI
14036,brand product,high quality product of a well known brand,AI
14037,market opportunity,opportunity in the market,AI
14038,marquis,French noble title,AI
14039,Marxist,adherent of Marxism,AI
14040,mass circulation paper,newspaper for a large and undemanding readership,AI
14041,mass dismissal,simultaneous termination of many employment relationships,AI
14042,mass flight,flight of a large number of people,AI
14043,weapon of mass destruction,weapon causing severe and lasting damage to large populations,AI
14044,focusing screen,translucent screen where an image is projected for manual focus,AI
14045,Moor,member of Berber tribes in North Africa later Islamized by Arabs,AI
14046,Mautner,family name,AI
14047,medical student,person who studies medicine,AI
14048,megahertz,unit of frequency one million hertz,AI
14049,additional expense,additional financial outlay beyond expected,AI
14050,additional income,additional income beyond expected or usual,AI
14051,majority decision,decision by the majority,AI
14052,majority voting system,election method where majority chooses from options,AI
14053,human rights group,group for human rights,AI
14054,human rights violation,violation of one or more human rights,AI
14055,measured value,result of a measurement expressed by number and unit,AI
14056,methadone,opioid with analgesic effect,AI
14057,rental income,income from renting,AI
14058,microorganism,microscopic organism visible only with a microscope,AI
14059,microprocessor,very small processor with all components on a substrate,AI
14060,dairy product,food made from milk usually cow milk,AI
14061,mimus,actor in ancient Rome also mime poet,AI
14062,revenue shortfall,loss of income,AI
14063,mineral nutrient,inorganic trace element or salt required for life functions taken in food or supplements,AI
14064,ministerial councillor,senior official in a ministry,AI
14065,mass,term for the Roman Catholic mass and its musical setting,AI
14066,membership fee,annual fee paid by members,AI
14067,mid sized company,medium sized company by staff or turnover,AI
14068,metacarpus,middle part of the hand between wrist and fingers,AI
14069,mediator,person who mediates between persons groups or institutions,AI
14070,modernizer,person who modernizes,AI
14071,molotov cocktail,improvised incendiary device often a gasoline filled bottle,AI
14072,monopolist,holder of a monopoly,AI
14073,monotony,tedious uniformity boring repetition,AI
14074,moralist,person who advocates moral principles,AI
14075,mosquito,tropical mosquito,AI
14076,mullah,title for Islamic scholars,AI
14077,mudslide,water caused slide of earth and stones on sloped terrain,AI
14078,female musician,female person who makes music for dance or entertainment sometimes with a negative tone,AI
14079,music lover,person who loves music,AI
14080,music life,totality of activities in the field of music,AI
14081,musketeer,heavily armed infantry soldier of the 16th and 17th centuries later a rank,AI
14082,test case,court case to clarify the legal situation and serve as example for future cases,AI
14083,successor state,new sovereign state that arises after the breakup of a larger state,AI
14084,investigation,attempt to find something out by following a matter,AI
14085,postwar year,year after the end of a war,AI
14086,reference work,collection of data in alphabetical or systematic order,AI
14087,night hour,sixty minute unit during nighttime,AI
14088,young talent,young new worker,AI
14089,nature lover,person who loves nature,AI
14090,tributary,river flowing into a larger river,AI
14091,taker,person who takes or accepts something,AI
14092,nerve cell,cell that transmits impulses,AI
14093,new hiring,new hiring of staff,AI
14094,new issue,issue of new securities,AI
14095,new acquisition,newly acquired object,AI
14096,New Guinea,island in Oceania,AI
14097,neurosis,psychological disorder with behavioral disturbance and awareness by the patient,AI
14098,neutron,neutral nucleon in the atomic nucleus made of up and down quarks,AI
14099,first registration,first official approval for a car to drive on roads,AI
14100,non member,person or organization that does not belong to a group,AI
