id,translate,translate_description,source
701,Aachen,city in western Germany near Belgium,AI
702,dismantling,removal and deconstruction of structures and other (even temporary) technical or artificial installations,AI
703,adventure,"an unusual, exciting, sometimes romantic experience",AI
704,downward passage,a way leading downward; stairs or a ramp,AI
705,female MP,elected female member of a parliamentary assembly,AI
706,process,"process, sequence",AI
707,rejection,negative reaction; dismissal or aversion,AI
708,abolition,making something invalid or non-existent,AI
709,section,the cut-off part; a segment,AI
710,seclusion,place far away from a reference point,AI
711,descent,climbing down from height,AI
712,department,part of a larger unit,AI
713,defense,measure to stop an attack or its effects,AI
714,round of 16,stage with last sixteen teams/players,AI
715,Afghanistan,state in South Asia,AI
716,Africa,continent,AI
717,agenda,list of tasks to be worked through,AI
718,agency,office providing brokerage services or representing clients' interests,AI
719,rechargeable battery,accumulator; rechargeable battery,AI
720,alarm,call to readiness or warning in case of danger,AI
721,album,"container, originally book-form, for multiple collectible objects",AI
722,alliance,alliance; treaty-bound association,AI
723,old town,oldest part of a city,AI
724,the Americas,double continent of the Americas,AI
725,American,inhabitant of the American continents,AI
726,hanging lamp,small bowl-shaped lamp hanging from the ceiling,AI
727,taking office,assumption of a public office,AI
728,local court,court of ordinary jurisdiction,AI
729,recognition,expression of appreciative praise,AI
730,matter,"the matter, the case",AI
731,arrival,arrival at a destination,AI
732,request,wish directed to someone,AI
733,registration,official registration; the act of registering,AI
734,adaptation,process or result of adapting,AI
735,strike,action involving striking something,AI
736,antisemitism,generalized hostility toward Jews,AI
737,lawyer,authorized legal representative,AI
738,application,use of something for a purpose,AI
739,sign,observed thing indicating something else,AI
740,applause,"expression of approval, especially by clapping",AI
741,worker,"person who earns wages, usually manual labor, part of the working class",AI
742,employee,person employed by a company and paid for work,AI
743,labor market,collective term for available jobs and their conditions,AI
744,archival image,image from an archive,AI
745,area,"area, region",AI
746,arena,venue for competitions,AI
747,arm,paired body part between torso and hand; forelimb,AI
748,doctor,physician who completed medical studies and treats illnesses,AI
749,Asia,continent,AI
750,construction,process of building a structure or system,AI
751,start,the beginning of something,AI
752,excitement,feeling of tension and unrest,AI
753,attention,public attention,AI
754,supervisory board,legally required multi-member body overseeing company management,AI
755,upwardly mobile person,person who has risen to a higher social or professional status,AI
756,demeanor,behavior or conduct in society,AI
757,effort,energy or work needed to carry out an action,AI
758,view,view over a large area; outlook,AI
759,breakout,act of breaking out or escaping from confinement,AI
760,excursion,"short trip, often for recreation",AI
761,issuance,"act of issuing, distributing, or announcing something",AI
762,exit,opening or door to leave a building or space,AI
763,compensation,bringing about balance by offsetting differences,AI
764,exception,deviation from a rule,AI
765,alignment,the act of aligning,AI
766,committee,part of a larger group dealing with specific topics,AI
767,broadcast,sending or transmission,AI
768,furnishings,furnishings or equipment of a room,AI
769,Australia,continent and country Australia,AI
770,evaluation,drawing conclusions from findings or known facts,AI
771,marking,highlighting of text; clean drafting of technical drawings for reproduction,AI
772,female author,female writer,AI
773,baby,child in the first year of life,AI
774,balcony,"part of a building projecting outside, bordered by a low wall",AI
775,Barcelona,city in Spain,AI
776,Basel,city in Switzerland,AI
777,construction site,place where a fixed object is built or altered,AI
778,Bavarian,person born or living in Bavaria,AI
779,concern,consideration or doubt about something,AI
780,encounter,"meeting of people, vehicles, or objects",AI
781,enthusiasm,overwhelming joy or excitement,AI
782,companion,person who accompanies someone,AI
783,accompaniment,additional supporting voice in a melody,AI
784,stress,strain that can cause damage,AI
785,Belgium,state in Western Europe,AI
786,observer,person who observes a person or situation,AI
787,advisor,qualified person who gives advice,AI
788,consultation,advice from a person or organization to another,AI
789,readiness,state of being ready to do something,AI
790,reporting,informing a group or the public about a matter,AI
791,Bern,capital of Switzerland,AI
792,profession,specialized learned occupation,AI
793,decision,decision or agreement; outcome of deliberation,AI
794,occupation,stationing of troops in a foreign area,AI
795,possession,actual control over a thing,AI
796,stock,quantity of existing items,AI
797,component,part of an object or whole,AI
798,participation,taking part or involvement,AI
799,amount,size or extent of a quantity,AI
800,care,watching over and helping someone,AI
