id,translate,translate_description,source
2301,elite,small group with high social status,AI
2302,energy supply,provision and delivery of energy,AI
2303,entertainer,person who entertains an audience,AI
2304,entertainment,professional activity with the purpose of entertaining,AI
2305,resolve,strong-willed approach toward a goal,AI
2306,apology,expression of regret for a mistake,AI
2307,natural gas,"combustible gas in the Earth's crust, mostly methane",AI
2308,success story,very successful development or report,AI
2309,permission,consent to do something,AI
2310,appointment,granting of a title or status,AI
2311,construction,construction of a building or monument,AI
2312,phenomenon,circumstance perceived by the senses,AI
2313,appearance,external visible image,AI
2314,expectation,state of tension waiting and impatience,AI
2315,acquisition,act of acquiring,AI
2316,upbringing,social interaction in which educators aim to develop or reinforce desired behavior in the person being educated,AI
2317,Estonia,state in the Baltic region,AI
2318,evacuation,removal of people from a dangerous location such as clearing a home or area before during or after disasters like floods fires or bomb alerts,AI
2319,executive branch,executive power in state theory one of three powers alongside legislative and judicial,AI
2320,exile,self chosen or forced banishment,AI
2321,expansion,increase of spatial extent,AI
2322,infill panel,space between beams of a half timbered wall filled with clay or bricks,AI
2323,flag,unique piece of fabric attached to a pole to convey information,AI
2324,roadside edge,side edge of a road or a bike path,AI
2325,timetable,overview of the travel times of a transport service,AI
2326,cyclist,person who moves by bicycle,AI
2327,driving style,way of driving,AI
2328,family company,company run by a family,AI
2329,family father,man with at least one child who usually cares with the mother within a family,AI
2330,mounting,fastening or holder for something,AI
2331,fascination,attractive effect,AI
2332,feature,non fictional radio genre,AI
2333,misconduct,wrong inappropriate behavior,AI
2334,delicacy,something fine or delicate,AI
2335,glacier,mass of ice formed from firn that flows slowly downhill,AI
2336,ceremonial act,celebration of a festival,AI
2337,festival tent,temporary event space made of poles and tarps for festivals and other events,AI
2338,fat,group of organic chemical substances; tri esters of glycerol and various fatty acids,AI
2339,moisture,state of being moist; presence of water in small amounts,AI
2340,firehouse,building of the fire brigade,AI
2341,fever,increase in body temperature during illness; defense reaction to kill pathogens,AI
2342,filmmaker,person who directs feature short or documentary films often also the author,AI
2343,tax office,local authority responsible for administering taxes,AI
2344,finance ministry,ministry responsible for a state finances,AI
2345,fitness,physical and mental well being,AI
2346,flair,positive personal atmosphere usually of a place,AI
2347,flank,side of the body of four legged mammals,AI
2348,pilot,operator of an aircraft,AI
2349,fleet,group of several related civilian or military ships,AI
2350,airline,company providing regular air transport for passengers or freight,AI
2351,high tide,period of rising water at sea coasts usually twice a day,AI
2352,football,umbrella term for team sports played with the foot,AI
2353,force,strength in English,AI
2354,forint,medieval means of payment in Europe,AI
2355,wording,deliberate choice of words to express a thought,AI
2356,photographer,person who professionally makes and edits photos,AI
2357,foul,rule violation that unfairly disadvantages an opponent,AI
2358,question mark,punctuation that marks a sentence as a question,AI
2359,group leader,person who leads a parliamentary group,AI
2360,peace plan,plan to create peace,AI
2361,frost,cold below zero degrees Celsius,AI
2362,guarantee,assurance or binding promise,AI
2363,inn,place where one can eat drink or stay overnight,AI
2364,opposite carriageway,lane or lanes for traffic in the opposite direction,AI
2365,opponent,person one competes against in a game,AI
2366,conceded goal,goal scored by the opposing team,AI
2367,oncoming traffic,traffic moving in the opposite direction,AI
2368,intelligence service,agency that secretly gathers information to protect the state,AI
2369,wallet,small bag for cash,AI
2370,chief prosecutors office,highest authority in a state responsible for prosecution,AI
2371,general meeting,annual meeting of shareholders or members to discuss developments,AI
2372,courtroom,large room where a court can hear cases,AI
2373,smell,emanation perceived by the sense of smell; subjective sensory perception,AI
2374,entire year,period covering a whole year,AI
2375,total damage,total damage,AI
2376,singing,use of the voice to produce sound and melody by humans or certain animals,AI
2377,shape,outer form outline or schema,AI
2378,health minister,head of a health ministry,AI
2379,health system,totality of institutions and rules serving public health,AI
2380,healthcare provision,provision of health care,AI
2381,state of health,condition of a persons health,AI
2382,trade,commercial activity aimed at earning,AI
2383,industrial area,area where only commercial industrial use is allowed,AI
2384,certainty,secured knowledge leaving hardly any doubt,AI
2385,summit meeting,conference of leading politicians,AI
2386,guitar,popular plucked instrument with four to twelve strings,AI
2387,track,railway track consisting of two parallel rails,AI
2388,glacier,mass of ice that flows slowly downhill under its own weight,AI
2389,globe,sphere with depiction of a celestial body such as the Earth,AI
2390,ditch,long excavation in the ground,AI
2391,graphics,drawing writing or printing art,AI
2392,grass,monocot plant with narrow usually green leaves,AI
2393,grill,device using charcoal gas or electricity for grilling food,AI
2394,basic law,constitution of a state especially Germany,AI
2395,basic security,provision of basic needs for those in need,AI
2396,foundation stone,first stone symbolically set when building,AI
2397,property tax,tax on ownership of land and buildings,AI
2398,expert appraiser,expert who assesses a situation for an authority,AI
2399,hacker,computer specialist who can break into systems often illegally,AI
2400,remand judge,judge who decides on a warrant for a detained suspect,AI
