id,translate,translate_description,source
14201,spatial planning procedure,procedure of spatial planning,AI
14202,realist faction supporter,adherent of pragmatic realpolitik positions,AI
14203,spelling reform,renewal of spelling rules,AI
14204,right wing radicalism,radical right wing ideology,AI
14205,legal provision,law regulation or decree,AI
14206,editorial member,member of an editorial office,AI
14207,trainee lawyer,civil service trainee who passed first state exam in Germany,AI
14208,reform plan,plan for reforms,AI
14209,reform state,state in a reform phase,AI
14210,heavy rain,usually heavy rain,AI
14211,government circle,people within a government,AI
14212,government troops,troops of the government,AI
14213,regime critic,person who publicly criticizes the regime,AI
14214,friction,friction or conflict,AI
14215,travel company,company in the travel sector,AI
14216,REM,REM sleep phase,AI
14217,pension contribution,contribution to pension insurance,AI
14218,bond market,market for bonds,AI
14219,rep,abbreviation for Republican or reporter,AI
14220,repair work,work for repair,AI
14221,reprisal,measure contrary to international law taken in response,AI
14222,prop,stage property or set piece,AI
14223,reservation,reservation or booking,AI
14224,remaining ticket,remaining admission ticket,AI
14225,restriction,limitation of action or choice,AI
14226,rescue worker,worker used in rescue operations,AI
14227,rescue team,group trained for rescue operations,AI
14228,auditor,person who checks economic or administrative actions,AI
14229,receptor,cell or structure for perceiving changes,AI
14230,Rhone,river in France and Switzerland,AI
14231,doe,female roe deer,AI
14232,mad cow disease,prion disease in cattle that is always fatal,AI
14233,mad cow disease,prion disease in cattle that is always fatal,AI
14234,risk provision,precaution against risks,AI
14235,female fish,female fish carrying roe,AI
14236,pipeline,long pipe with pump stations for continuous transport of liquids or gases,AI
14237,commodity price,price for a raw material,AI
14238,novelist,author who writes novels,AI
14239,raisin,dried grape,AI
14240,rowdy,person who behaves overly rough and violent,AI
14241,Russian German woman,female person in Russia with German ancestry,AI
14242,Sabena,former Belgian airline,AI
14243,factual question,question about the matter,AI
14244,expertise,knowledge of an expert in a field,AI
14245,noncash prize,prize in the form of an item,AI
14246,necessity,compulsion due to factual reasons,AI
14247,Saigon,former name of Ho Chi Minh City,AI
14248,string,thin taut string made of gut plant fibers or synthetic,AI
14249,saltworks,operation producing salt by evaporation of brine,AI
14250,sandbag,bag filled with sand made of natural fibers or plastic,AI
14251,upright person,person who is decent and morally correct,AI
14252,claim for damages,claim for compensation,AI
14253,control center,central point hub,AI
14254,shaman,person who in trance connects with spirits to help community,AI
14255,shading,slight gradation in color,AI
14256,treasury chancellor,historic title finance minister,AI
14257,display board,large board explaining a topic,AI
14258,debit card,colloquial for debit card,AI
14259,reprimand,loudly expressed rebuke,AI
14260,henchman,person who carries out orders with force,AI
14261,shift,layer in Austria also worker,AI
14262,Shiite,person belonging to Shia Islam,AI
14263,sloppiness,lack of order,AI
14264,back way,secret little known path away from the main roads,AI
14265,smear,elongated form of semi liquid material on a surface that affects light and sight,AI
14266,clearance sale,sale of goods at reduced prices at end of a season,AI
14267,bribe,money used to bribe someone,AI
14268,snow cannon,device for producing artificial snow,AI
14269,mass of snow,large amount of snow,AI
14270,writers association,organization of writers,AI
14271,debt forgiveness,waiver of collecting financial claims,AI
14272,school service,work of a teacher at a school or service in school,AI
14273,conventional medicine,medicine based on scientific methods,AI
14274,school type,type of school,AI
14275,school pilot project,trial or project in education,AI
14276,farce,usually humorous short tale about a trivial topic often a prank,AI
14277,black African,person from Africa south of the Sahara,AI
14278,undeclared worker,person who works without compliance with legal employment rules and without taxes or contributions,AI
14279,black money,income that is not taxed,AI
14280,sulfur dioxide,colorless gas that irritates mucous membranes smells pungent tastes sour and is poisonous,AI
14281,emerging country,country in transition from developing to industrial nation,AI
14282,Scientologist,member of the religious movement Scientology,AI
14283,Scientology,sect founded by science fiction author L Ron Hubbard,AI
14284,six cylinder engine,internal combustion engine with six cylinders,AI
14285,seal,species of true seal,AI
14286,nautical mile,unit of length at sea equals 1.852 kilometers,AI
14287,sideways glance,sly glance from the side at something,AI
14288,self portrait,depiction of the person who created the depiction,AI
14289,suicide attempt,attempt to take ones own life,AI
14290,senate resolution,resolution of a senate,AI
14291,senate spokesperson,spokesperson of the senate,AI
14292,Send fair,annual fair in Munster called Send,AI
14293,transmission facility,technical facility for sending information using electromagnetic waves such as radio or television transmitters,AI
14294,separatist,person who seeks political separation for example of parts of a country,AI
14295,standard equipment,equipment provided in a series,AI
14296,service,service provided to support customers usually for payment,AI
14297,security force,state executive organ that serves to preserve or restore internal security,AI
14298,safety deficiency,lack of safety,AI
14299,security standard,standard of safety,AI
14300,safety measure,measure taken to ensure safety of someone or something,AI
