id,translate,translate_description,source
8101,industrialization,introduction of industrial production and higher industry share,AI
8102,industrial policy,policy for industry,AI
8103,industrial city,city with substantial industry,AI
8104,infantry,troops fighting on foot with small arms,AI
8105,information exchange,exchange of information,AI
8106,interior fit out,construction work inside a building,AI
8107,inner side,side facing the interior of an object or space,AI
8108,passenger,passenger in a vehicle,AI
8109,instinct,innate animal behavior not consciously controlled,AI
8110,insulin,hormone that lowers blood sugar,AI
8111,intensification,act and result of making something stronger,AI
8112,intermezzo,short lyrical instrumental piece,AI
8113,investor group,group of investors,AI
8114,jaguar,large cat from Central and South America with spotted coat,AI
8115,year number,number that denotes a specific year,AI
8116,annual fair,market held once or several times a year with stalls and rides,AI
8117,Japanese woman,female inhabitant of Japan,AI
8118,jubilarian,male person celebrating a jubilee,AI
8119,junior partner,partner who is younger or less influential,AI
8120,calcium,chemical element with atomic number 20,AI
8121,camel,large mammal living in deserts and steppes used as pack animal,AI
8122,comb,tool with teeth for grooming hair,AI
8123,Kamp,Low German field name,AI
8124,cannon,gun with a flat firing angle,AI
8125,canteen,place to eat and drink cheaply,AI
8126,cantonal school,school in Switzerland,AI
8127,kapellmeister,musical director of a chapel or orchestra,AI
8128,karate,unarmed martial art,AI
8129,card game,playing with cards,AI
8130,cashier,person who manages the cash,AI
8131,cashier,person who manages the cash,AI
8132,sales contract,contract between buyer and seller for sale of a thing or right,AI
8133,minor offense,minor rule violation seen as morally trivial,AI
8134,cone,solid with circular base tapering to a point,AI
8135,urban core,part of a city developed independently and excluding suburbs,AI
8136,ketchup,seasoning sauce based on vinegar sugar and tomatoes,AI
8137,chain reaction,reaction where multiple reactions follow a start reaction,AI
8138,childrens clinic,medical facility for patients under 18,AI
8139,playground,designated place to play for children,AI
8140,childrens hospital,childrens hospital in Austria,AI
8141,child abuse,abuse of a child often sexual,AI
8142,church choir,singing ensemble for church services,AI
8143,church congress,major church event,AI
8144,churchyard,courtyard at or near a church,AI
8145,closed retreat,meeting held without public access,AI
8146,piano concerto,solo concerto with piano and orchestra,AI
8147,small change,coins of small value,AI
8148,door handle,lever to open a door by moving a latch,AI
8149,firecracker,firework that mainly produces noise,AI
8150,scarcity,insufficient quantity of something,AI
8151,coexistence,simultaneous existence side by side,AI
8152,collective agreement,agreement between employers and employees,AI
8153,comma,punctuation mark,AI
8154,communist,adherent of communism,AI
8155,bankruptcy proceedings,bankruptcy procedure,AI
8156,portrait,image of a person,AI
8157,conversation,light conversation for sociability,AI
8158,group result,result of a corporate group,AI
8159,concert evening,evening with a concert,AI
8160,concert series,series of concerts,AI
8161,co production,joint production by several producers,AI
8162,corps,large military unit often with several divisions,AI
8163,correspondence,exchange of letters,AI
8164,Krakow,city in Poland,AI
8165,riot,noisy crowd or riot,AI
8166,borrower,person who takes out a loan,AI
8167,district area,area of a district,AI
8168,crisis management,procedure for solving problems and conflicts,AI
8169,culture committee,committee dealing with cultural questions,AI
8170,cultural program,program of cultural events,AI
8171,Jewish community,Jewish religious community,AI
8172,female education minister,female minister responsible for education and culture,AI
8173,art historian,scholar specializing in art history,AI
8174,dome,hemispherical vaulted roof,AI
8175,board of trustees,a supervisory authority a board of directors or an advisory body,AI
8176,short circuit,direct connection of the poles of a power source,AI
8177,state parliament,parliament of a federal state,AI
8178,state audit office,authority for financial control of the state,AI
8179,state chairman,chairman at state level,AI
8180,state parliament session,session of a state parliament,AI
8181,land route,route that runs on land,AI
8182,long distance,relatively long route such as travel or flight,AI
8183,liveliness,quality of being alive,AI
8184,old age,last phase of life,AI
8185,life partner,person with whom one has decided to do daily life together,AI
8186,legislature,legislative power alongside executive and judiciary,AI
8187,performance pressure,urgent demand for high performance often felt as overstrain,AI
8188,guardrail,guardrail,AI
8189,learning process,process of acquiring knowledge skills insights values or social behavior,AI
8190,lido,seaside resort or beach,AI
8191,lipstick,cosmetic for coloring lips used mostly by women,AI
8192,Lloyd,name element for shipping and marine insurance institutions,AI
8193,casualness,relaxed casual manner,AI
8194,continued pay,continued payment to an employee when not working for example due to illness,AI
8195,air pollution,contamination of air by dust gases toxins and dirt,AI
8196,seizure of power,process by which Adolf Hitler became chancellor in 1933,AI
8197,retention of power,securing or preserving power of a person or organization,AI
8198,magician,person who possesses and uses supernatural abilities,AI
8199,marking,act of marking something,AI
8200,march route,route of a march,AI
