id,translate,translate_description,source
7701,take,film take attempt in English,AI
7702,Tallinn,capital of Estonia,AI
7703,lower station,lowest departure station of a mountain or cable railway,AI
7704,tango,dance from South America with strong rhythm and body contact,AI
7705,fir tree,tall evergreen fir tree with upright cones,AI
7706,energy,willingness and ability to act,AI
7707,Taunus,low mountain range in Germany,AI
7708,team manager,manager of a team,AI
7709,field of participants,all persons involved in a competition,AI
7710,Terra,third planet of the solar system where humans live,AI
7711,terror act,act consisting of unrestrained violence,AI
7712,theologian,person who has studied theology,AI
7713,female therapist,female person who applies therapies,AI
7714,civil engineering office,office for civil engineering,AI
7715,ink,liquid used for writing drawing painting and calligraphy,AI
7716,Tirana,capital of Albania,AI
7717,Tyrolean woman,female inhabitant of Tyrol,AI
7718,subsidiary,legally independent but economically dependent company run by parent,AI
7719,fatal result,consequence with fatalities,AI
7720,goalkeeper,player whose task is to prevent goals,AI
7721,Toto,totalizator for placing bets,AI
7722,female tourist,female person who travels for pleasure,AI
7723,tragedy,tragic character,AI
7724,dream couple,couple seen as ideal and well matched,AI
7725,small staircase,small staircase,AI
7726,turnaround,major change in a situation such as politics economy weather or mood,AI
7727,exchange,exchange,AI
7728,environmental organization,organization that works to protect the environment,AI
7729,accident victim,person who suffered damage through an accident,AI
7730,mischief,absurd or improper condition or action,AI
7731,unique piece,document existing in only one copy,AI
7732,Union politician,politician who is a member of the Union party,AI
7733,disorder,situation characterized by lack of order,AI
7734,foundation,foundation construction of a building,AI
7735,entrepreneurship,entrepreneurial activity,AI
7736,lower leg,part of the leg between knee and foot,AI
7737,ignorance,quality of not knowing many things,AI
7738,vacuum,almost airless space,AI
7739,cyclist,bicycle rider in Swiss usage,AI
7740,valve,shutoff device for gases and liquids,AI
7741,compression,process of becoming denser,AI
7742,veneration,worship of gods,AI
7743,constitutional complaint,complaint to the federal constitutional court to enforce basic rights,AI
7744,forgiveness,act of forgiving,AI
7745,traffic calming,measures to slow or reduce motor traffic in certain areas,AI
7746,transport concept,concept for transport,AI
7747,scarcity,process in which something decreases in stock,AI
7748,deepening,intensive engagement to deepen understanding,AI
7749,confidentiality,quality of being confidential and limited to a circle,AI
7750,administrative head,head of an administration,AI
7751,interlocking,interaction of parts,AI
7752,directory,overview list of information structured in a list,AI
7753,veto right,right to veto,AI
7754,violin,string instrument with flat body and four strings tuned G D A E,AI
7755,public survey,non binding poll of eligible voters,AI
7756,completion,finishing something,AI
7757,preparation time,time for preparation,AI
7758,previous year winner,person who won in the previous year,AI
7759,board spokesperson,board member tasked with speaking for the board,AI
7760,prejudice,preconceived often false opinion not based on knowledge,AI
7761,railcar,railway car,AI
7762,freedom of choice,unaffected possibility to choose between options,AI
7763,election commission,commission for elections,AI
7764,election advertising,advertising for an election,AI
7765,forest edge,border area of a forest,AI
7766,journeyman travel,traditional wandering of craftsmen after training,AI
7767,waterworks,facility for providing drinking water,AI
7768,water management,totality of measures for managing and using water,AI
7769,move away,change of residence to another place,AI
7770,auxiliary bishop,auxiliary bishop in the church,AI
7771,worldview,system of ideas someone has about the world,AI
7772,World Cup win,win in the World Cup,AI
7773,world trip,journey around the world,AI
7774,apocalypse,end of humanity earth or universe by natural artificial or divine means,AI
7775,World Economic Forum,forum for world economy WEF,AI
7776,Westerwald,German low mountain range bounded by Rhine Sieg Lahn and Dill,AI
7777,western Switzerland,western part of Switzerland,AI
7778,west side,western side,AI
7779,whiskey,whisky made in Ireland or America from rye or corn,AI
7780,revocation,declaration that something should be invalid,AI
7781,wildlife park,park with wild animals,AI
7782,wild animal,animal living in the wild not accustomed to humans,AI
7783,great speed,very fast speed,AI
7784,wind turbine,wind turbine producing usable mechanical energy,AI
7785,cold snap,sudden onset of cold temperatures snow and ice,AI
7786,winter semester,winter half of an academic year,AI
7787,cyclone,storm system with a vertical axis of rotation,AI
7788,hostess,female person who hosts guests,AI
7789,housing company,company with apartments,AI
7790,compilation of numbers,worked out collection of numbers and values,AI
7791,payment transactions,total movement of means of payment within a country,AI
7792,time frame,given time frame,AI
7793,newspaper report,report with detailed information in a newspaper,AI
7794,final straight,last section of a race track before the finish,AI
7795,interest level,level of interest rates,AI
7796,compilation,arrangement of selected items,AI
7797,immigrant,person who moves long term to another place in the same country,AI
7798,twin brother,male person whose sibling was carried at the same time,AI
7799,cylinder,geometric solid with a circular base and a congruent top,AI
7800,dismissal,"removal of a person from office, function, or activity",AI
