id,translate,translate_description,source
9401,parachutist,person who jumps from an aircraft using a parachute,AI
9402,family policy,political measures influencing family life and living conditions,AI
9403,fax,document or photo or drawing transmitted over a telephone line,AI
9404,miss message,message that a shot did not hit,AI
9405,shortfall,sum of money missing in an accounting,AI
9406,misstep,morally wrong act,AI
9407,holiday week,week during the holidays,AI
9408,television interview,interview conducted for broadcast on TV,AI
9409,television schedule,sequence of films and programs set by broadcasters,AI
9410,television program,self contained program item broadcast on TV,AI
9411,television series,series of films under the same title over a long time on TV,AI
9412,firmness,degree of being firm,AI
9413,fireplace,place or spot for fire,AI
9414,Figaro,Figaro; name of an opera character,AI
9415,film crew,working group that makes film recordings,AI
9416,finalist,participant in a competition final,AI
9417,finance,totality of everything related to money matters,AI
9418,financial need,need for financial resources,AI
9419,finance director,director for finance,AI
9420,financier,person who finances projects of others with their wealth,AI
9421,financial investor,person or company that invests in or buys companies to profit,AI
9422,lowland,terrain without significant elevation,AI
9423,shotgun,gun with a smooth barrel for firing shot,AI
9424,escape attempt,attempt to flee,AI
9425,subsequent period,following days months or years,AI
9426,rear seat,interior of a car behind the driver seats,AI
9427,fund manager,professional asset manager who manages and grows investor assets,AI
9428,formal language,effect conveyed by the design of an artwork or building,AI
9429,forte,loud in music,AI
9430,continuation,continuation of a process or further course of a story,AI
9431,fortune,luck favorable fate or success,AI
9432,group spokesperson,spokesperson of a parliamentary group,AI
9433,womens choir,choir consisting only of women,AI
9434,minister for womens affairs,minister for womens policy,AI
9435,freelancer,person in a liberal profession,AI
9436,deprivation of liberty,unlawful taking of a persons freedom of movement,AI
9437,release,release or emission,AI
9438,leisure center,center for leisure,AI
9439,Friuli,region in northeastern Italy,AI
9440,Frisian,member of an ethnic group in Friesland where Frisian was or is spoken,AI
9441,cheerfulness,joyful mood,AI
9442,stock,collection of objects,AI
9443,finishing off,expression meaning to kill or finish someone,AI
9444,garden area,green area designed by gardening,AI
9445,garden house,small house in a garden for temporary stay not permanent living,AI
9446,guest worker,person who legally works for a limited time in a foreign country,AI
9447,scoundrel,person who tries to gain advantage by deceit,AI
9448,impairment,lasting physical or health impairment,AI
9449,time of birth,time when a child is born,AI
9450,birthday person,person whose birthday it is,AI
9451,entourage,group of people who follow and serve an important person,AI
9452,offsetting financing,financing a new expense by savings or funding options,AI
9453,opposition,inner attitude of being against something,AI
9454,vulture,bird of prey of the Old World or New World vulture families,AI
9455,female violinist,female person who plays the violin,AI
9456,money trouble,situation with very little money available,AI
9457,joint venture,company with multiple partners,AI
9458,commonwealth,human organizational form above the family,AI
9459,gendarmerie,police apparatus in rural areas often military based,AI
9460,general directorate,top management of an authority or company,AI
9461,general strike,strike of all workers of a state,AI
9462,geography,science of the earth especially the surface,AI
9463,court order,decision of a court,AI
9464,German studies,study of German language and literature,AI
9465,overall impression,impression formed by combining all details,AI
9466,total weight,total weight,AI
9467,umbrella association,overarching association,AI
9468,choir association,association of singers for choral singing,AI
9469,legal text,exact wording of a law passed by a body,AI
9470,legislative proposal,draft of a legislative regulation,AI
9471,frame,fixture usually of boards and supports serving as a shelf,AI
9472,trade association,association of tradespeople,AI
9473,gypsum,common sulfate mineral and rock largely composed of it,AI
9474,gladiator,arena fighter in ancient Rome,AI
9475,outstanding achievement,act or result especially praised,AI
9476,Glarus,canton in Switzerland,AI
9477,lockstep,rhythmic synchronized movement of legs of a group,AI
9478,goal scorer,player who is very successful at scoring goals,AI
9479,gong,self sounding percussion instrument made of a free hanging metal disc,AI
9480,graphic designer,creator of artistic or commercial visual designs,AI
9481,congratulation,expression of recognition or joy for something positive,AI
9482,gray area,ambiguous area not clearly legal or ethical,AI
9483,border control,checking identities and items when crossing borders,AI
9484,border city,city on a border,AI
9485,grotesque,artwork with distorted comic and threatening depiction of reality,AI
9486,basic idea,idea that forms the basis of something,AI
9487,unit price,price per unit with surcharges,AI
9488,principle resolution,resolution about a principle,AI
9489,rubber boots,waterproof boots made of rubber,AI
9490,belt,safety device made of a wide strap,AI
9491,taste,individual preference,AI
9492,manor,collection of buildings of an estate,AI
9493,gymnastics,physical exercises to strengthen and maintain the body,AI
9494,haircut,hairstyle created by cutting hair,AI
9495,greed,desire to have as much as possible,AI
9496,harbor basin,water filled area of a harbor,AI
9497,grove,small light forest often park like or sacred,AI
9498,halving,reduction by half,AI
9499,commercial balance,commercial balance sheet of a company,AI
9500,scuffle,physical fight among several people,AI
