id,translate,translate_description,source
11801,price advantage,advantage in price,AI
11802,private apartment,apartment used privately,AI
11803,test run,test to check functionality,AI
11804,project week,week with project work,AI
11805,promoter,person who organizes sports competitions,AI
11806,psychoanalyst,physician or psychologist who treats patients with psychoanalysis,AI
11807,quadrature,method for calculating areas using integral calculus,AI
11808,whitewash brush,wide brush for whitewashing walls or pasting wallpaper,AI
11809,racket,noise and shouting of people,AI
11810,intrigue,schemes machinations,AI
11811,rampage,wild behavior without self control,AI
11812,brawl,incident where several people fight physically,AI
11813,realist,person oriented to reality rather than dreams or utopias,AI
11814,legal department,department responsible for legal issues,AI
11815,legal interpretation,interpretation of legal provisions,AI
11816,right wing party,party with right wing orientation,AI
11817,redactor,person who collects and edits scientific texts as a compilation,AI
11818,reform course,development oriented to reforms,AI
11819,reform project,project to reform something,AI
11820,government faction,faction of the government,AI
11821,travel report,report about a trip,AI
11822,reminiscence,remembrance,AI
11823,carriage shed,building for storing equipment or carts,AI
11824,Richter scale,scale indicating earthquake magnitude,AI
11825,venture capital,capital invested in promising but not yet established companies,AI
11826,crevice,narrow elongated gap,AI
11827,castling,special chess move where king and rook move in a linked way,AI
11828,stake,vertical bar on a flatbed to secure cargo,AI
11829,rush,bulrush plant Juncus,AI
11830,collection campaign,organized collecting of certain items,AI
11831,rehabilitation area,area that is being rehabilitated,AI
11832,rehabilitation concept,concept describing measures for rehabilitation,AI
11833,chess player,person who plays chess,AI
11834,life in the shadows,existence without attention,AI
11835,treasure chamber,storage place of a treasure,AI
11836,female treasurer,female person responsible for the finances of an organization,AI
11837,stake,pile of wood used to burn people after a sentence,AI
11838,tavern,small alcohol serving establishment,AI
11839,battle cry,loud appeal announcing or encouraging a battle,AI
11840,land of plenty,fairy tale land where lazy people live and food comes easily,AI
11841,mucous membrane,protective layer lining the inside of hollow organs,AI
11842,tow rope,strong rope used to tow a vehicle,AI
11843,slit,narrow elongated opening often created by moving something from its original position,AI
11844,metalworker,craft or industrial worker who processes metal or plastic or repairs and assembles items,AI
11845,last day,final day,AI
11846,smearing,gross dirt or dirty state of objects or beings,AI
11847,drifting snow,wind driven relatively strong snowfall,AI
11848,cut,injury caused by a cut,AI
11849,hay barn,lightly built barn or shed for hay or straw,AI
11850,protected young growth,young growth of trees and shrubs protected from grazing,AI
11851,shoemaker,person who makes or repairs shoes,AI
11852,debt service,payments for interest and repayment of borrowed money,AI
11853,school friend,classmate with whom a friendship formed during school,AI
11854,school fee,fee paid by students to their school,AI
11855,school project,project of a school,AI
11856,school councillor,member or representative of school supervisory authority,AI
11857,school sports,sports practiced at school as part of teaching,AI
11858,classroom,classroom in Switzerland,AI
11859,scoundrel,someone who acts in a morally reprehensible way,AI
11860,protection force,troop in a colony,AI
11861,protective embankment,embankment that protects against attacks noise or unwanted impacts,AI
11862,weak point,weak spot,AI
11863,confidentiality,prohibition to speak,AI
11864,piglet,a small pig,AI
11865,heavy metal,metal with density greater than or equal to 5 g per cubic centimeter,AI
11866,melancholy,depressive mood,AI
11867,sixth,one sixth part of something,AI
11868,seafarer,person who goes to sea or people whose life is shaped by seafaring,AI
11869,viewer,person who looks at something,AI
11870,self pity,feeling of pity for oneself,AI
11871,personal responsibility,own responsibility,AI
11872,bread roll,small baked good made from wheat flour,AI
11873,Sendling,district of Munich,AI
11874,serum,blood serum a component of blood,AI
11875,sexual offense,crime involving forced sexual acts,AI
11876,shareholder,shareholder,AI
11877,safety belt,fastening device that holds people in a vehicle during an accident to prevent injury,AI
11878,security system,system for security,AI
11879,signet,special sign representing an author or maker used also for advertising,AI
11880,skat,card game for three players where one plays against the other two each round,AI
11881,ski school,business where one can learn or improve skiing,AI
11882,ski accident,accident that happens while skiing,AI
11883,briefs,short underpants without leg openings,AI
11884,slum,run down urban district inhabited by poor people with bad infrastructure,AI
11885,tuxedo,mens suit worn at smaller social occasions,AI
11886,software manufacturer,company that deals only with software development,AI
11887,solidarity community,community based on principles of solidarity,AI
11888,summer month,month in summer with varying exact boundaries,AI
11889,midsummer dream,dreamlike experience during sleep on a summer night,AI
11890,special investigator,person who investigates for a special purpose,AI
11891,special school,school for children and youth with significant disabilities,AI
11892,special position,special status or position held by someone or something,AI
11893,sunflower,plant with tall stem large leaves and large flower with yellow petals,AI
11894,Soviet republic,constituent republic of the Soviet Union,AI
11895,social research,research in social field,AI
11896,social benefit,payments or services by the state to eligible people such as poor sick or unemployed,AI
11897,social scientist,scientist of social sciences,AI
11898,freight forwarder,person who transports goods professionally,AI
11899,sparrow,sparrow family small finch like birds with conical beak living on seeds and insects,AI
11900,restricted area,area that not everyone may enter or drive through,AI
