id,translate,translate_description,source
13601,computer simulation,simulation performed with a computer,AI
13602,dandy,"man with extravagant, fashionable appearance",AI
13603,data highway,networked facility for rapid data transfer,AI
13604,data network,network for data transmission,AI
13605,code name,name used to hide the real name,AI
13606,decoder,device for decoding,AI
13607,deca,SI prefix for ten,AI
13608,dolphin,"toothed whale living in pods, usually fish-eating",AI
13609,democracy movement,movement advocating democracy,AI
13610,monument conservator,specialist in monument protection,AI
13611,derivative word,derived word,AI
13612,despot,ruler who governs arbitrarily and absolutely,AI
13613,detailed question,question about a detail,AI
13614,knowledge of German,degree of command of the German language,AI
13615,foreign exchange reserves,stock of foreign currencies,AI
13616,service center,center for services,AI
13617,service law,law for service relationships,AI
13618,dinar,currency unit in various mostly Arabic-speaking countries,AI
13619,whatchamacallit,word used to replace a forgotten expression,AI
13620,dioxin,"very toxic organic chlorine compound, often a waste product",AI
13621,direct injection engine,engine with fuel injected directly into the cylinder,AI
13622,direct investment,direct investment,AI
13623,direct payment,payment without an intermediary,AI
13624,discount,price reduction,AI
13625,diskette,round magnetic removable medium in a casing,AI
13626,discount,bank discount; deduction,AI
13627,discount rate,interest rate for discounting,AI
13628,documentation center,institution collecting and researching materials,AI
13629,dolomite,rock/mineral dolomite,AI
13630,doping agent,substance or method to enhance performance,AI
13631,double scull,"racing boat with two rowers, each with two oars",AI
13632,thorn bush,bush or shrub with thorns,AI
13633,can deposit,deposit charged on beverage cans,AI
13634,filming,phase of film production where footage is shot,AI
13635,drug death,person who died from drug use,AI
13636,Drost,surname,AI
13637,dumping,selling below cost to drive out competition,AI
13638,dumping price,price that does not cover costs,AI
13639,major,tonality with a major third,AI
13640,vertex,corner point of a geometric figure,AI
13641,adultery,entering non-tolerated extramarital relations,AI
13642,home ownership subsidy,German subsidy for owner-occupied housing,AI
13643,one-act play,play performed in a single act,AI
13644,single party,party that contains all conforming currents,AI
13645,process of agreement,process of reaching agreement,AI
13646,unification treaty,treaty on unification,AI
13647,shopping tour,visiting multiple shops to buy,AI
13648,loss of income,loss of income,AI
13649,loss of revenue,loss of an inflow of money,AI
13650,ratings,share of viewers or listeners of a program,AI
13651,sender,person who sends something by mail,AI
13652,submission,sending something to a designated place,AI
13653,recording,performance; recording of music,AI
13654,immigration law,law on immigration,AI
13655,objection,reaction expressing concerns; objection,AI
13656,single union,union for one sector,AI
13657,retail association,association of retailers,AI
13658,detail,single part of a larger whole,AI
13659,individual fate,special life circumstances of a person,AI
13660,single part,item that cannot be further divided,AI
13661,individual ranking,ranking for individuals,AI
13662,elegy,"poem with a sad, plaintive theme",AI
13663,electronics conglomerate,large electronics manufacturer,AI
13664,electrosmog,man-made electromagnetic radiation with potential health effects,AI
13665,student,student at an acting or ballet school,AI
13666,elf,female mythical being,AI
13667,emigrant,"person who emigrates, often for political or religious reasons",AI
13668,eminence,title and form of address of cardinals,AI
13669,end times,period before the end of the world,AI
13670,survey,"official inquiry, survey, investigation",AI
13671,enthusiast,person who has passionate enthusiasm for something,AI
13672,development worker,person helping in a developing country,AI
13673,hereditary trait,inherited disposition,AI
13674,hereditary substance,heritable genetic material,AI
13675,potato,potato,AI
13676,earthquake victim,person harmed by an earthquake,AI
13677,continent,large separated part of Earth's surface,AI
13678,rule of thumb,approximate solution derived from experience,AI
13679,chance of success,prospect of success,AI
13680,requirement,condition for something to be done,AI
13681,alternative health fund,alternative health insurance fund,AI
13682,form,form in which something appears,AI
13683,rigidity,process of becoming rigid,AI
13684,producer price,price based on production costs plus profit that the producer charges a buyer,AI
13685,product,result of a manufacturing process such as a good for trade,AI
13686,parental allowance,state financial support to a parent raising a newborn and working little or not at all,AI
13687,parental leave,parental leave,AI
13688,escapade,affair; adventurous act; eccentric deed,AI
13689,ethnologist,scientist who works in ethnology,AI
13690,village fence,name for the fence surrounding a village,AI
13691,Eucharist celebration,holding or celebrating the Eucharist,AI
13692,euro area country,state that adopted the euro as official currency,AI
13693,Europa League,European football competition,AI
13694,evangelist,one of the four authors of the New Testament gospels,AI
13695,executive officer,official of the executive branch,AI
13696,exotic person,foreigner; exotic person,AI
13697,exponent,number placed before a radical sign or as a superscript of a base,AI
13698,expressionist,representative of expressionism,AI
13699,extremist,person who acts in an extreme way; supporter of extremism,AI
13700,manufacturer,person who produces something industrially or in large quantities,AI
