id,translate,translate_description,source
9901,weather report,public report about weather and forecast,AI
9902,unchecked growth,disordered growth,AI
9903,efficiency,ratio of output to input,AI
9904,economic factor,factor of the economy,AI
9905,housing company,company for housing construction,AI
9906,request to speak,act of requesting to speak often by raising a hand,AI
9907,literal meaning,what a word actually means,AI
9908,pliers,tool with two interlocking jaws and handles,AI
9909,toe,part of the foot corresponding to a finger,AI
9910,slow motion,slowed down display of a film sequence,AI
9911,newspaper article,short self contained text in a newspaper,AI
9912,eyewitness,person who personally experienced a historical event,AI
9913,umbrella association,superordinate association,AI
9914,strain,painful overstretch of ligaments tendons or muscles,AI
9915,fragmentation,division into many parts,AI
9916,goat,genus of ruminant animals in the bovid family,AI
9917,brick,rectangular fired clay block used to build a wall,AI
9918,digit,single sign to represent a number,AI
9919,tip,elongated often pointed extension or end piece,AI
9920,compass,device for drawing circles,AI
9921,civil service worker,person who performs civil service,AI
9922,civil trial,legal proceeding deciding a dispute between natural or legal persons,AI
9923,future vision,visual idea of the future,AI
9924,spectator count,number of spectators,AI
9925,forced laborer,person forced to do labor,AI
9926,doubter,person who often tends to doubt,AI
9927,branch office,branch office of an institution,AI
9928,intermediate round,round between preliminary and final,AI
9929,adventure playground,often supervised playground with many activities,AI
9930,downhill skier,someone who does a downhill run; someone competing in downhill racing,AI
9931,handling,aviation/shipping: loading of goods or people and issuing required papers,AI
9932,farewell letter,"letter written to say goodbye, e.g., in a suicide context",AI
9933,graduate,person who has completed education,AI
9934,relegation round,round for relegation,AI
9935,gradation,arrangement divided into steps,AI
9936,drop,act of dropping something from above (often from aircraft),AI
9937,action film,film dominated by spectacular fights and violence,AI
9938,meticulousness,"utmost care, precision, and thoroughness",AI
9939,file inspection,access to files,AI
9940,stock trading,trading in shares,AI
9941,block of shares,package of shares,AI
9942,alibi,proof of not being at the scene of a crime,AI
9943,alcohol problem,dependence on alcohol,AI
9944,allergy,strong immune reaction to normally harmless substances,AI
9945,four-wheel drive,drive with all wheels,AI
9946,daily life,sum of what is done and experienced daily,AI
9947,alpine pasture,pasture in the Alps; also the associated farm,AI
9948,Alpine region,land in the Alps,AI
9949,elderly care,all measures for care of elderly people,AI
9950,old-age security,provision in old age,AI
9951,public health officer,doctor in the public health service,AI
9952,boost,intensification of something,AI
9953,plant engineering,industry of building technical and industrial plants,AI
9954,grace,admirable beauty and elegance,AI
9955,throw-in,first pass at the start of a half or after a goal from the center,AI
9956,indicator,device that displays something,AI
9957,Arabia,region of the Arabian Peninsula,AI
9958,employment office,agency of German unemployment insurance; state job placement organization,AI
9959,work performance,work carried out,AI
9960,suspicion,"suspicion, distrust",AI
9961,Ari,male given name,AI
9962,arrondissement,"administrative district in France, Belgium, Canada, etc.",AI
9963,astrology,systematic interpretation of positions of celestial bodies,AI
9964,uncovering,lifting or removing a cover or the like,AI
9965,minder,person who watches over someone or something,AI
9966,supervisory board meeting,meeting of a company's supervisory board,AI
9967,training period,time spent in a training relationship,AI
9968,training center,institution for training people,AI
9969,balance,state of equilibrium without strong fluctuations,AI
9970,proclamation,official calling out or announcement,AI
9971,committee meeting,meeting of a committee,AI
9972,Avignon,city in France,AI
9973,railway embankment,raised ground on which tracks are laid,AI
9974,urban agglomeration,"cluster of connected cities with at least 500,000 people",AI
9975,ATM,cash machine,AI
9976,Basque,inhabitant of the Basque Country,AI
9977,Batzen,coin in southern Germany and Switzerland,AI
9978,civil engineer,engineer specializing in construction,AI
9979,architecture,architectural design and construction,AI
9980,building department,administrative office for construction matters,AI
9981,delegate,person entrusted with a task or mandate,AI
9982,insignificance,quality of having no relevance,AI
9983,confession,confession of sins and absolution,AI
9984,consulting offer,offer of consultation,AI
9985,reporter,person who reports on events for media,AI
9986,reporting year,year covered by a report,AI
9987,professional class,people in similar professions with common interests,AI
9988,possession,strong agitation interpreted as possession by a supernatural force,AI
9989,irradiation,exposure to radiation,AI
9990,company pension,pension from an employer,AI
9991,business administrator,professional in business administration,AI
9992,business administration,discipline of economics dealing with business operations,AI
9993,alarm,feeling of impending danger or unease,AI
9994,guarding,act of keeping under supervision,AI
9995,burden of proof,obligation to prove a statement,AI
9996,district governor,head of a district authority,AI
9997,district councillor,councillor or member of a district,AI
9998,pear tree,fruit tree that bears pears,AI
9999,blazer,usually blue club jacket for men with badges and metal buttons,AI
10000,floor covering,covering for floors in homes,AI
