id,translate,translate_description,source
12101,auctioneer,person who conducts an auction,AI
12102,issue price,price paid when acquiring fund shares or certificates,AI
12103,selection,selection of the best,AI
12104,committee chair,nominative singular of the weak declension of Ausschussvorsitzender,AI
12105,exhibition organizer,person who designs exhibitions,AI
12106,exchange program,program for exchange of people,AI
12107,motorway interchange,on-ramp or off-ramp to the motorway,AI
12108,car bomb,explosive in a vehicle intended to destroy or damage a target,AI
12109,bus,motor vehicle for transporting many people,AI
12110,car thief,person who steals a car,AI
12111,car theft,theft of one or more cars,AI
12112,wrecked car,car destroyed by an accident,AI
12113,Ave,prayer addressed to Mary,AI
12114,babysitter,person who looks after infants and small children for pay,AI
12115,railway stop,train stop,AI
12116,market downturn,strongly falling stock prices,AI
12117,balsam,viscous mixture of tree resin and essential oils,AI
12118,bandit,"criminal, highway robber, often in a criminal group",AI
12119,bank secrecy,duty of confidentiality of banks about clients' finances,AI
12120,banker,personally liable owner or board member of a bank,AI
12121,banknote,banknote used in everyday payments,AI
12122,farm family,family engaged in farming,AI
12123,construction output,output of the construction industry,AI
12124,building plan,plan or intention to build,AI
12125,home savings bank,credit institution specializing in housing finance,AI
12126,home savings contract,contract with a home savings bank for housing finance,AI
12127,arbitrariness,German term for arbitrariness,AI
12128,benefit event,event for a good cause,AI
12129,gasoline engine,internal combustion engine running on gasoline,AI
12130,Bergisel,hill/place near Innsbruck,AI
12131,job title,designation for a profession,AI
12132,occupation zone,area occupied by foreign troops,AI
12133,circumcision,surgical removal of the foreskin,AI
12134,bribe,financial gift intended to induce illegal action for unfair advantage,AI
12135,perspective,way of viewing; aspect,AI
12136,operating company,legal entity that carries out operations,AI
12137,works council chair,head of the works council,AI
12138,works agreement,agreement between works council and employer,AI
12139,district league,regional sports league,AI
12140,district association,association at district level,AI
12141,female district chair,chairwoman of a district association,AI
12142,subscription right,preemptive right to buy new shares,AI
12143,balance-sheet profit,profit according to the balance sheet,AI
12144,education policy politician,politician focused on education policy,AI
12145,ticket,document allowing temporary use of public transport,AI
12146,truism,generally known fact,AI
12147,organic farmer,farmer who practices only organic agriculture,AI
12148,combined heat and power plant,plant producing heat and electricity by cogeneration,AI
12149,bruise,blood collected under the skin after injury,AI
12150,malice,evil or ill will,AI
12151,botanist,scientist who studies plant biology,AI
12152,bourgeoisie,"wealthy, influential middle class",AI
12153,bowling,American variant of skittles with ten pins,AI
12154,incendiary device,object used to set something on fire,AI
12155,soda,carbonated soft drink,AI
12156,female resident of Bremen,female person born or living in Bremen,AI
12157,fuel cell,galvanic cell converting chemical energy to electrical energy by oxidation,AI
12158,pretzel,large lye or sugar pastry sprinkled with salt or sugar,AI
12159,gross national product,value of all goods and services produced in an economy in a period,AI
12160,boy,male child,AI
12161,book title,name of a book,AI
12162,scapegoat,person blamed for something unwanted,AI
12163,bulldozer,"machine for leveling, moving, or loosening earth",AI
12164,federal labor minister,head of the federal labor ministry,AI
12165,Federal Ministry of Research,authority coordinating and funding research projects,AI
12166,Federal Social Court,highest German social court,AI
12167,byte,unit of data equal to eight bits,AI
12168,harpsichord,keyboard instrument with plucking mechanism,AI
12169,championship,competition for a championship title,AI
12170,characterization,highlighting typical traits,AI
12171,chemical company,company producing or processing chemicals,AI
12172,computer game,program that lets users play a game,AI
12173,computer technology,technology around computers,AI
12174,copyright,legal protection of authors' rights,AI
12175,corpus,collection of linguistic items for analysis,AI
12176,curling,winter sport with stones on ice,AI
12177,cyberspace,simulated virtual environment,AI
12178,Dada,literary and artistic movement during WWI against bourgeois culture,AI
12179,darling,term of endearment,AI
12180,data volume,total amount of data,AI
12181,resignation,voluntary resignation of an office holder or government,AI
12182,deserter,soldier who unlawfully abandons duty,AI
12183,detector,device for detection,AI
12184,slide,short for diapositive; transparent image projected onto a surface,AI
12185,employer,person or company that employs workers,AI
12186,employer,person or institution employing someone for pay,AI
12187,year of service,period of one year of service,AI
12188,service company,company providing services,AI
12189,diesel engine,internal combustion engine operating on the Diesel principle,AI
12190,digital camera,camera that stores photos on digital media,AI
12191,diction,style or manner of expression,AI
12192,direct bank,"bank without branches, operating by phone or online",AI
12193,disc,storage medium in flat disc form,AI
12194,discussion forum,forum for discussions,AI
12195,dollar rate,exchange rate of the dollar,AI
12196,doping control,check for compliance with anti-doping rules,AI
12197,El Dorado,the legendary land of gold in inner South America,AI
12198,third country,state not part of a treaty or alliance,AI
12199,drug investigator,police officer searching for drugs and dealers,AI
12200,drug problem,problem caused by drugs,AI
