id,translate,translate_description,source
3701,withdrawal,"taking away, e.g., a license",AI
3702,inventor,person who invents something,AI
3703,recognition,recognition of something,AI
3704,investigating judge,judge reviewing investigative measures,AI
3705,murder,carrying out a planned killing,AI
3706,accessibility,ability to be reached,AI
3707,Ore Mountains,mountain range in Germany and Czechia,AI
3708,European Parliament,parliament of the European Union,AI
3709,evolution,slow and peaceful development in history or other processes in contrast to revolution,AI
3710,eternity,a long period of time,AI
3711,exchange,stock exchange or exchange,AI
3712,specimen,single item from a set of similar objects,AI
3713,express train,short for an express train,AI
3714,extremism,extreme political position attitude or movement,AI
3715,family history,course of development of a family,AI
3716,family life,way of living together of family members,AI
3717,fan community,group of people who are fans of something or someone,AI
3718,fashion,fashion as a loanword,AI
3719,end of workday,time or period when work ends,AI
3720,rock,large mass of hard rock rising in height,AI
3721,remote control,electrical control unit to operate devices from a distance,AI
3722,fortress,place strongly fortified by defensive works and of military importance,AI
3723,firefighter,person trained to extinguish fires and rescue people,AI
3724,filter,material for separating or filtering substances,AI
3725,finance chief,head of finance,AI
3726,financial situation,current financial circumstances,AI
3727,finch,member of the finch family in the order of passerines,AI
3728,flea market,market where used low value goods are sold usually by private persons,AI
3729,Florence,city in Italy,AI
3730,curse,imprecation spoken in anger,AI
3731,airfield,takeoff and landing place for aircraft,AI
3732,air traffic,movement of aircraft in the airspace,AI
3733,flyer,leaflet with information such as advertising that is distributed,AI
3734,penalty kick,penalty kick awarded for a foul in the penalty area,AI
3735,female group chair,female person who chairs a parliamentary group,AI
3736,free space,space or area kept free,AI
3737,amusement park,large area with various leisure options,AI
3738,hairdresser,professional for hair care and styling,AI
3739,frontman,band member with prominent role usually the lead singer,AI
3740,frustration,serious disappointment,AI
3741,findspot,place where something was found,AI
3742,furor,stir excitement and highest enthusiasm,AI
3743,caterer,professional in gastronomy,AI
3744,consideration,what compensates for something received,AI
3745,enclosure,fenced area where animals are kept,AI
3746,financier,person who provides money under certain conditions,AI
3747,validity,property of being recognized,AI
3748,municipal council election,election of municipal council members,AI
3749,municipal administration,administration of a municipality,AI
3750,accuracy,precision and absence of deviations,AI
3751,approval procedure,procedure that regulates granting permission,AI
3752,managing director,person who heads a large company or institution,AI
3753,dress rehearsal,last rehearsal before the premiere under performance conditions,AI
3754,major renovation,comprehensive renewal of something such as a building,AI
3755,Georgia,US state,AI
3756,tanner,person who tans and processes animal hides into leather,AI
3757,Germania,allegorical armored female figure symbolizing the German nation,AI
3758,overall package,totality of all parts,AI
3759,total number,all individual objects together,AI
3760,cohesion,tight cohesion of a community especially toward outsiders,AI
3761,rock,solid naturally occurring aggregation of minerals,AI
3762,cereal,grass grown for its edible grains,AI
3763,violent act,aggressive act using physical or technical force,AI
3764,garment,tailored materials that serve as body protection,AI
3765,business tax,tax on income from commercial activity,AI
3766,union member,male person who is a union member,AI
3767,guitarist,person who plays guitar professionally,AI
3768,goalkeeper,person whose position is in goal,AI
3769,gold medal,prize for first place in a competition,AI
3770,granite,rock of feldspar quartz and mica that is very hard,AI
3771,gray,gray color tones mostly black and white; gray paint,AI
3772,Greifswald,city in Mecklenburg Western Pomerania,AI
3773,border area,area of a state near a border,AI
3774,basic supply,provision of basic necessities,AI
3775,group match,match within a group in the preliminary round,AI
3776,guardian,head of a Franciscan or Capuchin convent elected for three years,AI
3777,guide,escort who guides strangers and helps with sightseeing,AI
3778,favor,favor or benevolence,AI
3779,shark,predatory fish living in the sea from the cartilaginous fish,AI
3780,Halle resident,inhabitant of the North Rhine Westphalia city of Halle,AI
3781,hello,loud calling or cheerful loud hubbub,AI
3782,wrist,joint connecting hand and forearm,AI
3783,handling,way of using something,AI
3784,towel,cloth used for drying,AI
3785,main round,first or most important round,AI
3786,homeowner,person who owns at least one house,AI
3787,house search,official police search of a building or rooms,AI
3788,budget draft,draft for a state budget,AI
3789,budget situation,financial situation of the budget,AI
3790,house number,unique number of a building,AI
3791,skin color,color of the skin,AI
3792,well being,personal welfare happiness health recovery,AI
3793,local heritage association,association to preserve local heritage,AI
3794,way home,the way home,AI
3795,publication,publication or issue,AI
3796,ruler,head of a tribe people realm or country,AI
3797,ascension,going up into heaven,AI
3798,devotion,strong passion or inner involvement,AI
3799,back of the head,back part of the head,AI
3800,Holland,region in the Netherlands,AI
