id,translate,translate_description,source
1901,show,public exhibition organized by theme,AI
1902,scene,place where something happens,AI
1903,disc,round flat thing,AI
1904,hit song,successful widely heard and sung light entertainment song,AI
1905,snake,order of legless animals Serpentes,AI
1906,final phase,last phase,AI
1907,pain,unpleasant sensation caused by injury,AI
1908,chocolate,cocoa food product in bar block or figure form,AI
1909,writer,person who writes literary texts professionally,AI
1910,school year,period of a year when school takes place in Austria including summer holidays,AI
1911,shoulder,body region in vertebrates between the neck base and the shoulder joints,AI
1912,shoemaker,craftsman who makes or repairs shoes,AI
1913,pregnancy,physical condition of a woman from conception to birth,AI
1914,black person,person with dark skin color,AI
1915,silence,state and act of not speaking with no acoustic communication,AI
1916,blessing,ritual wish for gods grace or help for someone or something,AI
1917,sector,part of an area,AI
1918,self confidence,character trait of being sure of ones abilities,AI
1919,senior,elderly person,AI
1920,senior woman,elderly woman,AI
1921,reduction,decrease or lowering of a value,AI
1922,Serbia,state in Southeast Europe,AI
1923,server,computer in a network that provides services for other computers,AI
1924,fuse,component that interrupts a circuit when current is too high to prevent damage,AI
1925,scandal,event that causes uproar and is rejected,AI
1926,skepticism,doubt and critical mistrustful attitude,AI
1927,ski,gliding device for moving on snow or water,AI
1928,Slovenia,state in Central Europe,AI
1929,summer break,time in summer when work or sport is partly paused,AI
1930,Saturday,weekday between Friday and Sunday,AI
1931,sunshine,sun rays that reach the Earth,AI
1932,Sunday morning,morning of a Sunday,AI
1933,Sunday afternoon,afternoon of a Sunday,AI
1934,assortment,all offered and selected items of a trading company,AI
1935,sound,characteristic sound of music,AI
1936,Soviet Union,former state USSR,AI
1937,welfare state,state that takes financial and material measures to reduce social inequality and prevent poverty,AI
1938,Spaniard,citizen of Spain,AI
1939,savings bank,credit institution usually publicly owned by a municipality or district,AI
1940,walk,leisurely walk for recreation,AI
1941,storage building,building used to store supplies,AI
1942,spectrum,variety of phenomena and possibilities in a certain area,AI
1943,donation,voluntary free gift for a charitable purpose in money goods or services,AI
1944,barrier,structure that restricts free traffic,AI
1945,playground,designated place for children to play often with equipment,AI
1946,leeway,possibility to move freely or decide within limits,AI
1947,front runner,person or institution that surpasses all others in a given measure,AI
1948,jumping,jumping discipline in sport,AI
1949,sprint,covering a short distance at maximum speed in various sports,AI
1950,public prosecutor,official of a public prosecution office and organ of justice,AI
1951,cityscape,particular image a city presents of itself,AI
1952,city hall,large event hall in a city,AI
1953,steel,metal alloy mainly of iron with carbon content between 0.02 and 2.06 percent,AI
1954,start shot,shot that starts a race,AI
1955,dust,fine small particles suspended in air or deposited,AI
1956,increase,increase of something,AI
1957,deputy,person who can replace someone and assume their role,AI
1958,zodiac sign,zodiac sign,AI
1959,control,technical device in machines ships or vehicles to determine function or direction,AI
1960,taxpayer,person obligated to pay taxes,AI
1961,runoff vote,vote between the last two candidates for an office,AI
1962,silence,absence of acoustic signals like noise music or sounds,AI
1963,material,material substance,AI
1964,stop,stop or stopping place,AI
1965,penalty area,area marked around the goal with special rules,AI
1966,crime,act punished by law unlawful act,AI
1967,streich dative plural,dative plural of the noun Streich,AI
1968,patrol,group that patrols an area for control,AI
1969,strip,long narrow differently colored section of a surface,AI
1970,patrol car,police car used for patrol duty,AI
1971,step,individual part of a staircase used for stepping up or down,AI
1972,chair,seat furniture usually with four legs and backrest,AI
1973,substance,matter solid liquid or gaseous,AI
1974,superstar,person who surpasses all other stars in fame,AI
1975,support,help or service such as provided by a seller,AI
1976,Sydney,city in Australia,AI
1977,tablet,flat piece often used for chocolate serving form,AI
1978,agenda,program of a meeting or assembly,AI
1979,Taiwan,island state or region in East Asia,AI
1980,valley,low lying terrain between elevations,AI
1981,gas station,station for refueling vehicles,AI
1982,dance,rhythmic movement performed to music or rhythmic sounds,AI
1983,team leader,leader of a working group,AI
1984,teammate,person on the same team,AI
1985,teenager,boy or girl between about 13 and 19 years,AI
1986,participation,ability to take part,AI
1987,phone call,conversation by telephone,AI
1988,telecom,part of many telecom company names and shorthand for them,AI
1989,plate,round usually flat piece of tableware for serving food,AI
1990,tendency,inclination or striving,AI
1991,tennis,ball game played as a racket sport with a tennis ball,AI
1992,carpet,floor covering made of fabric,AI
1993,terrace,larger level area by or on a building,AI
1994,terrorist organization,association of people engaged in terrorist activities,AI
1995,friendly match,preparation game that does not count in ranking,AI
1996,devil,evil spirit being,AI
1997,Texas,US state,AI
1998,Thailand,state in Southeast Asia,AI
1999,theory,thought model to explain phenomena or construct new worlds,AI
2000,title defender,person defending a title in a competition,AI
