id,translate,translate_description,source
14301,victorious power,state that emerged as victor from a war,AI
14302,singing group,singing group choir,AI
14303,singing game,childrens game with dancing and singing often in a ring,AI
14304,Sinto,member of a subgroup of European Roma living in German speaking areas since the 15th century,AI
14305,skinhead,member of the skinhead movement often recognized by very short hair heavy boots suspenders rolled jeans and bomber jacket,AI
14306,slave,person who is property of another person,AI
14307,smog,high concentration of pollutants in the air over densely populated areas,AI
14308,software company,company for software,AI
14309,solidarity pact,agreement for solidarity,AI
14310,special program,program with special measures,AI
14311,solar collector,device for obtaining heat energy from solar radiation,AI
14312,Sunday speech,fine or festive speech whose statements do not match reality,AI
14313,soviet,workers peasants and soldiers councils formed during Russian revolutions of 1905 and 1917,AI
14314,social expert,expert in social issues,AI
14315,social history,history of social developments,AI
14316,national product,value of all output of an economy,AI
14317,social reform,reform in social field,AI
14318,social insurance contribution,contribution to social insurance,AI
14319,social science,science that studies phenomena of social life,AI
14320,peeper,person who secretly watches others,AI
14321,savings deposit,amount on a savings account,AI
14322,speculator,person who speculates and buys low hoping for higher prices and takes risk of loss,AI
14323,donation money,money collected through donations,AI
14324,slot machine,automatic gambling device activated by coin insertion,AI
14325,casino,building or business where gambling for money takes place,AI
14326,rule,mandatory rule according to which a game is played,AI
14327,spirit,high proof distilled alcoholic drink,AI
14328,best time,best time,AI
14329,sponsorship money,money from sponsors,AI
14330,spur,spur on a riding boot to drive a mount,AI
14331,sports fan,fan or lover of sports as participant or spectator,AI
14332,chant,large group of people speaking the same text together,AI
14333,state office,exercise of a function in service of the state,AI
14334,government bond,interest bearing security issued by a state,AI
14335,state expenditure,expenses of the state,AI
14336,top national league,highest league of a state,AI
14337,public debt,owed liabilities of a state to creditors,AI
14338,state security service,secret police of the German Democratic Republic,AI
14339,city law,special rights that apply in a city,AI
14340,city tour,guided trip often by bus through a city to see tourist sites,AI
14341,district politician,politician of a city district,AI
14342,stable building,large building for housing domestic animals,AI
14343,family record book,folder with official or church documents of a family,AI
14344,share capital,base capital of a company,AI
14345,stem cell,undifferentiated cell that can develop into any cell type,AI
14346,standard value,security of standard quality,AI
14347,registrar,official who records civil status and conducts civil weddings,AI
14348,start hole,start pit starting point,AI
14349,growth rate,rate of increase,AI
14350,partition,moveable wall that can be set up or removed as needed,AI
14351,stilt,pole used to lengthen a leg used in pairs,AI
14352,tax shortfall,non receipt of taxes or fees,AI
14353,tax income,total legal financial levies paid to the state,AI
14354,tax investigation,action or institution aiming to collect evaded taxes,AI
14355,tax exemption,exemption from tax liability,AI
14356,tax plan,plan for taxes,AI
14357,tax advantage,financial advantage regarding taxes,AI
14358,nitrogen oxide,gaseous chemical compound of oxygen and nitrogen,AI
14359,stepchild,child brought by a spouse from a previous relationship,AI
14360,scholarship holder,person who receives a scholarship,AI
14361,prison,penal institution,AI
14362,strain,great sustained exertion,AI
14363,streetball,basketball on the street,AI
14364,glancing light,short moving ray of light,AI
14365,quarrel,ongoing conflict,AI
14366,quarrelsome person,person who repeatedly gets into fights,AI
14367,armed forces,military organ of a state,AI
14368,striptease,performance of erotic dances where clothing is removed gradually,AI
14369,power corporation,company that produces and distributes electricity,AI
14370,power industry,economic sector of electricity,AI
14371,structural policy,policy for structural development,AI
14372,structural problem,problem of structure,AI
14373,student protest,protest by students,AI
14374,subsidy reduction,cutback of subsidies,AI
14375,Sudeten German woman,woman of German ethnicity from the Sudetenland,AI
14376,Sunni,follower of the orthodox main branch of Islam based on the Sunna,AI
14377,surrealism,20th century movement inspired by the psychoanalytic concept of the unconscious,AI
14378,surrealist,representative of surrealism,AI
14379,sympathizer,person with a positive attitude toward someone or something,AI
14380,symposion,ancient Greek social wine drinking with speeches,AI
14381,synergy effect,additional benefit from cooperation,AI
14382,scenario,outline of the situation and framework of an artwork,AI
14383,scene change,change of scene,AI
14384,tobacco corporation,large company producing and selling tobacco products,AI
14385,topic of the day,topic present on a particular day,AI
14386,Tahiti,island in the Pacific,AI
14387,Tamil,Tamil person,AI
14388,tanker truck,truck or trailer that transports liquid or gaseous goods in a tank,AI
14389,royalty,revenue or profit share dependent on success,AI
14390,collective wage,wage agreed in collective bargaining,AI
14391,collective bargaining party,one of the negotiating parties between employer and employee representatives,AI
14392,bargaining partner,party entitled to negotiate and conclude a collective agreement,AI
14393,collective bargaining policy,political action and issues related to negotiating collective agreements,AI
14394,Tauer,surname or mountain name,AI
14395,dizziness,feeling of dizziness,AI
14396,tariff,price or fee set by authority,AI
14397,technocrat,supporter of technocracy as a form of government,AI
14398,technology stock,stock from the technology sector,AI
14399,partial privatization,partial privatization,AI
14400,telefax,device for transmitting messages as an image of the message,AI
