id,translate,translate_description,source
10001,bean,plant or part of various legumes,AI
10002,bombardment,continuous attack with heavy guns or bombs,AI
10003,botany,science of plants,AI
10004,tabloid press,less serious press appealing to low instincts,AI
10005,boxing match,sporting contest between two boxers,AI
10006,brown horse,brown horse,AI
10007,mash,thick cooked food,AI
10008,correspondence,exchange of letters,AI
10009,brotherhood,blood kinship of several families of the same lineage,AI
10010,Brunn,place name; name of several places,AI
10011,Buddhism,world religion; teachings of Buddha,AI
10012,Federal Ministry of Justice,federal justice ministry,AI
10013,Burgundy,region in France,AI
10014,bus trip,trip by bus,AI
10015,butterfly jump,split jump performed sideways,AI
10016,cafeteria,self-service cafe,AI
10017,cartoon,"single-panel drawing, satirical or comic",AI
10018,chromium,"chemical element, atomic number 24",AI
10019,claim,legal claim,AI
10020,corduroy,"ribbed fabric, usually cotton",AI
10021,corner,corner; corner kick in sports,AI
10022,couture,haute couture; leading fashion tailoring,AI
10023,dachshund,small dog traditionally used for hunting,AI
10024,denunciation,often anonymous or false report,AI
10025,department,division or section of an authority,AI
10026,dill,culinary herb,AI
10027,district,delimited area,AI
10028,female lecturer,female teacher at a university,AI
10029,training,"training of animals, especially horses and dogs",AI
10030,drug dealer,person who buys and sells drugs,AI
10031,drug abuse,unacceptable consumption of drugs,AI
10032,review,inspection or reading of printed material,AI
10033,place of honor,seat of honor,AI
10034,equity ratio,ratio of equity to total assets,AI
10035,own production,own production,AI
10036,sphere of influence,area one can influence,AI
10037,entrance hall,large room in the entrance area,AI
10038,deposit,something inserted or invested,AI
10039,submission deadline,time after which submissions are invalid,AI
10040,country of immigration,country with many immigrants,AI
10041,female resident,female person living in a place,AI
10042,railway company,company operating a railway,AI
10043,ice hockey player,person who plays ice hockey,AI
10044,ice sports hall,hall with an ice rink for ice sports,AI
10045,emblem,symbol or emblem,AI
10046,emigration,permanent emigration to another country,AI
10047,final race,last decisive race of a competition,AI
10048,energy market,total of supply and demand for energy,AI
10049,grandchild,male or female child of a son or daughter,AI
10050,enclave,part of a foreign territory enclosed by one's own territory,AI
10051,enzyme,protein acting as a catalyst,AI
10052,strawberry,edible red fruit on low plants,AI
10053,exchange of experience,exchange of experiences,AI
10054,secret of success,secret of success,AI
10055,successful course,course with success,AI
10056,admonition,action to urge or deter someone,AI
10057,by-election,subsequent election,AI
10058,firstborn,first specimen or first child,AI
10059,working life,period of employment,AI
10060,archrival,worst or strongest opponent,AI
10061,execution,carrying out the death penalty,AI
10062,exposition,concept plan or outline for a more detailed presentation,AI
10063,excess,immoderate exaggeration,AI
10064,specialist committee,committee for specialist topics,AI
10065,specialist literature,all publications in a field aimed at a specialist audience,AI
10066,torch,portable rod usually coated with flammable material at the top so the flame burns bright,AI
10067,falconer,person who trains and uses birds of prey for hunting,AI
10068,family allowance,financial assistance for families,AI
10069,family ministry,ministry for families,AI
10070,dye,chemical compound used to color other materials,AI
10071,fiber,thread made from fabric,AI
10072,holiday resort,place where people spend their holidays,AI
10073,piglet,young of a domestic pig,AI
10074,television show,entertainment show on TV,AI
10075,wanderlust,longing for far away places and countries,AI
10076,festschrift,publication with various academic contributions in honor of a person or institution for a special occasion,AI
10077,branch manager,person who manages a company branch,AI
10078,film industry,industry concerned with the production and distribution of films,AI
10079,cinema,place where films are publicly shown,AI
10080,finance expert,person very knowledgeable in finance,AI
10081,financial institution,company for money transactions,AI
10082,financial plan,plan for income and expenses,AI
10083,financial situation,current situation of finances,AI
10084,corporate group,group of connected companies,AI
10085,flat roof,building covering with a low slope of 2 to 20 degrees,AI
10086,flamenco,strongly rhythmic Andalusian solo or partner dance,AI
10087,Flanders,region in northern Belgium,AI
10088,sports car,sporty fast car,AI
10089,platitude,formulaic phrase or empty words,AI
10090,leaflet,small piece of paper with information or advertising,AI
10091,airline,company that operates air traffic,AI
10092,air trip,trip by airplane,AI
10093,aircraft manufacturer,company that develops builds and sells airplanes,AI
10094,tidal wave,moving zone of elevated water level,AI
10095,list of demands,list containing demands,AI
10096,fragment,piece or part of something,AI
10097,group chairmanship,chairmanship of a parliamentary group,AI
10098,image of women,impression or opinion about women,AI
10099,womens policy,political measures to protect womens interests,AI
10100,free beer,beer served at no cost,AI
