id,translate,translate_description,source
8001,discretion,choice between equally lawful options,AI
8002,testing,test to confirm proper function,AI
8003,first-division club,club or person in the top league,AI
8004,establishment,social class that is well established and influential in many areas,AI
8005,stage win,win on a stage of a race held in several stages,AI
8006,gospel,the four main books of the New Testament,AI
8007,specialist group,group for a field,AI
8008,technical jargon,specialist language expanded with technical terms,AI
8009,half timbered house,building with a timber frame structure,AI
8010,driving instructor,person who trains students to drive motor vehicles and prepares them for the driving test,AI
8011,falcon,medium sized or small bird of prey of the falcon family,AI
8012,false statement,statement that does not correspond to the truth,AI
8013,family celebration,celebration for a family occasion with mainly family members,AI
8014,coloring,coloring or color design,AI
8015,bad pass,pass that does not reach the intended teammate,AI
8016,gourmet,person with refined taste and a strong sense for fine food,AI
8017,cliff face,steep large rock wall,AI
8018,televised address,address broadcast on television,AI
8019,determination,act that sets or regulates something in a binding way,AI
8020,festival day,day on which celebrations occur because of an event,AI
8021,festival week,week with festivals,AI
8022,lighter,handheld device for producing a flame,AI
8023,film award,award given for artistic achievements in the film industry,AI
8024,film star,person famous as an actor in films,AI
8025,financial sector,sector of an economic market dealing with money,AI
8026,finance senator,senator responsible for finances in Berlin Bremen or Hamburg,AI
8027,capital injection,financial support,AI
8028,tax administration,authority or authorities responsible for assessing and collecting taxes,AI
8029,hint,helpful indication,AI
8030,fly,fly of the suborder Brachycera,AI
8031,flight schedule,plan with flights and times,AI
8032,riverbed,depression in the ground where a river flows,AI
8033,folklore,traditional customs in music clothing and rituals,AI
8034,reproduction,production of offspring,AI
8035,question time,hour for questions in parliament,AI
8036,small old woman,old woman of small stature,AI
8037,female quota,proportion of women in companies or organizations,AI
8038,frigate,warship,AI
8039,allowance,defined sum not affected by a rule such as a tax free amount,AI
8040,free trade,trade between states without barriers,AI
8041,foreign language,language learned not as a mother tongue,AI
8042,find site,spot where something was found,AI
8043,radio tower,tall slender building for wireless transmission of information,AI
8044,all day school,school with care in the morning and afternoon,AI
8045,garden fence,fence to separate a garden,AI
8046,gas line,pipe or pipe system for transporting gas,AI
8047,palate,roof of the mouth that separates oral and nasal cavities,AI
8048,prisoner,person who is captured and not free to move,AI
8049,reciprocated love,response meaning approval or acceptance; positive feedback,AI
8050,counterblow,blow in reaction to a blow received,AI
8051,opposing vote,vote cast against a proposal,AI
8052,windfall,larger amount of money received gladly,AI
8053,lieutenant general,general rank,AI
8054,bailiff,officer who enforces court judgments and other enforcement titles,AI
8055,overall result,result composed of the outcomes of all individual processes,AI
8056,total work of art,artwork combining various arts into one,AI
8057,overall winner,winner of the overall standings,AI
8058,skill,ability to do something quickly and efficiently,AI
8059,clamor,noise caused by loud sustained shouting,AI
8060,facial expression,current facial expression in a situation,AI
8061,application,letter to an authority to obtain permission or approval,AI
8062,business park,large area used by several businesses,AI
8063,profit slump,strong decline in profits,AI
8064,giant,figure from Greek mythology who sought to overthrow the Olympian gods,AI
8065,guild,medieval association to protect and promote common interests,AI
8066,bald spot,hairless area of the head,AI
8067,faith community,organization for communal practice of a religion,AI
8068,ridge hike,mountain tour along a ridge,AI
8069,cruelty,character trait marked by destroying hurting or killing without scruples,AI
8070,gray,unit of absorbed dose of ionizing radiation,AI
8071,staple food,food that is the main component of a diet,AI
8072,basic principle,principle that forms the basis,AI
8073,group victory,first place in a group,AI
8074,gulden,formerly widespread gold or silver coin in Germany and other countries,AI
8075,release from custody,release from detention or end of sentence,AI
8076,liability insurance,insurance covering accidental damages,AI
8077,halt point,place on rail where passengers can board or alight,AI
8078,no stopping zone,place where a vehicle may not stop or park,AI
8079,market close,end of trading at the stock exchange,AI
8080,means,means to achieve something,AI
8081,handling,steerability of a vehicle,AI
8082,Hanoi,capital of Vietnam,AI
8083,Hanseatic League,medieval league of cities,AI
8084,main task,most important task,AI
8085,top prize,highest possible prize in a game of chance,AI
8086,secondary school,general secondary school following primary school,AI
8087,housewife,woman who runs her own household,AI
8088,return trip,trip back home,AI
8089,heating system,technical system that produces and distributes heat,AI
8090,hen,female bird especially of chickens,AI
8091,duchy,territory ruled by a duke,AI
8092,building construction,construction of buildings above ground level,AI
8093,Highness,form of address for nobles especially dukes,AI
8094,timber construction,engineering field where structures are mainly made of wood,AI
8095,lobster,large armored ten legged crustacean with big claws,AI
8096,hunger strike,protest by refusing food until a condition is met,AI
8097,idealism,realization of ethical ideals regardless of personal interests,AI
8098,idiot,person considered stupid or ignorant,AI
8099,real estate company,company for real estate,AI
8100,indication,circumstance indicating a medical treatment,AI
