id,translate,translate_description,source
3501,Valais,canton in Switzerland,AI
3502,product test,test of goods or products,AI
3503,warner,person who warns others of possible unwanted consequences,AI
3504,maintenance,measures to check and maintain to prevent wear,AI
3505,removal,something that no longer exists such as a law or job,AI
3506,Santa Claus,male figure similar to Saint Nicholas bringing gifts at Christmas,AI
3507,wine estate,operation that grows and produces wine,AI
3508,World Health Organization,UN body dealing with global health issues,AI
3509,world ranking,worldwide list ranking objects or people by a criterion,AI
3510,outer space,space outside the Earths atmosphere,AI
3511,world record,world best performance recognized by sports authorities,AI
3512,idiom,fixed phrase whose meaning is not derived from components,AI
3513,shipyard,industrial facility for building and repairing ships or aircraft,AI
3514,security,document that embodies a tradable right,AI
3515,importance,quality of being important,AI
3516,resumption,continuation of an interrupted activity,AI
3517,return,act of appearing again,AI
3518,reelection,confirmation of an office holder by a new election,AI
3519,winegrower,person who grows and sometimes produces wine,AI
3520,economy ministry,ministry responsible for economic development,AI
3521,scientist,term used in Austria Switzerland and Liechtenstein,AI
3522,weather conditions,weather course over a period in a limited area,AI
3523,widow,woman whose spouse has died,AI
3524,motorhome,vehicle equipped for living and sleeping while traveling,AI
3525,housing market,totality of supply and demand for apartments,AI
3526,yoga,philosophical system from India with mental and physical exercises,AI
3527,time pressure,pressure caused by limited time,AI
3528,turning of the times,transition between significant time periods,AI
3529,time travel,journey into the past or future,AI
3530,magazine,regularly published printed publication,AI
3531,cell,smallest living unit of a living being,AI
3532,testimony,witness statement,AI
3533,interest rate cut,lowering of interest rates,AI
3534,circus,large tent or building showing animal acts and similar,AI
3535,affection,feeling of friendship or love,AI
3536,collapse,economic or financial collapse of a person or system,AI
3537,coexistence,act of living together,AI
3538,two thirds majority,qualified majority with a two thirds quorum,AI
3539,second division team,sports team in the second league,AI
3540,cycle,regular recurrence of an event or the time a full run needs,AI
3541,illustration,"pictorial representation; a more or less good copy of the real image of objects, people, situations, etc.",AI
3542,box office,ticket office where tickets are sold shortly before the evening event,AI
3543,departure time,scheduled takeoff time of an aircraft,AI
3544,house of representatives,the totality of members of parliament,AI
3545,offshoot,part/shoot of a plant that can grow into a new plant,AI
3546,deflection,deviation from a direction,AI
3547,sender,person or institution that sends information,AI
3548,removal from office,"removal from a post, usually against one's will",AI
3549,detour,small deviation or excursion,AI
3550,downwardly mobile person,someone whose social or professional status declines,AI
3551,department head,person who leads a department,AI
3552,wastewater,water polluted by domestic/industrial use and runoff,AI
3553,defensive captain,defensive player who directs other defenders,AI
3554,processing,handling/unwinding; removing from a roll,AI
3555,field,agricultural land that is regularly cultivated,AI
3556,administration,"administration, government, executive",AI
3557,Afghan,citizen or resident of Afghanistan,AI
3558,aggressor,attacker; someone who triggers a conflict,AI
3559,file,collection of related records,AI
3560,action plan,detailed concept of measures and approach for a larger project,AI
3561,action day,day for an action or campaign,AI
3562,update,updating,AI
3563,accent,pronunciation feature or intonation typical of a language,AI
3564,algorithm,precisely described procedure to solve a problem in finite steps,AI
3565,solo effort,doing something without outside help,AI
3566,alpine pasture,mountain pasture or meadow used in summer,AI
3567,alpha,first letter of the Greek alphabet,AI
3568,age limit,maximum or minimum permitted age,AI
3569,age class,group of people of the same age range,AI
3570,Alzheimer's disease,Alzheimer's disease,AI
3571,office holder,holder of a public office,AI
3572,ana,collection of sayings by famous people,AI
3573,approach,route to a destination,AI
3574,Ankara,capital of Turkey,AI
3575,indictment document,written application initiating court proceedings,AI
3576,echo,association with similar sounds,AI
3577,reliance,relationship where one side gets support from the other,AI
3578,remark,additional information given in writing or orally,AI
3579,neighboring resident,neighbor of a property or body of water,AI
3580,tension,mental or physical strain causing nervousness,AI
3581,Antarctica,continent around the South Pole,AI
3582,Antifa,people or groups that oppose fascism,AI
3583,introductory visit,first private or official visit to introduce oneself,AI
3584,apple,round fruit of the apple tree,AI
3585,pharmacist,expert in medicines; owner or employee of a pharmacy,AI
3586,appetite,desire to eat,AI
3587,malice,"malice, ill will, falseness, deceit",AI
3588,Argentine,citizen of Argentina,AI
3589,aroma,"specific, usually pleasant scent",AI
3590,asylum procedure,legal process to decide whether asylum is granted,AI
3591,atomic bomb,air-dropped bomb whose energy comes from a nuclear process,AI
3592,ramp,rising section of road leading to something,AI
3593,sticker,self-adhesive picture with any outline,AI
3594,clarification,answer or explanation for something,AI
3595,uprising,often armed resistance against an existing government,AI
3596,adding floors,addition of one or more floors to a building,AI
3597,elevator,means of transport for moving up and down,AI
3598,wink,brief closing and reopening of the eyelids,AI
3599,assembly hall,room for special events and assemblies,AI
3600,exploitation,extraction and utilization of resources,AI
