id,translate,translate_description,source
8901,monument,large stone memorial also of other materials,AI
8902,attempted murder,attempt to commit murder,AI
8903,trough,elongated rounded vessel with a shallow hollow made from one piece,AI
8904,muse,ancient Greek goddess of the arts and sciences,AI
8905,music festival,festival of music,AI
8906,music industry,industry for mass production and exploitation of music on recordings,AI
8907,muscle,organ that moves internal and external structures by contracting and relaxing,AI
8908,mutation,change in genetic material by altering base sequence or chromosome number not due to recombination or segregation,AI
8909,neighboring municipality,municipality located next to another,AI
8910,posterity,future generations,AI
8911,national library,central scholarly book collection of a state that collects and archives national literature,AI
8912,national gallery,museum for national art,AI
8913,National Council member,member of the National Council,AI
8914,national theater,state theater,AI
8915,temperament,peculiar character disposition,AI
8916,Neanderthal,extinct relative of modern humans in genus Homo,AI
8917,reconstruction,building anew,AI
8918,newcomer,person who starts something new or a new job,AI
8919,new version,new version or edition,AI
8920,Nicosia,capital of Cyprus,AI
8921,nun,member of a female religious order,AI
8922,emergency exit,exit of a building to be used in an emergency,AI
8923,walnut tree,deciduous tree from the walnut family,AI
8924,senior physician,doctor in a leading position,AI
8925,upper league club,sports club in an upper league,AI
8926,Upper Rhine,region on the Upper Rhine,AI
8927,authorities,responsible holders of state or church power,AI
8928,observatory,place for space observation with scientific instruments,AI
8929,obsession,very strong emotional enthusiasm for a topic hobby work or action,AI
8930,ode,lyric with musical accompaniment,AI
8931,affidavit of disclosure,oath where debtor declares assets and inability to pay,AI
8932,bus,public transport for passenger transport,AI
8933,organist,person who plays the organ,AI
8934,Orient,region including at least the Near East and possibly Middle East Far East North Africa and Russia,AI
8935,orientation aid,something that helps with orientation,AI
8936,townscape,view a settlement presents,AI
8937,pairing,formation of a pair,AI
8938,lease,contractual transfer of a thing for use against money,AI
8939,panic mongering,attempt to artificially cause panic,AI
8940,Parma,city in Italy,AI
8941,party base,large body of voting party members without office,AI
8942,parcel,surveyed plot of land with defined ownership,AI
8943,patriarch,title for a highest ranking clergyman,AI
8944,cartridge,cylindrical metal case containing propellant and projectile for firearms,AI
8945,pacifism,ideology rejecting war and violence and advocating peace,AI
8946,Pegasus,winged horse from Greek mythology,AI
8947,whip,long flexible stick with a cord or strap used to drive draft animals or punish,AI
8948,fur,animal hide with hair,AI
8949,personal union,union of several offices in one person,AI
8950,petit,small delicate in French,AI
8951,parish,community of believers with a pastor,AI
8952,pfennig,historic German coin subunit of various currencies,AI
8953,flora,plants present in a region or epoch,AI
8954,care worker,person caring for people in nursing home or hospital,AI
8955,gate,small door or entrance gate,AI
8956,heavy drinker,person who regularly drinks large amounts of alcohol,AI
8957,pioneering work,work that decisively advances something,AI
8958,planning approval procedure,procedure for planning approval,AI
8959,plateau,flat area on a height or mountain,AI
8960,record label,company that produces records and media,AI
8961,space available,available space,AI
8962,chat,casual conversation,AI
8963,polemic,public sharp dispute aiming to morally discredit the opponent,AI
8964,portrait,depiction of a person often as a painting,AI
8965,post office,single branch or office of the postal service,AI
8966,pricing policy,policy of price setting,AI
8967,private clinic,clinic in private ownership,AI
8968,private school,school in private not state ownership,AI
8969,test drive,drive to try a vehicle or check for damage,AI
8970,production site,place of production,AI
8971,professional league,professional sports league,AI
8972,prologue,introduction to a drama or performance,AI
8973,prophet,person called by a god to proclaim messages of a religion,AI
8974,prophecy,act or content of predicting,AI
8975,audience magnet,person event attraction or sight that draws many visitors,AI
8976,poodle,medium sized dog breed with often curly coat,AI
8977,puzzle,game of assembling a cut up picture,AI
8978,pyramid,geometric body with polygon base and triangular sides meeting at a point,AI
8979,python,snake of the Pythonidae family,AI
8980,quantum leap,sudden transition between quantum states,AI
8981,quintet,group of five musicians,AI
8982,field strip,strip of field without crops on the boundary of two fields,AI
8983,ranch,large scale livestock farm,AI
8984,advice,specific recommendation to solve a problem,AI
8985,rat,mouse like rodent,AI
8986,spatial planning,planning for the targeted use of an area,AI
8987,grape variety,grape varieties bred from wild grapevines,AI
8988,final accounting,final settlement,AI
8989,right wing extremist,person on the far right of the political spectrum,AI
8990,reformer,person who wants to improve something,AI
8991,reform process,process of reform,AI
8992,rainy season,period in the tropics with much rain,AI
8993,reggae,Jamaican music style,AI
8994,friction,force opposing relative motion of contacting bodies,AI
8995,terraced house,one of several houses built in a row,AI
8996,riding hall,hall for riding,AI
8997,relief,forms of the earth surface,AI
8998,religious education,class in religion focused on a specific faith,AI
8999,rendezvous,meeting or date with romantic intent,AI
9000,racing,all sports with speed competitions,AI
