id,translate,translate_description,source
10401,проектная группа,группа для проекта,AI
10402,прокурист,сотрудник с широкими полномочиями по сделкам,AI
10403,простата,"добавочная половая железа у млекопитающих, расположенная возле мочевого пузыря",AI
10404,марш протеста,"шествие, выражающее недовольство",AI
10405,протон,положительно заряженный нуклон в ядре атома,AI
10406,Прованс,регион на юге Франции,AI
10407,столица провинции,главный город административной единицы,AI
10408,псалом,молитва или песнь из Псалтири,AI
10409,психоанализ,метод лечения психических расстройств Фрейда,AI
10410,психоз,расстройство с утратой связи с реальностью,AI
10411,свитер,пуловер или жилет,AI
10412,потеря очков,утрата очков,AI
10413,выносливость,способность легких и сердца снабжать тело кислородом,AI
10414,уборщица,"женщина, профессионально убирающая помещения",AI
10415,радиопередача,отдельная программа в эфире,AI
10416,велоспортсмен,"человек, занимающийся велоспортом",AI
10417,противоракетная оборона,меры по отражению ракет,AI
10418,разум,логически рассуждающий ум,AI
10419,член совета,член городского или местного совета,AI
10420,член совета,член консультативного органа,AI
10421,космический зонд,беспилотный аппарат для исследования космоса,AI
10422,увольнение,вынужденное увольнение,AI
10423,реальная политика,"политика, ориентированная на реальные условия",AI
10424,юридическая консультация,консультация по правовым вопросам,AI
10425,правопорядок,совокупность правовых норм общества,AI
10426,представитель,адвокат или правовой представитель,AI
10427,идиома,устойчивое выражение,AI
10428,время выступления,время для речи,AI
10429,Реформация,церковное движение XVI века,AI
10430,правительственная политика,политика правительства,AI
10431,Раймер,фамилия,AI
10432,остаточный риск,"риск, который нельзя исключить",AI
10433,бунт,массовое сопротивление против условий,AI
10434,рецензия,критический разбор произведения,AI
10435,судебный вердикт,"решение, объявляемое судьей",AI
10436,желоб,узкая продольная выемка для стока,AI
10437,ребро,длинная изогнутая кость грудной клетки,AI
10438,родстер,двухдверный автомобиль с открывающейся крышей,AI
10439,вырубка,удаление деревьев и кустарников,AI
10440,круговое путешествие,поездка с возвращением к исходной точке,AI
10441,научпоп,книга на фактическую тему для широкой аудитории,AI
10442,Замбия,государство в Южной Африке,AI
10443,пункт сбора,"место, где что-то собирают",AI
10444,самурай,воин в дореволюционной Японии,AI
10445,санаторий,учреждение для восстановления здоровья,AI
10446,нищий,бездомный или нищий человек,AI
10447,случай санации,случай для санации,AI
10448,седельный тягач,короткий тягач для полуприцепа,AI
10449,злорадство,радость чужой беде,AI
10450,звук,все шумы и тоны,AI
10451,звуковой барьер,условный барьер аэродинамического сопротивления,AI
10452,теневая сторона,"сторона, скрытая от света",AI
10453,большеберцовая кость,крупная кость голени,AI
10454,Ширмер,фамилия,AI
10455,лазейка,маленькое отверстие или возможность обхода,AI
10456,последний круг,финальный круг в гонке,AI
10457,лезвие,режущая кромка,AI
10458,просека,полоса в лесу без растительности,AI
10459,ускоренное производство,быстрое судебное разбирательство,AI
10460,Шранц,фамилия,AI
10461,посещение школы,регулярное посещение школы,AI
10462,конец занятий,окончание школьных занятий,AI
10463,школьные занятия,обучение в школе,AI
10464,ангел-хранитель,ангел-покровитель человека,AI
10465,покровитель,святой или фигура-защитник,AI
10466,невесомость,состояние без ощущаемой гравитации,AI
10467,тяжелый транспорт,движение тяжелых транспортных средств,AI
10468,пловчиха,"женщина, занимающаяся плаванием",AI
10469,парусное судно,корабль на парусах,AI
10470,секретариат,"отдел, ведущий переписку и организацию",AI
10471,самообслуживание,"обслуживание, выполняемое самим клиентом",AI
10472,франшиза,не возмещаемая страховкой часть затрат,AI
10473,право на самоопределение,право решать свою судьбу,AI
10474,полуфинал,"этап, где определяются финалисты",AI
10475,кресельный подъемник,канатная дорога с открытыми креслами,AI
10476,серп,инструмент для резки травы,AI
10477,чувственность,восприимчивость к ощущениям,AI
10478,нрав,социальная норма и обычай,AI
10479,Зикст,фамилия или бренд,AI
10480,инструктор по лыжам,преподаватель лыжного спорта,AI
10481,сноуборд,широкая доска для катания по снегу,AI
10482,летнее затишье,период с малым количеством новостей,AI
10483,спецпредставитель,уполномоченный по особым задачам,AI
10484,сопрано,высокий женский голос,AI
10485,соцсуд,суд по социальным делам,AI
10486,социализация,усвоение социальных норм,AI
10487,социалист,сторонник социализма,AI
10488,министр соцвопросов,министр по социальным вопросам,AI
10489,сенатор по соцвопросам,"сенатор, отвечающий за социальную сферу",AI
10490,шпалера,опора для выращивания деревьев,AI
10491,сберкнижка,банковский продукт для сбережений,AI
10492,вынужденная экономия,обязанность сокращать расходы,AI
10493,лопата,инструмент для копания,AI
10494,экспедиция,транспортная компания,AI
10495,отражение,процесс отражения,AI
10496,разновидность,особая форма игры,AI
10497,спин,собственный момент частицы,AI
10498,игрок высшего уровня,спортсмен высшего уровня,AI
10499,точилка,устройство для затачивания карандашей,AI
10500,осколок,кусок твердого материала,AI
