id,translate,translate_description,source
1501,обозначение,код или символ для предмета или понятия,AI
1502,библиотека,"учреждение, где можно читать и/или брать книги и другие медиа; часто включая том 2, сегодня также в цифровом виде",AI
1503,связь,"связанность, тесные отношения",AI
1504,епископ,"церковный сановник в некоторых конфессиях, обычно руководит определенной областью (епархией)",AI
1505,проба крови,"кровь, взятая для исследований",AI
1506,посол,высший дипломатический представитель государства за границей,AI
1507,поджог,умышленное или неосторожное поджог чужой собственности,AI
1508,причина пожара,"фактор, вызвавший пожар",AI
1509,коричневый,"оттенок, возникающий при сильном затемнении оранжевого или красного, также краска",AI
1510,британец,гражданин Великобритании,AI
1511,бронза,сплав меди и олова,AI
1512,колодец,"сооружение для добычи грунтовых вод или фильтрата, раньше также для получения родниковой воды",AI
1513,бук,листопадное дерево рода Fagus,AI
1514,Будапешт,столица Венгрии,AI
1515,федеративное государство,"государство или страна, относительно автономная часть более крупного государства",AI
1516,Федеральный конституционный суд,высший конституционный суд Германии,AI
1517,замок,средневековое укрепленное жилое и оборонительное сооружение,AI
1518,бизнес,ведомое с целью прибыли дело,AI
1519,масло,"пищевой жир из молока (обычно коровьего), не менее 80% жира",AI
1520,лагерь,палаточный лагерь для досуга или на время каникул,AI
1521,кампус,территория с зданиями и объектами университета,AI
1522,основание,правовое основание,AI
1523,Цельсий,обозначение температурной шкалы; как единица — градус Цельсия,AI
1524,очарование,"обаятельная, притягательная манера",AI
1525,начальница,"женщина с правом распоряжаться персоналом; владелица, руководительница",AI
1526,химия,наука о составе и свойствах веществ и их превращениях,AI
1527,Чикаго,город в США,AI
1528,код,система соглашений для однозначного соответствия между знаками или набор знаков,AI
1529,контейнер,специальный стандартизированный грузовой контейнер для дальних перевозок,AI
1530,конкурс,соревнование (англ.),AI
1531,экипаж,экипаж судна,AI
1532,дом,"дом, родной дом",AI
1533,защита данных,защита персональных данных от злоупотреблений,AI
1534,дата,указание календарного дня,AI
1535,покрытие,закрытая поверхность,AI
1536,дефицит,нехватка чего‑либо (обычно денежной суммы),AI
1537,делегация,действие по отправке представителя или группы на мероприятие,AI
1538,деменция,"утрата когнитивных способностей, например памяти, ориентации, речи",AI
1539,памятник,"объект, созданный для памяти о человеке, событии и т. п.",AI
1540,вторая половина вторника,послеобеденное время вторника,AI
1541,дизель,сокращение от дизельного двигателя,AI
1542,размерность,"масштаб, размер чего‑либо",AI
1543,вещь,"предмет, свойства которого не уточняются",AI
1544,дискриминация,разделение или различное обращение с объектами,AI
1545,дисциплина,"поведение, ориентированное на порядок",AI
1546,документалка,"фильм или радиопрограмма, правдиво представляющая тему",AI
1547,документ,официальный письменный документ,AI
1548,документация,сбор и систематизация информации,AI
1549,Дунай,крупная река в Европе,AI
1550,утро четверга,утро четверга,AI
1551,вторая половина четверга,послеобеденное время четверга,AI
1552,угроза,объявление неприятной или незаконной меры с целью запугивания,AI
1553,Дубай,город и эмират в ОАЭ,AI
1554,темнота,"темное, малоосвещенное состояние или место",AI
1555,обыск,систематический осмотр человека или объекта для поиска скрытого,AI
1556,реальное время,"время системы, когда скорость изменений соответствует реальности",AI
1557,угол,угол,AI
1558,почетная должность,добровольная неоплачиваемая деятельность в обществе,AI
1559,собственность,"то, что кому‑то принадлежит",AI
1560,дом на одну семью,здание с одной жилой единицей для одной семьи,AI
1561,операция,медицинское вмешательство на теле человека или животного,AI
1562,соблюдение,следование правилу,AI
1563,покупка,приобретение чего‑то за деньги,AI
1564,гармония,согласие; состояние согласованности без противоречий,AI
1565,въезд,пересечение границы при поездке в другую страну,AI
1566,одиночество,быть одному или покинутым,AI
1567,единичный случай,разовое событие,AI
1568,розничная торговля,продажа товаров напрямую потребителю,AI
1569,скандал,"событие, вызывающее большое внимание и возмущение",AI
1570,элемент,"строительный блок, базовый компонент",AI
1571,пенальти,штрафной удар с 11 метров при определенных нарушениях,AI
1572,прием,"прием передачи (радио, связь и т. п.)",AI
1573,финал,встреча двух участников турнира для определения победителя,AI
1574,ангел,"сверхъестественное существо, часто с крыльями, в роли божьего посланника",AI
1575,расстояние,длина пути между двумя точками,AI
1576,освобождение,разрешение или принуждение покинуть место/учреждение,AI
1577,решение,решение,AI
1578,расслабление,освобождение от напряжения,AI
1579,возникновение,процесс становления или развитие нового из старого,AI
1580,отбой тревоги,отмена ранее объявленной тревоги,AI
1581,эпизод,короткий отрезок в длительном процессе,AI
1582,землетрясение,сотрясения земной поверхности,AI
1583,первый этаж,"этаж, находящийся на уровне земли",AI
1584,холм,небольшой холм,AI
1585,облегчение,уменьшение веса,AI
1586,следственное производство,процедура расследования,AI
1587,обновление,"ремонт, замена частей",AI
1588,критическая ситуация,"ситуация, когда грозит негативный исход",AI
1589,урожай,совокупность работ по сбору сельхозкультур и плодов,AI
1590,первая помощь,оказание первой помощи,AI
1591,этап,"участок, стадия, отрезок",AI
1592,эйфория,воодушевленное состояние радости и повышенного самочувствия,AI
1593,Евровидение,объединение европейских вещательных организаций для обмена программами,AI
1594,существование,наличие предмета или состояния в реальности,AI
1595,эксперимент,(научный) опыт,AI
1596,эксперт (жен.),"женщина, хорошо разбирающаяся в области",AI
1597,фабрика,комплекс зданий и производственных мощностей для массового производства,AI
1598,водительское разрешение,разрешение на управление транспортным средством,AI
1599,полоса,"участок дороги, предназначенный для движения в одном направлении",AI
1600,факт,реально существующее обстоятельство,AI
1601,фасад,передняя сторона здания,AI
1602,обратная связь,сообщение о восприятии или оценке для улучшения,AI
1603,праздничный день,особый день памяти о событии или человеке,AI
1604,враг,лицо или группа с резко негативным отношением,AI
1605,даль,большая пространственная дистанция,AI
1606,телевизор,устройство для приема и воспроизведения телесигналов,AI
1607,завершение,процесс доведения до конца,AI
1608,праздник,устар. поэт.: праздник,AI
1609,фейерверк,показ с ракетами и взрывными эффектами,AI
1610,филиал,"магазин, принадлежащий одной фирме в сети",AI
1611,Финляндия,государство в Северной Европе,AI
1612,конек,самый высокий край на наклонной крыше,AI
1613,рыба,"животное, живущее в воде и дышащее жабрами",AI
1614,флаг,флаг на фале как символ государства или почести,AI
1615,бутылка,сосуд для хранения и транспортировки жидкостей или газов,AI
1616,Фленсбург,город в Шлезвиг‑Гольштейне,AI
1617,Флорида,штат США,AI
1618,фокс,лиса (англ.),AI
1619,француз,гражданин Франции,AI
1620,разрешение,разрешение на использование чего‑либо,AI
1621,лишение свободы,наказание в виде заключения на определенный срок,AI
1622,утро пятницы,утро пятницы,AI
1623,вторая половина пятницы,послеобеденное время пятницы,AI
1624,досуг,свободное время,AI
1625,кладбище,"место захоронения, часто при церкви",AI
1626,фрустрация,чувство разочарования при повторяющихся неудачах,AI
1627,лиса,представитель группы низконогих видов семейства псовых,AI
1628,фундамент,основание здания или машины,AI
1629,слияние,слияние объектов,AI
1630,гала,торжественная одежда или придворный наряд,AI
1631,галерея,"проход вдоль стены, открытый с одной стороны",AI
1632,гараж,помещение для хранения автомобилей,AI
1633,употребление,"использование, применение",AI
1634,мысль,процесс мышления,AI
1635,память,почтение и память о событии или умершем человеке,AI
1636,тротуар,полоса для пешеходов рядом с проезжей частью,AI
1637,Гельзенкирхен,город в Северном Рейне‑Вестфалии,AI
1638,ген,"участок ДНК, кодирующий РНК с определенной последовательностью",AI
1639,генерал,офицерское звание,AI
1640,наслаждение,"употребление еды, напитков или курения",AI
1641,Гера,город в Тюрингии,AI
1642,суд,высшая инстанция для решения правовых споров,AI
1643,пол,свойство живых существ быть мужским или женским,AI
1644,сестры,совокупность сестер,AI
1645,оформление,действие по формированию объекта,AI
1646,жест,"знак, передаваемый движениями рук, головы и тела",AI
1647,здравоохранение,"совокупность учреждений, лиц и процессов по сохранению здоровья",AI
1648,блеск,"сияние или отражение, особенно на гладких материалах",AI
1649,равновесие,состояние баланса прямой и обратной реакции,AI
1650,цена золота,цена золота на мировом рынке,AI
1651,богослужение,собрание верующих с молитвой и почитанием Бога,AI
1652,губернатор,"наместник, высший чиновник округа или колонии",AI
1653,могила,место захоронения; последняя обитель,AI
1654,ужас,чувство страха и ужаса перед угрозой,AI
1655,гимназия,средняя школа с окончанием Abitur/матурой,AI
1656,Гаага,место расположения правительства Нидерландов,AI
1657,лишение свободы,вид наказания в виде тюремного заключения,AI
1658,крюк,крючковидное приспособление для подвешивания,AI
1659,полуостров,"участок суши, окруженный водой с трех сторон",AI
1660,остановка,место плановой остановки транспорта,AI
1661,действие,"человеческое действие, осознанный поступок",AI
1662,необходимость действий,потребность действовать,AI
1663,ганзейский город,"город, входивший в союз Ганзы",AI
1664,аппаратное обеспечение,физические компоненты компьютера,AI
1665,дуновение,слабое дыхание,AI
1666,главная роль,самая значимая роль в фильме или пьесе,AI
1667,годовое собрание,ежегодная встреча акционеров с отчетом о развитии,AI
1668,Гейдельберг,город в Баден‑Вюртемберге,AI
1669,Сочельник,"24 декабря, канун Рождества",AI
1670,родная страна,"страна, где человек родился или вырос",AI
1671,родной город,"город, где человек чувствует себя дома",AI
1672,отопление,установка или устройство для обогрева,AI
1673,историк,"ученый, изучающий историю",AI
1674,хит,очень успешный продукт,AI
1675,хобби,занятие по интересу,AI
1676,паводок,"вода, вышедшая из берегов ручьев или рек",AI
1677,холдинг,"компания, владеющая долями в дочерних предприятиях",AI
1678,Голливуд,район Лос-Анджелеса,AI
1679,Гольштейн,регион на севере Германии,AI
1680,валторна,духовой инструмент из одной или двух спиральных труб,AI
1681,гороскоп,схематическое изображение положения планет в определенный момент,AI
1682,смерч,небольшой воздушный вихрь в атмосфере,AI
1683,голод,желание поесть,AI
1684,имидж,"внутренний образ объекта, влияющий на его репутацию",AI
