id,translate,translate_description,source
8401,турбина,"машина, превращающая энергию потока в вращение",AI
8402,гимнастическое общество,клуб по гимнастике,AI
8403,ультразвук,звук с частотой выше слышимой человеком,AI
8404,прирост выручки,добавка к выручке,AI
8405,комитет по экологии,комитет по экологическим вопросам,AI
8406,загрязнение среды,нагрузка среды отходами и вредными веществами,AI
8407,министр экологии,женщина‑руководитель министерства экологии,AI
8408,загрязнение окружающей среды,загрязнение природы отходами и вредными веществами,AI
8409,смерть в результате аварии,смерть вследствие несчастного случая,AI
8410,страхование от несчастных случаев,"страхование, покрывающее ущерб от несчастных случаев",AI
8411,чудовище,огромное пугающее мифическое существо,AI
8412,бессмертие,свойство не умирать,AI
8413,развлекательная программа,совокупность предложений для развлечения,AI
8414,нижнее белье,"одежда, носимая прямо на теле",AI
8415,отчет об исследовании,доклад о результатах исследования,AI
8416,обогащение урана,процесс повышения доли изотопа уран‑235,AI
8417,авторское право,"нормы, защищающие права автора на произведения",AI
8418,Большой взрыв,рождение Вселенной по стандартной космологической модели,AI
8419,отпускница,"женщина, находящаяся в отпуске",AI
8420,переменная,"величина, принимающая разные значения",AI
8421,Вега,звезда в созвездии Лиры,AI
8422,вегетарианец,"человек, не употребляющий мясо",AI
8423,чувство ответственности,осознание ответственности,AI
8424,партнер по переговорам,участник переговоров,AI
8425,размножение,"рост, создание идентичного из имеющегося",AI
8426,арендодатель,"женщина, сдающая в аренду",AI
8427,лагерь уничтожения,концлагерь для уничтожения заключенных,AI
8428,вуалирование,покрытие прозрачной или плотной тканью,AI
8429,вина,виновное поведение,AI
8430,укрытие,"место, где можно спрятаться",AI
8431,заключение договора,оформление договора,AI
8432,управляющий,"человек, который управляет чем‑то",AI
8433,административные расходы,расходы на управление,AI
8434,процент,доходность инвестиций,AI
8435,скот,совокупность сельскохозяйственных животных,AI
8436,заместитель начальника,заместитель руководителя,AI
8437,вице‑чемпион мира,второе место на мировом первенстве,AI
8438,волей,удар по мячу в воздухе,AI
8439,исполнение,приведение приговора в исполнение,AI
8440,смета,расчет ожидаемых затрат,AI
8441,способ действий,"план, как действовать",AI
8442,палисадник,небольшой участок зелени перед домом,AI
8443,ведущая позиция,лидирующее положение,AI
8444,имя,"имя, выбранное родителями",AI
8445,пригород,район за пределами центра,AI
8446,предстадия,ранний этап развития,AI
8447,Во,кантон в Швейцарии (Vaud),AI
8448,чаша весов,емкость для предмета на весах,AI
8449,темп роста,процент роста,AI
8450,владение оружием,наличие оружия в собственности,AI
8451,урна для голосования,закрытый ящик со щелью,AI
8452,бред,ложное представление,AI
8453,кит,крупное водное млекопитающее,AI
8454,Вальдек,регион или название города в Германии,AI
8455,лесная тропа,дорога через лес,AI
8456,передвижная выставка,"выставка, регулярно проходящая в разных местах",AI
8457,преображение,глубокое изменение,AI
8458,горячая вода,вода с высокой температурой,AI
8459,очередь,упорядоченная очередь людей,AI
8460,моющее средство,смесь веществ для чистки тканей,AI
8461,водопровод,система труб для воды,AI
8462,водомет,"устройство, выдающее сильную струю воды",AI
8463,чередование,многократная смена вариантов,AI
8464,переключение стрелки,настройка железнодорожной стрелки,AI
8465,рождественская премия,доплата работнику к концу года,AI
8466,Веллер,фамилия,AI
8467,щенок,"детеныш лисы, волка или собаки",AI
8468,гонка Кубка мира,"состязание, зачитываемое в Кубке мира",AI
8469,мировое сообщество,совокупность всех людей,AI
8470,Западная Африка,регион Африки,AI
8471,прогноз погоды,предсказание погоды,AI
8472,Венский лес,лесной массив у Вены,AI
8473,ветровая тень,"место, защищенное от ветра",AI
8474,зимнее обслуживание,служба обеспечения безопасности зимой,AI
8475,зимний сад,стеклянная комната для растений,AI
8476,зимние шины,шины для зимних условий,AI
8477,Виттенберг,город в Саксонии‑Анхальт,AI
8478,недельная рабочая норма,рабочее время в неделю,AI
8479,день недели,один из семи дней,AI
8480,еженедельная газета,"газета, выходящая раз в неделю",AI
8481,жилой квартал,группа домов в квартале,AI
8482,коммуна,"квартира, где живут вместе несколько человек",AI
8483,жилая группа,группа жильцов,AI
8484,словесная перепалка,жесткая словесная ссора,AI
8485,Вотан,главный германский бог,AI
8486,вундеркинд,ребенок с выдающимися способностями,AI
8487,желательное мышление,наивное принятие желаемого за реальное,AI
8488,ян,мужское начало в китайской философии,AI
8489,яблоко раздора,предмет спора,AI
8490,некоторое время,неопределенный период,AI
8491,Центральная Азия,регион Азии,AI
8492,центральное отделение,центральная служба организации,AI
8493,место свидетеля,место в зале суда для показаний,AI
8494,гражданский,не военный,AI
8495,гражданская служба,альтернативная служба вместо армии,AI
8496,приток,процесс вливания,AI
8497,дополнительная покупка,покупка сверх уже имеющегося,AI
8498,дело будущего,"проект, реализация которого далека",AI
8499,отнесение,классификация по категории,AI
8500,объединение,сведение в одно место,AI
