id,translate,translate_description,source
1701,десятилетие,период в десять лет,AI
1702,джаз,"музыкальное направление, возникшее в США, с корнями в блюзе",AI
1703,потусторонний мир,сверхъестественная область после смерти,AI
1704,журналистка,женщина-журналист,AI
1705,ликование,"проявление большой радости в жестах, мимике и голосе",AI
1706,кабина,небольшое закрытое помещение в транспортном средстве,AI
1707,Кайзерслаутерн,город в Рейнланд-Пфальце,AI
1708,календарь,"перечень дней, недель и месяцев, часто с праздниками и фазами луны",AI
1709,камера,"плохо отапливаемое помещение, часто для определенной цели",AI
1710,канал,искусственный водный или транспортный путь,AI
1711,кандидатка,женщина-кандидат,AI
1712,кандидатура,выдвижение человека на выборы,AI
1713,кантональная полиция,полиция кантона Швейцарии,AI
1714,канцелярия канцлера,"ведомство, поддерживающее канцлера",AI
1715,капитал,"деньги и ценности, приносящие прибыль",AI
1716,хижина,домик мелкого крестьянина или батрака,AI
1717,вратарь,самый оборонительный игрок команды,AI
1718,цепь,"ряд подвижных, соединенных между собой звеньев",AI
1719,звук,"то, как что-то звучит",AI
1720,монастырь,комплекс зданий для жизни монахов,AI
1721,кость,часть скелета позвоночных,AI
1722,коалиционный партнер,участник коалиции,AI
1723,чемодан,контейнер для перевозки вещей,AI
1724,кокаин,наркотик из листьев коки,AI
1725,коллега,"женщина, работающая в той же организации",AI
1726,Колумбия,государство в Южной Америке,AI
1727,комфорт,удобство благодаря внешним условиям,AI
1728,коммуна,городская политико-правовая община,AI
1729,компетенция,"личные способности, умение",AI
1730,компромисс,"соглашение, где участники уступают часть своих требований",AI
1731,конгресс,собрание людей по общим интересам,AI
1732,конъюнктура,общая экономическая ситуация,AI
1733,консенсус,согласие мнений,AI
1734,последствие,результат действия,AI
1735,континент,материк,AI
1736,концентрация,сосредоточенность,AI
1737,Копенгаген,столица Дании,AI
1738,коррупция,использование должности для личной выгоды,AI
1739,Крефельд,город в Северном Рейне-Вестфалии,AI
1740,Хорватия,государство в Юго-Восточной Европе,AI
1741,шар,"объемное тело, все точки которого равноудалены от центра",AI
1742,митинг,публичное выражение позиции,AI
1743,клиентура,совокупность клиентов,AI
1744,лаборатория,"помещение для научных, технических и медицинских исследований",AI
1745,леди,английский дворянский титул,AI
1746,земельный суд,"суд, находящийся в ведении земли",AI
1747,глава земельного правительства,председатель правительства земли,AI
1748,выборы в ландтаг,выборы земельного парламента,AI
1749,посадка,приземление воздушного или космического аппарата,AI
1750,фермер,"человек, самостоятельно ведущий растениеводство и животноводство",AI
1751,ноутбук,портативный компьютер с аккумулятором,AI
1752,карьера,профессиональный путь человека,AI
1753,длительность,затраченное время на путь,AI
1754,угроза жизни,опасность для жизни,AI
1755,лее,подветренная сторона; в морском языке обычно без артикля,AI
1756,легенда,рассказ о событиях и людях в возвышенной форме,AI
1757,срок полномочий,период между выборами,AI
1758,учительница,"женщина, обучающая знаниям",AI
1759,страдание,сильная душевная или физическая боль,AI
1760,холст,ткань из льняных волокон,AI
1761,ведущий индекс,"показатель, лучше всего отражающий развитие рынка",AI
1762,публичное чтение,публичное чтение текста,AI
1763,уровень,достигнутая позиция в иерархии,AI
1764,огни,множественное число слова свет,AI
1765,Литва,государство в Балтии,AI
1766,литература,совокупность письменной традиции,AI
1767,логотип,графический знак фирмы или учреждения,AI
1768,заработная плата,вознаграждение за работу,AI
1769,образ,"внешний вид, стиль",AI
1770,Люфтганза,немецкая авиакомпания,AI
1771,воздушное пространство,"пространство над земной поверхностью, заполненное воздухом",AI
1772,ВВС,вид вооруженных сил для ведения воздушной войны,AI
1773,лупа,линза для оптического увеличения,AI
1774,роскошь,предметы или поведение сверх обычного,AI
1775,властитель,"человек, обладающий властью",AI
1776,Майн,река в Германии,AI
1777,мандат,поручение избирателей депутату,AI
1778,флот,военно-морские силы государства,AI
1779,маркетинг,меры по стимулированию сбыта,AI
1780,доля рынка,доля продаж компании на рынке,AI
1781,стена,"стена здания из камня, бетона или глины",AI
1782,медаль,неплатежная монета в честь лица или события,AI
1783,медик,человек с медицинским образованием,AI
1784,многоквартирный дом,жилой дом для нескольких семей,AI
1785,добавленная стоимость,дополнительная экономическая выгода,AI
1786,мейер,управляющий поместьем; позднее арендатор,AI
1787,свобода мнения,право высказывать и распространять мнения,AI
1788,человечество,совокупность всех людей,AI
1789,человеческая слабость,человеческая слабость,AI
1790,металл,твердый материал с блеском и высокой проводимостью,AI
1791,мегаполис,крупный и значимый город,AI
1792,Майами,город в США,AI
1793,молоко,"питательная жидкость, производимая самками млекопитающих",AI
1794,меньшинство,"группа, численно меньшая по сравнению с целым",AI
1795,минимальная зарплата,минимальная оплата труда,AI
1796,Минск,столица Беларуси,AI
1797,сотрудница,"женщина, работающая в организации",AI
1798,членство,статус принадлежности,AI
1799,полузащитник,"игрок, управляющий игрой в середине поля",AI
1800,Средиземное море,крупное внутреннее море,AI
