id,translate,translate_description,source
12901,энергосбережение,сокращение потребления энергии,AI
12902,цена энергии,"цена электроэнергии, газа и нефти на мировом рынке",AI
12903,лишение,отказ из‑за недостатка,AI
12904,погашение долгов,"процесс, при котором долги ликвидируются",AI
12905,развивающаяся страна,страна с низким уровнем экономического развития,AI
12906,строитель,"человек, создающий что‑то строительством",AI
12907,отчет об опыте,сообщение о пережитом опыте,AI
12908,неудача,состояние отсутствия успехов,AI
12909,шанс на успех,перспектива удачи,AI
12910,вымогатель,"человек, оказывающий давление и принуждающий к чему‑то",AI
12911,состояние доходов,экономическое положение доходов,AI
12912,приобретатель,покупатель,AI
12913,эзотерика,"широкий спектр взглядов, подчеркивающих духовное развитие",AI
12914,право на существование,право на наличие/существование,AI
12915,профильный отдел,специализированный отдел,AI
12916,профессиональные знания,надежные знания в определенной области,AI
12917,фагот,деревянный духовой инструмент с двойной тростью,AI
12918,семейная служба,богослужение для семей,AI
12919,цветность,наличие цветов,AI
12920,бадминтон,игра с воланом,AI
12921,телеспектакль,"художественный фильм, снятый для ТВ",AI
12922,навык,(приобретенная) способность делать что‑то,AI
12923,финансовый сектор,сфера ответственности по финансам,AI
12924,запрет на полеты,запрет на полеты в воздушном пространстве,AI
12925,самолетостроение,сборка самолета из частей,AI
12926,жертва наводнения,"человек, погибший или пострадавший от наводнения",AI
12927,вывод,логическое следствие,AI
12928,научное учреждение,"учреждение, занимающееся исследованиями",AI
12929,франк,бывшая денежная единица Франции,AI
12930,женское общество,женский союз/клуб,AI
12931,женский журнал,"журнал, ориентированный на интересы женщин",AI
12932,объект досуга,"территория с предложениями для досуга (бассейн, парк и т. п.)",AI
12933,ненависть к чужим,ненависть к людям иной культуры или происхождения,AI
12934,гарнизон,место дислокации военных частей,AI
12935,газовый пистолет,"пистолет, действующий газом",AI
12936,Го,фамилия,AI
12937,газета,периодическое печатное издание,AI
12938,инструкция,письменная информация о правильном и безопасном использовании продукта,AI
12939,мысленный эксперимент,"размышление о том, как что‑то могло бы быть",AI
12940,денежное пожертвование,пожертвование определенной суммы денег,AI
12941,муниципальный секретарь,административный чиновник общины,AI
12942,генералы,именительный падеж мн. числа слова General,AI
12943,обычай,"необязательная договоренность, ставшая конвенцией",AI
12944,кодекс,книга законов страны (обычно по определенной сфере),AI
12945,отказ от насилия,отказ от применения насилия,AI
12946,выставка ремесел,выставка промысла/ремесла,AI
12947,путаница,на первый взгляд непроходимая мешанина вещей,AI
12948,ядовитый газ,"токсичный газ, применяемый как химическое оружие",AI
12949,созвучие,"гармония, согласованность звуков",AI
12950,структура,"построение, распределение частей текста",AI
12951,фельетон,короткий текст с ироничной или сатирической критикой,AI
12952,война в Персидском заливе,военный конфликт в Персидском заливе,AI
12953,старец,"очень пожилой человек, обычно мужчина",AI
12954,земельная собственность,владение землей,AI
12955,основной вопрос,"то, что лежит в основе других вопросов",AI
12956,гребень,красный кожный гребень на голове кур,AI
12957,хаф‑пайп,спортивное сооружение в форме половины трубы,AI
12958,аллилуйя,радостное литургическое пение с «аллилуйя»,AI
12959,торговая академия,школа коммерческого образования,AI
12960,торговый концерн,"крупная компания, закупающая и сбывающая товары",AI
12961,листовка,листок бумаги для раздачи с информацией,AI
12962,ганзейский купец,купец торгового союза Ганзы,AI
12963,эксперт по бюджету,специалист по бюджетным вопросам,AI
12964,Спаситель,эпитет Иисуса Христа,AI
12965,герой,"полубог‑герой, совершающий великие деяния",AI
12966,фирма‑производитель,"компания, производящая что‑то",AI
12967,саранча,"отряд насекомых, питающихся травами и растительностью",AI
12968,программа помощи,совокупность мер помощи,AI
12969,сторона света,направление к северу/югу и т. п.,AI
12970,хиппи,участник молодежного движения 1960–70‑х,AI
12971,хит‑лист,список самых популярных вещей,AI
12972,домна,шахтная печь для получения железа,AI
12973,приподнятое настроение,очень хорошее настроение,AI
12974,гофрат,исторический придворный чиновник,AI
12975,гуманист,сторонник гуманизма,AI
12976,идеолог,"человек, представляющий определенную идеологию",AI
12977,иммигрант,переселенец из другой страны,AI
12978,индонезиец,гражданин Индонезии,AI
12979,информационная служба,"служба, предоставляющая информацию",AI
12980,инициал,"начальная буква, особенно в именах",AI
12981,инкарнация,"представление о воплощении божественных сущностей, особенно в человеческом виде",AI
12982,внутренний спрос,спрос внутри страны,AI
12983,установка,устройство или инсталляция,AI
12984,группа интересов,сообщество людей с общим интересом,AI
12985,ассоциация интересов,"организация, продвигающая определенные политические или общественные цели",AI
12986,интершоп,магазин в ГДР с товарами за свободно конвертируемую валюту,AI
12987,интервал,расстояние между высотами двух звуков,AI
12988,интонация,"сочетание ударения, высоты тона и пауз в речи",AI
12989,интранет,локальная сеть по протоколам интернета с ограниченным доступом,AI
12990,ион,"электрически заряженная частица, образованная при отдаче или присоединении электронов",AI
12991,война в Ираке,"война вокруг Ирака; вторжение 2003 года, длившееся с 20 марта по 1 мая 2003",AI
12992,годовой взнос,"сумма, которую ежегодно платят в клуб, организацию или страховую компанию",AI
12993,рубеж года,переход от одного года к следующему,AI
12994,джазовый музыкант,"человек, профессионально играющий джаз",AI
12995,йодль,"музыкальная пьеса, исполняемая йодлем",AI
12996,жонглер,"артист, жонглирующий предметами",AI
12997,молодежная музыкальная школа,музыкальная школа для молодежи,AI
12998,джамбо,очень большой; крупный самолет,AI
12999,холостяк,неженатый мужчина,AI
13000,спикер по юстиции,представитель по вопросам юстиции,AI
