id,translate,translate_description,source
7501,десерт,последнее блюдо после основного,AI
7502,игла,длинный тонкий инструмент с острием; форма зависит от назначения,AI
7503,местное снабжение,обеспечение товарами и услугами в доступной близости потребителей,AI
7504,именодатель,"тот, по чьему имени что-то названо",AI
7505,наркоз,медикаментозно вызванное контролируемое бессознательное состояние с обезболиванием и расслаблением мышц,AI
7506,союз охраны природы,объединение для охраны природы,AI
7507,племянник,"сын сестры или брата, также зятя или невестки",AI
7508,новое назначение,новое замещение должности,AI
7509,новизна,"состояние того, что еще не было",AI
7510,неврология,"раздел медицины о строении, физиологии и болезнях нервной системы",AI
7511,Северная Европа,северная часть Европы,AI
7512,блокнот,тетрадь или книжка с пустыми страницами для записей и идей,AI
7513,внесение поправок,изменение и/или дополнение действующего закона,AI
7514,орех,съедобное маслосодержащее семя с твердой оболочкой,AI
7515,верхняя часть руки,часть руки от локтя до плеча,AI
7516,вышестоящий суд,суд более высокой инстанции,AI
7517,подполковник,воинское звание между майором и полковником,AI
7518,Одиссея,странствие Одиссея,AI
7519,коммерческое предложение,письменное предложение о покупке товаров или услуг,AI
7520,уховертка,"маленькое насекомое, живущее в щелях и трещинах",AI
7521,оперетта,"легкий развлекательный сценический жанр с пением, диалогами и танцами",AI
7522,организатор,"женщина, подготавливающая мероприятия или процессы",AI
7523,донорство органов,предоставление собственного органа для трансплантации,AI
7524,глава поселения,руководитель общины,AI
7525,центр города,центральная часть населенного пункта,AI
7526,Восточная Азия,регион в Восточной Азии,AI
7527,паж,гостиничный слуга в форме,AI
7528,палаццо,итальянский дворец,AI
7529,Палермо,город на Сицилии,AI
7530,статья,отдельная короткая научная публикация,AI
7531,парковая зона,"территория, оформленная как парк",AI
7532,парковочный уровень,этаж или площадка для парковки автомобилей,AI
7533,председательство,председательство партии,AI
7534,центральный офис партии,главный офис партии,AI
7535,патент,документ о праве единолично использовать изобретение,AI
7536,патриархат,общественный строй с господством мужчин,AI
7537,патруль,"человек или группа, выполняющие специальную задачу",AI
7538,пенсионерка,женщина на пенсии,AI
7539,кадровое решение,выбор при назначении на должность,AI
7540,пассажирский транспорт,перевозка людей на короткие расстояния,AI
7541,пассажирские перевозки,все формы перевозки людей,AI
7542,дом пастора,здание с жильем и/или служебным кабинетом пастора,AI
7543,свисток,короткий свист или условный сигнал,AI
7544,воскресенье Троицы,христианский праздник в воскресенье Троицы,AI
7545,пособие по уходу,социальная выплата из-за повышенной потребности в уходе,AI
7546,фантом,"то, что существует лишь в воображении и нереально",AI
7547,конек,наземный певчий птица рода Anthus из семейства трясогузковых,AI
7548,кара,сверхъестественное наказание,AI
7549,рваная рана,открытая травма кожи,AI
7550,плейбой,"финансово независимый мужчина, живущий ради развлечений",AI
7551,пленарное заседание,заседание со всеми участниками,AI
7552,профсоюз полиции,"организация, представляющая интересы полицейских",AI
7553,позиционный документ,документ с закрепленными позициями,AI
7554,почтовое отделение,филиал почты,AI
7555,постулат,требование,AI
7556,ценовая война,конкуренция ценами,AI
7557,повышение цен,рост стоимости,AI
7558,информагентство,"компания, собирающая новости для СМИ",AI
7559,сообщение прессы,"отчет, опубликованный в прессе",AI
7560,начальная школа,начальная школа (Швейцария),AI
7561,княжеская чета,принц или принцесса с супругом,AI
7562,приватизация,передача госимущества в частные руки,AI
7563,профессура,должность или звание профессора,AI
7564,программирование,создание компьютерных программ,AI
7565,разработчик проектов,"лицо или фирма, создающие проекты",AI
7566,проза,"жанр, не связанный метром, рифмой или ритмом",AI
7567,проститутка,"женщина, оказывающая сексуальные услуги за плату",AI
7568,поперек,поперечное положение,AI
7569,сечение,плоский срез под углом 90 градусов к оси,AI
7570,квитанция,подтверждение получения или оплаты,AI
7571,ворон,"черная птица, ворон",AI
7572,ярость,неконтролируемое возбуждение,AI
7573,Рамзау,топоним; горный регион,AI
7574,перепалка,малый безвредный бой,AI
7575,рэп,ритмичный речитатив под бит,AI
7576,раппен,мелкая монета Рейнской области,AI
7577,хищник,млекопитающее из отряда хищных,AI
7578,дымовая туча,большое плотное облако дыма,AI
7579,наркотик,"общее название веществ, вызывающих опьянение",AI
7580,система права,совокупность институтов охраны права,AI
7581,референсный курс,ориентир цены или курса,AI
7582,радуга,оптическое явление из-за преломления света,AI
7583,работа правительства,деятельность правительства,AI
7584,ответственность за управление,ответственность за действия правительства,AI
7585,рейхстаг,собрание на уровне империи,AI
7586,моющее средство,химическое средство для очистки,AI
7587,всадница,"женщина, ездящая верхом",AI
7588,рекордное число,наивысшее число,AI
7589,отношение,"связь, взаимосвязь",AI
7590,свобода вероисповедания,право свободно выбирать и исповедовать религию,AI
7591,шоссейный велосипед,велосипед для гонок,AI
7592,день скачек,день с конными гонками,AI
7593,гоночный автомобиль,"машина, разработанная для гонок",AI
7594,репутация,общественное признание заслуг,AI
7595,реструктуризация,новая организация структуры,AI
7596,ориентир,"величина, на которую ориентируются",AI
7597,крупный рогатый скот,парнокопытное животное,AI
7598,ролевая игра,"игра, где участники играют роли",AI
7599,распределение ролей,распределение ролей,AI
7600,рывок,резкий толчок,AI
7601,регби,командная игра с овальным мячом,AI
7602,руна,древний германский знак письма,AI
7603,горка,сооружение для скатывания,AI
7604,специалист,"сотрудник, ведущий определенный участок",AI
7605,сафари,поездка по Африке для охоты или наблюдения,AI
7606,сага,древнеисландский прозаический рассказ,AI
7607,гол сезона,"попадание или гол, сделанный в сезон",AI
7608,пиджак,мужская верхняя одежда с пуговицами,AI
7609,соленая вода,вода с растворенной солью,AI
7610,квашеная капуста,"капуста, заквашенная молочной кислотой",AI
7611,шейх,глава семьи или племени,AI
7612,прожекторный свет,свет от прожекторов,AI
7613,робость,робкая сдержанность,AI
7614,арбитраж,частный суд с силой судебного решения,AI
7615,спальное место,место для сна,AI
7616,грязевая битва,игра на грязной поверхности,AI
7617,поражение,поражение (как Niederlage),AI
7618,надувная лодка,лодка с надувным корпусом,AI
7619,ущелье,узкий и крутой разлом в долине,AI
7620,заключительная треть,последняя треть,AI
7621,морда,выступающая часть морды животных,AI
7622,снюс,вдыхание вещества через нос,AI
7623,работа школы,функционирование школы,AI
7624,уровень долга,размер долга,AI
7625,должник,"лицо или организация, которые должны деньги",AI
7626,травма плеча,повреждение плеча,AI
7627,перестрелка,обмен выстрелами,AI
7628,защитная зона,зона безопасности,AI
7629,ласточка,певчая птица семейства ласточек,AI
7630,шведка,гражданка Швеции,AI
7631,невестка,жена сына или дочери,AI
7632,парусная лодка,лодка на ветровой тяге,AI
7633,мыло,моющее средство,AI
7634,секта,"малое религиозное сообщество, отделившееся",AI
7635,самообраз,представление о себе,AI
7636,сомнения в себе,неуверенность в своих действиях,AI
7637,последовательность,ряд сходных элементов,AI
7638,гарантия безопасности,обещание защиты,AI
7639,превентивное заключение,заключение после срока для защиты общества,AI
7640,сито,предмет с отверстиями для просеивания,AI
7641,силуэт,контур на фоне,AI
7642,симфония,крупное оркестровое произведение,AI
7643,горнолыжная трасса,склон для спуска на лыжах,AI
7644,конспект,записанный текст или конспект,AI
7645,срочная программа,программа немедленных мер,AI
7646,солдат,женщина-военнослужащая,AI
7647,спецпосланник,посланник по особым задачам,AI
7648,спецкомиссия,комиссия для конкретной задачи,AI
7649,солнечный ожог,ожог кожи от солнца,AI
7650,социальная работа,помощь в сложных жизненных ситуациях,AI
7651,социальный работник,женщина-специалист по соцпомощи,AI
7652,социал-демократ,женщина-сторонник социал-демократии,AI
7653,социальный партнер,участник социального партнерства,AI
