id,translate,translate_description,source
11101,правительственная скамья,скамья правительственной фракции в парламенте,AI
11102,правительственный лагерь,совокупность сторонников правительства,AI
11103,член правительства,член правительства,AI
11104,столица,"место, где расположено правительство",AI
11105,противник режима,"человек, выступающий против режима",AI
11106,полк,воинское формирование среднего размера,AI
11107,чистота,отсутствие грязи,AI
11108,тургруппа,"группа людей, путешествующих вместе",AI
11109,рекордный минимум,самый низкий показатель,AI
11110,рекрут,новобранец,AI
11111,религиозная община,сообщество верующих одной религии,AI
11112,реноме,"репутация, хороший имидж",AI
11113,реорганизация,введение новой структуры,AI
11114,реплика,ответ на высказывание,AI
11115,резерват,"территория, отведенная под определенные цели",AI
11116,резервист,"бывший военнослужащий, подлежащий призыву",AI
11117,реставратор,специалист по реставрации,AI
11118,ревматизм,боли в опорно-двигательном аппарате с ограничением функций,AI
11119,ритмика,учение о ритме,AI
11120,тюлень,хищное водное животное,AI
11121,саночник,"человек, катающийся на санях",AI
11122,романтик,"человек, склонный к романтизму",AI
11123,рулетка,игра с вращающимся колесом,AI
11124,крикун,"человек, который кричит",AI
11125,радиостанция,организация радиовещания,AI
11126,зал,здание с залом,AI
11127,специалист,"женщина, ведущая определенный участок",AI
11128,таинство,"ритуал, передающий благодать",AI
11129,саламандра,хвостатое земноводное без плавников,AI
11130,Салоники,город в Греции,AI
11131,залп,одновременный выстрел,AI
11132,сборник,том для собрания разных материалов,AI
11133,сборная солянка,хаотичное собрание,AI
11134,программа санации,программа по санации,AI
11135,сарказм,язвительная насмешка,AI
11136,саркофаг,каменный гроб,AI
11137,шаблон,формовка для одинаковых результатов,AI
11138,шахматная партия,игра в шахматы,AI
11139,иск о возмещении,судебный иск о компенсации,AI
11140,случай ущерба,случай причинения вреда,AI
11141,кондуктор,"работник, проверяющий билеты",AI
11142,шутник,озорной человек,AI
11143,позорное пятно,"то, что портит вид или репутацию",AI
11144,витринный ящик,ящик с окном для экспозиции,AI
11145,кораблекрушение,"авария судна, приводящая к его утрате",AI
11146,судак,другое название судака,AI
11147,передряга,"сложная, неприятная ситуация",AI
11148,простота,свойство быть простым,AI
11149,петля,петлеобразная форма шнура или провода,AI
11150,галстук,узкая тканевая полоса на шее,AI
11151,последняя минута,последняя минута игры,AI
11152,улитка,моллюск с спиральной раковиной,AI
11153,камбала,"плоская рыба, употребляемая в пищу",AI
11154,пугало,"существо или образ, вызывающий страх",AI
11155,крикун,"человек, громко кричащий",AI
11156,парта,ученическое место со столешницей,AI
11157,консультация должников,консультации для должников,AI
11158,школьный праздник,праздник в школе,AI
11159,тип школы,организационная форма школы,AI
11160,школьное сообщество,"совокупность учеников, учителей и родителей",AI
11161,закон об образовании,"закон, регулирующий школьное дело",AI
11162,обязательное обучение,обязанность посещать школу,AI
11163,ступень обучения,уровень в школьной системе,AI
11164,линия огня,направление выстрела,AI
11165,защитное сообщество,сообщество для защиты,AI
11166,сера,химический элемент номер 16,AI
11167,главная тема,основная тема,AI
11168,партия-сестра,партия с близкими целями,AI
11169,убыль,постепенное уменьшение,AI
11170,клятва,торжественное обещание,AI
11171,суд присяжных,суд с присяжными по тяжким преступлениям,AI
11172,осадок,"отложения, образованные эрозией",AI
11173,морской курорт,купание в морской воде,AI
11174,самоконтроль,управление своим поведением,AI
11175,уверенность в себе,ощущение уверенности,AI
11176,проблема безопасности,проблема в сфере безопасности,AI
11177,поселенческая зона,территория с поселениями,AI
11178,силикон,эластичный пластик на основе кремния,AI
11179,силос,башня для хранения зерна,AI
11180,симфонический оркестр,оркестр классической музыки,AI
11181,изменение мнения,перемена убеждений,AI
11182,место для сидения,"мебель или место, где можно сесть",AI
11183,скейтборд,доска с колесами для катания,AI
11184,ски-пасс,абонемент на пользование подъемниками,AI
11185,словак,гражданин Словакии,AI
11186,жалованье,оплата труда солдата,AI
11187,летний отдых,время и место летнего отдыха,AI
11188,летняя ночь,ночь летом,AI
11189,летний семестр,летняя половина учебного года,AI
11190,спецмодель,особая модель серии,AI
11191,специальная экспозиция,особая выставка,AI
11192,особый статус,особое положение,AI
11193,солнечный луч,отдельный луч Солнца,AI
11194,воскресная газета,"газета, выходящая по воскресеньям",AI
11195,сувенир,памятная вещь,AI
11196,сокращение соцподдержки,критика снижения социальных выплат,AI
11197,напряженный сюжет,драматический ход напряжения,AI
11198,воробей,маленькая певчая птица,AI
11199,столовая,зал для приема пищи,AI
11200,Шпессарт,среднегорье в Германии,AI
