id,translate,translate_description,source
9301,цветочный горшок,"емкость, в которую высаживают растение",AI
9302,анализ крови,исследование крови,AI
9303,приземленность,"реалистичный взгляд, устойчивость",AI
9304,сверление,действие сверления,AI
9305,бомбовый налет,"атака бомбами, сбрасываемыми с самолетов",AI
9306,посланник,"человек, который что-то доставляет, например сообщение; курьер",AI
9307,желтая газета,"газета с очень броской подачей, в основном о тривиальных темах",AI
9308,лидер отрасли,ведущее предприятие в отрасли,AI
9309,затруднительное положение,"смущение, трудности, стесненные обстоятельства",AI
9310,настольная игра,"игра на игровом поле с фигурками, фишками или другим материалом",AI
9311,кошелек,"небольшая папка для документов, наличных и другого",AI
9312,бриль,вид камбалообразной рыбы,AI
9313,блеск,"сияние, выразительность",AI
9314,травянистый холм,"холм, покрытый травой",AI
9315,аварийная посадка,"посадка летательного аппарата, при которой он получает повреждения",AI
9316,буква,"знак, который может передавать звуки языка на письме",AI
9317,Федеральный финансовый суд,"высший немецкий суд по налоговым и таможенным делам, находится в Мюнхене",AI
9318,Федеральная разведывательная служба,государственная разведслужба Германии по сбору секретной информации,AI
9319,федеральное министерство окружающей среды,министерство окружающей среды федерации,AI
9320,студенческое братство,"студенческое объединение, часто старое и с цветными знаками",AI
9321,Бурунди,государство в Восточной Африке,AI
9322,выделенная полоса,"полоса на дороге, предназначенная главным образом для автобусов",AI
9323,Капри,остров в Италии,AI
9324,Кардифф,столица Уэльса,AI
9325,виолончелист,"человек, который играет на виолончели",AI
9326,контрольно‑пропускной пункт,"место (особенно на баррикадах и границах), где проверяют людей и транспорт",AI
9327,главная редакция,руководство редакции,AI
9328,шифр,знак секретного письма,AI
9329,хронология,"измерение времени, летоисчисление",AI
9330,клан,(шотландский/ирландский) племенной или родовой союз,AI
9331,клинч,"незаконный захват и удержание соперника, чтобы избежать ударов и передохнуть",AI
9332,компания,"неформальная группа друзей, чаще молодежи",AI
9333,Колония,название города; испанск. «колония»,AI
9334,комбо,"небольшая группа музыкантов, играющих джаз или танцевальную музыку",AI
9335,компания,компания/фирма (фр.),AI
9336,дамоклов меч,"угроза неизбежной опасности, перед которой человек бессилен",AI
9337,танцпол,"зона в клубе или дискотеке, где можно танцевать",AI
9338,Данциг,немецкое название города Гданьск,AI
9339,декларация,указание содержания или стоимости отправления,AI
9340,деликатес,особенно вкусная пища,AI
9341,демонстрант,"человек, выражающий мнение публично на организованной акции",AI
9342,нижнее белье,элегантное нижнее белье,AI
9343,дестабилизация,нарушение процесса или состояния и результат такого нарушения,AI
9344,отчетливость,свойство быть очень хорошо различимым/понятным,AI
9345,немецкоязычный швейцарец,гражданин Швейцарии из немецкоязычной части,AI
9346,поэтесса,женщина‑автор художественных произведений,AI
9347,диктант,"текст, произносимый для дословной записи другим лицом",AI
9348,директорат,"руководящий орган, правление",AI
9349,круглый стол,"группа людей, ведущая дискуссию",AI
9350,дистанцирование,заявление о непринятии или несогласии,AI
9351,доктрина,"обязательный принцип, учение",AI
9352,устный переводчик (жен.),"женщина, переводящая устную речь",AI
9353,двойная функция,"две разные задачи/функции, выполняемые параллельно",AI
9354,преподаватель,"человек, занимающийся преподаванием",AI
9355,дракон,"крупное мифическое существо, часто крылатое, огнедышащее и с когтями",AI
9356,токарь‑деревщик,ремесленник по точеным изделиям,AI
9357,токарь,"рабочий, обслуживающий токарный станок",AI
9358,почетный знак,значок‑награда,AI
9359,круг почета,"круг, который спортсмены проходят, чтобы поблагодарить публику",AI
9360,почетный титул,"титул, присваиваемый за заслуги без экзаменов",AI
9361,собственное предприятие,собственное предприятие муниципалитета,AI
9362,квартира в собственности,"квартира, являющаяся частной собственностью",AI
9363,остров,остров,AI
9364,включение,"включение, интеграция",AI
9365,мысль,внезапная идея,AI
9366,шопинг‑прогулка,прогулка по магазинам с целью покупок,AI
9367,показания,заявление (обвиняемого или подсудимого),AI
9368,сдача,действие передачи кого‑то или чего‑то в определенное место,AI
9369,разовая выплата,разовый платеж,AI
9370,спецподразделение,специальное подразделение для операций,AI
9371,воздействие,"вызов эффекта, изменение чего‑то или кого‑то",AI
9372,внесение,внесение денег на банковский счет,AI
9373,яйцеклетка,женская половая клетка,AI
9374,локтевой отросток,костный выступ в локтевом суставе,AI
9375,эмбрион,плод человека от 4‑й недели беременности до конца 4‑го месяца,AI
9376,эмират,владение эмира,AI
9377,пункт окончательного хранения,место длительного хранения особо вредных отходов,AI
9378,конечный потребитель,"человек, покупающий товар для собственного потребления",AI
9379,лишение власти,"процесс, при котором кто‑то теряет власть",AI
9380,милосердие,сильное сочувствие к чужой беде и желание помочь,AI
9381,наследница,"женщина, получающая наследство",AI
9382,получение,завладение благами или достижение целей,AI
9383,ольха,"лиственное дерево рода Alnus, растущее во влажных местах",AI
9384,выполнение,процесс завершения работы или задачи,AI
9385,первый голос,голос за кандидата в своем округе на выборах,AI
9386,просьба,вежливый или формальный запрос,AI
9387,образование взрослых,организация и проведение обучения для взрослых,AI
9388,ясень,лиственное дерево рода Fraxinus,AI
9389,остроумие,"быстрый, острый ум",AI
9390,европейская политика,"часть политики, связанная с европейской интеграцией",AI
9391,пример,поучительный пример,AI
9392,Исход,книга Моисея; описание выхода Израиля из Египта,AI
9393,квалифицированный рабочий,рабочий с многолетним обучением и экзаменом,AI
9394,профессиональная выставка,выставка для специалистов,AI
9395,направление,определенная предметная область,AI
9396,профессиональная конференция,собрание специалистов,AI
9397,профессиональная ассоциация,объединение специалистов,AI
9398,билет,"документ, дающий право проезда в общественном транспорте",AI
9399,билет,талон для пользования общественным транспортом,AI
9400,парашют,"летательное устройство, замедляющее падение",AI
