id,translate,translate_description,source
6601,поле для гольфа,площадка для игры в гольф,AI
6602,гребень,узкий горный хребет,AI
6603,пограничная полиция,"полиция, отвечающая за охрану границ",AI
6604,охрана границы,защита государственных границ,AI
6605,предельное значение,законодательно установленный максимум или минимум,AI
6606,затаенная злость,"длительная тихая злость, скрытая вражда",AI
6607,основное настроение,"базовое, определяющее настроение",AI
6608,огурец,растение из семейства тыквенных,AI
6609,литьё,процесс литья,AI
6610,Хамельн,город в Нижней Саксонии,AI
6611,руководство,инструкция или краткое справочное издание по теме,AI
6612,главный фокус,особая концентрация внимания,AI
6613,главный комитет,постоянный комитет с широкими полномочиями,AI
6614,главный приз,самый важный приз,AI
6615,главная проблема,наиболее существенная проблема,AI
6616,главная тема,центральный смысловой фокус,AI
6617,основное место жительства,"место, где человек живет преимущественно",AI
6618,главная цель,важнейшая цель,AI
6619,прихожая,пространство между входом и лестницей или жилой зоной,AI
6620,поражение дома,поражение хозяев,AI
6621,мужичок,мужчина маленького роста,AI
6622,сердечность,"дружелюбие, внимание и готовность помочь",AI
6623,содействие,активная помощь и поддержка,AI
6624,заднее колесо,колесо на задней оси,AI
6625,разгар лета,период в середине лета,AI
6626,день свадьбы,дата свадьбы,AI
6627,фильм ужасов,"жанр кино, вызывающий у зрителей страх и напряжение",AI
6628,карман брюк,карман на брюках или в брюках,AI
6629,иллюстрация,"изображение, дополняющее письменное описание",AI
6630,империализм,стремление государства установить власть или контроль над соседними странами,AI
6631,импровизация,искусство спонтанно выступать или создавать,AI
6632,индиан,индиец; также англ. «индеец»,AI
6633,объединение промышленников,союз промышленности,AI
6634,инфекция,"заразное заболевание, вызванное возбудителями",AI
6635,ввод,ввод данных,AI
6636,намерение,желание что-то сделать,AI
6637,замешательство,состояние растерянности,AI
6638,исламизм,"политическое движение в исламе, добивающееся исламского государства и введения шариата",AI
6639,годовой билет,"входной или проездной билет, действующий год",AI
6640,Джакарта,столица Индонезии,AI
6641,детеныш,еще не взрослое или половозрелое животное,AI
6642,присяжный,член жюри,AI
6643,заседание кабинета,рабочее заседание министров,AI
6644,труп,мертвое животное в стадии разложения,AI
6645,теленок,детеныш стадного животного,AI
6646,известь,сырье в строительстве,AI
6647,министр канцелярии,"глава федеральной канцлерии, координирующий министерства",AI
6648,карикатура,комически преувеличенное изображение людей или явлений,AI
6649,кузов,корпус автомобиля,AI
6650,кассирша,"женщина, ведущая кассу",AI
6651,катализатор,"вещество, влияющее на энергию активации реакции и не расходующееся",AI
6652,оборотная сторона,"другая, часто негативная сторона",AI
6653,Кентукки,штат США,AI
6654,кожа молодого животного,"выделанная шкура молодого козленка, ягненка или теленка",AI
6655,гравий,рыхлые обломки горной породы размером около 3–30 мм,AI
6656,детский труд,"осуждаемая работа, которую вынуждены выполнять дети",AI
6657,детская книга,"книга, ориентированная на детей",AI
6658,детское пособие,"деньги, которые государство регулярно выплачивает родителям на ребенка",AI
6659,детский возраст,возраст ребенка,AI
6660,приход,местная административная единица церкви,AI
6661,церковная башня,башня церкви,AI
6662,скрепка,небольшое устройство для временного соединения предметов,AI
6663,шкаф для одежды,шкаф для хранения одежды,AI
6664,мелочь,незначительная вещь,AI
6665,брус,"крупный угловатый предмет, первоначально деревянный",AI
6666,батрак,"мужчина, выполняющий низкую работу на ферме",AI
6667,коллегия,сообщество лиц одной должности,AI
6668,колониализм,политика приобретения или удержания колоний,AI
6669,колонна,упорядоченная движущаяся группа,AI
6670,колумбиец,гражданин Колумбии,AI
6671,комизм,"ситуация, вызывающая смех",AI
6672,коммерциализация,превращение идей в бизнес,AI
6673,условия,условия поставки и оплаты,AI
6674,конкурентка,женщина-конкурент,AI
6675,конструкт,мысленная концепция,AI
6676,контингент,ограниченное количество,AI
6677,контрольный орган,орган по контролю,AI
6678,концертный зал,"зал, в котором проходят концерты",AI
6679,уступка,"соглашение, уступка",AI
6680,ломать голову,напряженное размышление над проблемой,AI
6681,Коран,священная книга ислама,AI
6682,хлам,"малоценные, малополезные вещи",AI
6683,медбрат,медицинский работник по уходу за больными,AI
6684,возбудитель,"организм или вещество, вызывающее болезнь",AI
6685,выдача кредитов,процесс выдачи кредитов,AI
6686,зона боевых действий,"регион, где происходят военные действия",AI
6687,право войны,"нормы международного права, действующие во время войны",AI
6688,боевой корабль,корабль военно-морского флота,AI
6689,военный преступник,"человек, совершивший военное преступление",AI
6690,культурная политика,политика в сфере культуры,AI
6691,министерство культуры,"ведомство по вопросам культуры, особенно в немецкой земле",AI
6692,курортный дом,общественное учреждение на курорте,AI
6693,короткий отпуск,отпуск на несколько дней,AI
6694,лабиринт,извилистый путь без развилок,AI
6695,земельная садовая выставка,крупная выставка по садоводству,AI
6696,водитель грузовика,"человек, профессионально управляющий грузовиком",AI
6697,латынь,язык римлян и европейских ученых,AI
6698,торговля продуктами,купля и продажа продуктов,AI
6699,спасатель,"человек, спасающий жизнь другого",AI
6700,жизненная ситуация,текущие обстоятельства жизни,AI
