id,translate,translate_description,source
3601,оформление,конкретное оформление или выполнение,AI
3602,фрагмент,"вырезанный кусок текста, изображения, фильма или записи",AI
3603,произношение,"акустическое оформление звуков, слов и предложений",AI
3604,место проведения,"место, где проводится и решается соревнование",AI
3605,выезд,процесс выхода из помещения или здания,AI
3606,автономия,право устанавливать собственные законы и жить по ним,AI
3607,автомобильный трафик,"дорожное движение, создаваемое автотранспортом",AI
3608,пекарня,"здание или дом, где выпекают",AI
3609,Бахрейн,островное государство в Персидском заливе.,AI
3610,Баку,столица Азербайджана.,AI
3611,балет,вид сценического искусства и танца,AI
3612,шар,"резиновая оболочка, надуваемая воздухом или гелием",AI
3613,базилика,общественное здание с высоким центральным нефом и боковыми нефами,AI
3614,строитель,"человек, работающий на строительстве",AI
3615,начало строительства,старт работ по проекту,AI
3616,строительная база,место хранения материалов,AI
3617,застройка,процесс застройки территории,AI
3618,приказ,"обязательное распоряжение (в армии, полиции и т. п.)",AI
3619,опрашиваемая,"женщина, которую опрашивают или допрашивают",AI
3620,заключение,результат проверки или теста; отчет специалиста,AI
3621,пособие,дополнительная поддержка деньгами или вещами,AI
3622,вступление,приобретение членства,AI
3623,пользователь,"человек, который использует что-либо",AI
3624,консультационный пункт,"служба, где можно получить консультацию",AI
3625,обогащение,приращение для чего-либо,AI
3626,горняк,"человек, работающий в горной промышленности",AI
3627,альпинист,"человек, поднимающийся в горы",AI
3628,устранение,удаление чего‑либо,AI
3629,осмотр,"событие, когда что‑то детально рассматривают",AI
3630,налогообложение,взимание налогов,AI
3631,рекорд,лучший результат в дисциплине,AI
3632,бета,вторая буква греческого алфавита,AI
3633,затронутость,"состояние, когда что‑то касается кого‑то",AI
3634,мешочек,эластичная сумка для хранения,AI
3635,разрешение,официальное согласие на проект,AI
3636,районное управление,высший орган администрации района,AI
3637,районная администрация,орган общей администрации в Австрии,AI
3638,байк,общее название для велосипеда или мотоцикла,AI
3639,байкер,"человек, который ездит на велосипеде или на мотоцикле",AI
3640,министерство образования,"министерство, отвечающее за вопросы образования",AI
3641,галстук,"элемент одежды, повязываемый вокруг шеи",AI
3642,укус,акт укуса,AI
3643,епархия,административный округ епископа,AI
3644,мочевой пузырь,мочевой пузырь,AI
3645,духовая музыка,"музыкальный стиль или состав, где используются преимущественно духовые инструменты и ударные",AI
3646,облигация,"облигация, ценная бумага",AI
3647,боксер,"человек, занимающийся боксом",AI
3648,бойкот,"организованная изоляция человека, группы, фирмы или страны путем отказа от торговли и политических и социальных контактов, чтобы оказать давление",AI
3649,жареная колбаска,колбаса для жарки или гриля,AI
3650,бригада,"наименьшее крупное соединение сухопутных войск, способное самостоятельно вести бой, обычно состоит из нескольких полков или батальонов и подчинено дивизии",AI
3651,острота,признак большой значимости или опасности,AI
3652,книжная ярмарка,"выставка книг, обычно проходящая регулярно (часто ежегодно)",AI
3653,федеральный министр финансов,руководитель федерального министерства финансов,AI
3654,федеральная столица,"столица государства, состоящего из федеральных земель",AI
3655,федеральная армия,вооруженные силы Австрийской Республики,AI
3656,федеральный кабинет,"совокупность министров правительства, включая канцлера",AI
3657,ведомство федерального канцлера,официальная резиденция и аппарат канцлера,AI
3658,Федеральное ведомство уголовной полиции,"федеральное ведомство по борьбе с преступностью, подчиненное МВД",AI
3659,предвыборная кампания в Бундестаг,агитация партий или кандидатов за голоса избирателей на выборах в Бундестаг,AI
3660,Федеральный административный суд,"высший суд по публично-правовым спорам, не относящимся к конституционным",AI
3661,бункер,бомбоустойчивое убежище для людей и техники,AI
3662,дворецкий,слуга в богатой семье (особенно в Великобритании),AI
3663,кемпинг,"лагерь, ночевка в палатке или жилом прицепе",AI
3664,главврач,руководящий врач больницы или другого медучреждения,AI
3665,христианство,"крупнейшая монотеистическая религия, возникшая на основе учения Иисуса из Назарета",AI
3666,кузен,сын дяди или тети,AI
3667,ЦП,центральный процессор компьютера,AI
3668,крики,"индейский народ, племя на юго‑востоке США",AI
3669,фиаско,"несчастливый, пагубный исход",AI
3670,динозавр,динозавр,AI
3671,деление,процесс деления,AI
3672,документальный фильм,"фильм, правдиво представляющий определенную тему",AI
3673,воздушный змей,неуправляемый летательный аппарат на веревке (игрушка),AI
3674,порыв,"трудно сдерживаемый импульс, сильное стремление",AI
3675,треугольник,"геометрическая фигура, образованная тремя точками, не лежащими на одной прямой",AI
3676,лекарственное сырье,вещество биологического происхождения с лечебным действием,AI
3677,употребление наркотиков,прием (нелегальных) наркотиков,AI
3678,скрытая статистика,"оценочное число случаев, не отраженных в официальной статистике",AI
3679,реализация,достижение намеченного несмотря на препятствия,AI
3680,угловой,"удар с угла поля, когда мяч выбит защитой за лицевую линию вне ворот",AI
3681,Эквадор,государство в Южной Америке,AI
3682,эго,«я»,AI
3683,Эйфель,среднегорье в Германии,AI
3684,автогол,когда игрок забивает в свои ворота,AI
3685,спешка,необходимость срочно что‑то сделать,AI
3686,монтаж,процесс встраивания,AI
3687,включение,включение кого‑то или чего‑то в группу,AI
3688,импорт,ввоз товаров и услуг из‑за границы,AI
3689,вхождение войск,совместное вхождение нескольких людей в здание или территорию,AI
3690,новичок,"человек, который начинает что‑то новое",AI
3691,обрушение,"разрушение, обвал сооружения",AI
3692,одиночный матч,вид игры в теннисе,AI
3693,изгнание,"проживание вне родины, на чужбине",AI
3694,родительский дом,"дом, где человек вырос",AI
3695,родитель,предок первой степени (отец или мать),AI
3696,итоговый эффект,"эффект в конце, в результате",AI
3697,финишный рывок,ускорение в конце дистанции,AI
3698,потребление энергии,"количество энергии, используемой в процессе",AI
3699,командирование,направление одного или нескольких лиц с поручением,AI
3700,разоружение,изъятие или сдача оружия,AI
