id,translate,translate_description,source
4301,топор,большой рубящий инструмент с острым лезвием,AI
4302,духовка,большой кухонный прибор для нагрева пищи,AI
4303,Бали,остров в Индонезии.,AI
4304,банковское дело,банковская сфера.,AI
4305,строительный департамент,"орган власти по строительным вопросам, рассматривающий и утверждающий заявки",AI
4306,строительная комиссия,комитет по строительным вопросам.,AI
4307,союз фермеров,"организация, представляющая интересы сельхозпроизводителей.",AI
4308,заказчик строительства,"лицо или организация, заказавшая строительство",AI
4309,чиновница,женщина-чиновник,AI
4310,сожаление,сочувствие другим,AI
4311,приложение,приложенная вещь; обычно приложение,AI
4312,совет,постоянный консультативный орган,AI
4313,совместное время,совместное пребывание в одной компании,AI
4314,одежда,"ткань, предназначенная для ношения на теле",AI
4315,оживление,"оживление, оживление процесса",AI
4316,замечание,высказывание по теме,AI
4317,горная местность,территория с возвышенностями,AI
4318,лучшее время,лучшее достигнутое время,AI
4319,наблюдатель,"человек, смотрящий на что‑то",AI
4320,подвижность,способность двигаться,AI
4321,восхищение,чувство уважения к чему‑то выдающемуся,AI
4322,районный суд,суд района,AI
4323,министр образования,глава министерства образования,AI
4324,система образования,"совокупность учреждений и институтов, служащих образованию и подготовке населения",AI
4325,триллион,1 000 000 000 000 = 10^12 (миллион миллионов),AI
4326,биология,"наука о жизни, обо всем живом",AI
4327,провал в памяти,временная потеря памяти,AI
4328,листовой металл,тонкая пластина из металла,AI
4329,точка зрения,"мысленная перспектива, взгляд на тему",AI
4330,молния,"электрический разряд в облаке, обычно сопровождаемый громом",AI
4331,кровяное давление,давление крови в артериальном или венозном сосуде,AI
4332,повышенное давление,хронически повышенное кровяное давление,AI
4333,Боливия,государство в Южной Америке,AI
4334,колодец,колодец,AI
4335,мальчик,мальчик (англ.),AI
4336,поджог,"особый случай умышленного поджога, часто с целью причинить большой ущерб и привлечь внимание",AI
4337,невеста,женщина (обычно помолвленная) до дня после свадьбы,AI
4338,фокус,"точка, в которой линза или вогнутое зеркало собирает параллельные световые лучи",AI
4339,почтовый ящик,общественный контейнер для отправляемой почты,AI
4340,британка,гражданка Великобритании,AI
4341,рак груди,"злокачественное изменение молочной железы, прежде всего у женщин",AI
4342,самшит,вечнозеленый декоративный и полезный кустарник (Buxus sempervirens) из семейства самшитовых,AI
4343,проводка,перенос суммы с одного счета на другой,AI
4344,федеральная территория,территория федеративного государства,AI
4345,федеральный канцлер (жен.),глава правительства ФРГ,AI
4346,клуб Бундеслиги,"спортивный клуб, выступающий в Бундеслиге",AI
4347,федеральный министр,руководитель министерства на федеральном уровне,AI
4348,федеральная политика,совокупность политической деятельности на федеральном уровне,AI
4349,федеральный министр транспорта,министр транспорта федерации,AI
4350,значок,"пластинка с текстом и/или изображением, прикалываемая булавкой к одежде",AI
4351,казино,место или дом для встреч,AI
4352,кастинг,отбор подходящего человека для конкретной задачи,AI
4353,химиотерапия,лечение рака медикаментами,AI
4354,хореография,"система записи танцевальных последовательностей, разработанная Раулем Оже Фёйе около 1700 года",AI
4355,Колорадо,штат США,AI
4356,Колумбия,название регионов и городов в Америке,AI
4357,графство,традиционная административно‑судебная единица в Великобритании и Ирландии,AI
4358,кредо,апостольский символ веры,AI
4359,Дамиан,мужское имя,AI
4360,пар,"газ, обычно еще контактирующий с жидкой или твердой фазой, из которой возник",AI
4361,кишечник,орган пищеварения,AI
4362,исполнительница,"женщина, исполняющая роль, например в театре или кино",AI
4363,печь длительного горения,плита или печь с длительным временем горения,AI
4364,декорация,украшение или его результат,AI
4365,демократ,"сторонник демократии, сторонник демократической партии",AI
4366,полис,древнегреческий город‑государство,AI
4367,смирение,"преимущественно религиозное состояние, подчинение божественной воле",AI
4368,департамент,административный округ во Франции,AI
4369,департамент,официальное название высших административных органов США,AI
4370,десерт,"последнее, часто сладкое блюдо трапезы",AI
4371,диагностика,учение о распознавании и определении (особенно болезней),AI
4372,диалект,местный вариант речи в отличие от литературного языка,AI
4373,дипломат,"уполномоченное лицо, представляющее государство за рубежом или в международных организациях",AI
4374,расхождение,"несоответствие, нестыковка",AI
4375,доктор,человек с медицинским образованием,AI
4376,двухлетний бюджет,бюджет на два года,AI
4377,двойной удар,двойной удар,AI
4378,двуглавое руководство,управление организацией двумя лицами,AI
4379,деревенская площадь,центральная площадь деревни,AI
4380,банка,небольшая емкость с крышкой для хранения предметов,AI
4381,дублер,"актер, заменяющий другого в определенных сценах",AI
4382,напиток,обычно алкогольный напиток или коктейль,AI
4383,принтер,"периферийное устройство, выводящее цифровые знаки и изображения на бумагу",AI
4384,средство давления,средство для оказания давления,AI
4385,Дублин,столица Ирландии,AI
4386,диарея,слишком быстрое выделение кашицеобразного или жидкого стула,AI
4387,душ,"устройство, подающее воду сверху для быстрого мытья",AI
4388,подлинность,свойство вещи быть подлинной,AI
4389,окунь,вид рыбы; речной окунь (Швейцария),AI
4390,собственный дом,"собственный, обычно самостоятельно используемый дом",AI
4391,свойство,"признак вещи или существа; то, что является характерным",AI
4392,пригодность,свойство быть подходящим или годным,AI
4393,срочное заявление,заявление о немедленном рассмотрении,AI
4394,ввод,действие ввода; внесение информации,AI
4395,тележка,четырехколесная тележка с корзиной для перевозки товаров,AI
4396,введение,"начальная, самостоятельная часть текста или произведения",AI
4397,вмешательство,непрошенная вовлеченность в чужие дела,AI
4398,попадание,"удар молнии, снаряда и т. п.",AI
4399,согласие,единая позиция людей по чему‑то,AI
4400,численность населения,"количество людей, проживающих в определенном месте",AI
