id,translate,translate_description,source
12701,страховой концерн,крупная страховая компания,AI
12702,комитет по обороне,парламентский орган контроля обороны,AI
12703,проект договора,проект соглашения,AI
12704,разлом,геологический разлом; также отклонение,AI
12705,четверка,объект с номером 4,AI
12706,слово,слово иностранного языка,AI
12707,народная армия,армия народного государства,AI
12708,народное восстание,массовое выступление против власти,AI
12709,народный герой,"человек, признанный героем народом",AI
12710,народная песня,традиционная песня с простой мелодией,AI
12711,массовый спорт,"спорт, популярный у многих",AI
12712,ведущая рука,передняя рука; также преимущество в игре,AI
12713,предвосхищение,действие наперед,AI
12714,инцидент,неприятное событие,AI
12715,профосмотр,плановый медосмотр,AI
12716,выборы правления,избрание правления,AI
12717,судимость,ранее назначенное наказание,AI
12718,предварительное осуждение,оценка до установления фактов,AI
12719,поставка оружия,доставка оружия заказчику,AI
12720,предвыборная кампания,совокупность действий перед выборами,AI
12721,предвыборный плакат,плакат для агитации,AI
12722,провал на выборах,плохой результат на выборах,AI
12723,Вальдштатт,населенный пункт в Швейцарии,AI
12724,каток,тяжелый цилиндр для уплотнения и выравнивания,AI
12725,разгром,сокрушительное поражение,AI
12726,бейфель,судебный пристав; низший чин,AI
12727,женственность,совокупность женских качеств,AI
12728,ладан,"смола, дающая аромат при сжигании",AI
12729,винодел,"человек, выращивающий и производящий вино",AI
12730,мировая группа,группа на глобальном уровне,AI
12731,мировой концерн,"крупная компания, работающая по всему миру",AI
12732,международная организация,организация на мировом уровне,AI
12733,мировой город,крупный город международного значения,AI
12734,запрет рекламы,запрет рекламной деятельности,AI
12735,материал,сырье для производства изделий,AI
12736,динамика стоимости,развитие стоимости,AI
12737,Западный Берлин,бывшая западная часть Берлина,AI
12738,западная часть,"часть, расположенная западнее центра",AI
12739,конкурентное право,право конкуренции,AI
12740,повторное открытие,нахождение ранее неизвестного,AI
12741,ласка,маленькая быстрая куница,AI
12742,ресница,волосок на веке,AI
12743,крошка,очень маленький объект или человек,AI
12744,экономический подъем,рост после спада,AI
12745,экономический раздел,сфера экономики,AI
12746,экономическое чудо,неожиданный мощный подъем экономики,AI
12747,деловая газета,газета о экономике,AI
12748,благодеяние,бескорыстная помощь,AI
12749,ищущие жилье,"люди, ищущие квартиру",AI
12750,блаженство,очень большое счастье,AI
12751,рабочая станция,мощный ПК для рабочего места,AI
12752,груда,большое количество беспорядочных вещей,AI
12753,ярд,"английская мера длины около 0,91 м",AI
12754,магическая формула,формула для заклинания,AI
12755,наблюдатель,"тот, кто смотрит со стороны",AI
12756,палец ноги,пальцевидная часть ступни,AI
12757,десятиборье,легкоатлетическое соревнование из 10 видов,AI
12758,временная работа,занятость через временное предоставление персонала,AI
12759,центральный комитет,высший орган компартии,AI
12760,арсенал,здание для хранения оружия,AI
12761,приемный отец,"мужчина, воспитывающий чужих детей",AI
12762,направление цели,направление на цель,AI
12763,сионизм,движение за создание еврейского государства,AI
12764,зулу,язык зулу,AI
12765,окрик,крик в адрес кого‑то,AI
12766,дополнительная страховка,страховка сверх основной,AI
12767,распределение,процесс распределения,AI
12768,раздельный купальник,двухчастный купальник,AI
12769,цвингер,пространство между двумя стенами крепости,AI
12770,промежуточный результат,"результат, достигнутый при выполнении части задачи",AI
12771,угорь,змеевидная пресноводная и морская рыба из отряда угреобразных (Anguilliformes),Ilia
12772,выхлопной газ,"газообразный продукт реакции, обычно сгорания, который в обычном случае больше не пригоден для использования",Ilia
12773,заключительная строфа,заключительная часть строфы,Ilia
12774,складирование,"складирование, размещение предметов и материалов",Ilia
12775,штрих вниз,"линия в рукописном письме, идущая вниз",AI
12776,таблетка для аборта,"таблетка, действующие вещества которой вызывают выкидыш",AI
12777,адвокат,"юрист, представляющий в суде",AI
12778,аэробика,"фитнес-тренировка, сочетающая гимнастику и танец с целью усилить кислородный обмен в организме",AI
12779,агрегат,объединение нескольких мелких видов в одну совокупную группу,AI
12780,агония,предсмертная борьба,AI
12781,акробат,"артист варьете или цирка, выполняющий необычные, требующие ловкости физические трюки",AI
12782,акционная группа,объединение для проведения акции.,AI
12783,аллегория,персонифицированное или предметное изображение абстрактного понятия,AI
12784,всемогущество,неограниченная власть; способность все мочь,AI
12785,бывший федеральный канцлер,"федеральный канцлер, уже не находящийся в должности",AI
12786,возрастной этап,временной этап в жизни,AI
12787,Древность,эпоха истории Евразии от изобретения письменности до I тысячелетия нашей эры,AI
12788,экологическое загрязнение,"оставшиеся опасные для здоровья или окружающей среды вещества, возникшие из-за человеческой деятельности",AI
12789,амазонка,в греческой и римской мифологии — матриархальный народ,AI
12790,судья участкового суда,судья при Amtsgericht.,AI
12791,анахронизм,неверная временная отнесенность,AI
12792,анархист,представитель или сторонник анархизма,AI
12793,анорак,ветронепроницаемая куртка-накидка с отверстие для головы,AI
12794,точка приложения,точка для приложения или начала.,AI
12795,антифашист,представитель антифашизма,AI
12796,аппаратура,"совокупность нескольких устройств, выполняющих общую цель",AI
12797,привлекательность,"притягательность, привлекательная сила, положительная коннотация",AI
12798,работница,"женщина, занимающаяся оплачиваемым трудом",AI
12799,рабочий процесс,упорядоченная последовательность рабочих шагов,AI
12800,организация труда,организация работы.,AI
