id,translate,translate_description,source
10701,образ профессии,совокупность характеристик и задач профессии,AI
10702,страховой фонд профрисков,носитель обязательного страхования от несчастных случаев,AI
10703,профессиональная группа,группа профессий с общими признаками,AI
10704,оскорбление,"брань, ругань",AI
10705,конфискация,изъятие имущества по распоряжению властей,AI
10706,захватчик,"человек, незаконно захватывающий что‑то ради цели",AI
10707,идеальный состав,идеальный состав.,AI
10708,операторская компания,"компания, которая что-то эксплуатирует.",AI
10709,атмосфера в коллективе,"среда, влияющая на мораль работников",AI
10710,председательница совета работников,женская форма: председатель совета работников.,AI
10711,охранник,"человек, охраняющий кого‑то или что‑то",AI
10712,районный совет,консультативный орган района.,AI
10713,собрание депутатов района,собрание районных депутатов.,AI
10714,биатлонист,"спортсмен, занимающийся биатлоном",AI
10715,лоукостер,"авиакомпания, предлагающая очень дешевые рейсы, или один из ее самолетов",AI
10716,биодизель,"топливо для дизельных двигателей, произведенное из возобновляемого сырья",AI
10717,береза,представитель рода Betula,AI
10718,бледность,состояние бледности,AI
10719,карандаш,пишущий инструмент из дерева с грифелем из графита,AI
10720,слепота,состояние слепоты; неспособность видеть,AI
10721,вспышка,"кратковременный очень яркий свет, используемый при съемке в темных помещениях",AI
10722,цветочное украшение,"украшение, изготовленное из цветов",AI
10723,теракт с бомбой,"нападение, совершенное с помощью бомбы",AI
10724,бонмо,"остроумное, меткое высказывание, часто ради развлечения",AI
10725,бортовой компьютер,компьютер в транспортном средстве,AI
10726,залежь,"необработанная пашня, поле под паром",AI
10727,крупный пожар,пожар с существенным ущербом людям и/или имуществу,AI
10728,дробилка,устройство для дробления материала,AI
10729,тормозильщик,"человек, который тормозит транспортные средства",AI
10730,Бреслау,немецкое название города Вроцлав,AI
10731,почтовая марка,наклеиваемый знак оплаты почтовых услуг,AI
10732,бронхит,воспаление бронхов,AI
10733,высиживание,процесс насиживания яиц,AI
10734,бухгалтер,"человек, работающий в бухгалтерии и ведущий учетные книги предприятия",AI
10735,букмекер,"человек, предлагающий ставки с фиксированными или переменными коэффициентами на исход будущих событий, особенно спортивных",AI
10736,бюджетирование,планирование бюджета,AI
10737,болгарин,"человек, живущий в Болгарии или происходящий оттуда",AI
10738,бюллетень,официальное опубликованное сообщение,AI
10739,бумеранг,"плоский метательный предмет, который при броске по дуге возвращается к метателю",AI
10740,федеральная садовая выставка,крупное мероприятие и выставка по садоводству общенационального масштаба,AI
10741,федеральное министерство обороны,министерство обороны федерации,AI
10742,юноша,молодой мужчина,AI
10743,женская грудь,"женская грудь как целое, пространство между грудями",AI
10744,кафе,"кофейня, заведение",AI
10745,Канберра,столица Австралии,AI
10746,караван,жилой прицеп,AI
10747,чирлидер,"человек, подбадривающий публику к аплодисментам",AI
10748,главный редактор,"руководитель редакции, который отбирает и редактирует материалы перед публикацией",AI
10749,хронист,"человек, составивший хронику",AI
10750,кока‑кола,(бутылка) кока‑колы,AI
10751,кольт,револьвер,AI
10752,Коннектикут,штат США,AI
10753,контейнеровоз,грузовое судно для перевозки контейнеров,AI
10754,контроллинг,"отдел компании, внутренний учет",AI
10755,цвет,оптическое явление цвета; вид или градация этого явления,AI
10756,ковбой,"ковбой, герой вестерна в Северной Америке",AI
10757,пароход,"судно, приводимое в движение паровой машиной",AI
10758,дефляция,"общий и длительный спад цен, сопровождаемый ожиданием дальнейшего снижения",AI
10759,упадок,"деградация, нравственный и культурный спад",AI
10760,опровержение,утверждение о ложности высказанного предположения; официальное опровержение,AI
10761,демонстрантка,"женщина, участвующая в демонстрации",AI
10762,уроки немецкого,"занятия, посвященные немецкому языку и литературе",AI
10763,сфера услуг,сектор услуг,AI
10764,компания услуг,"компания, предлагающая услуги за оплату",AI
10765,командировка,поездка по служебному поручению,AI
10766,диффамация,целенаправленная клевета на других,AI
10767,прямые выборы,голосование за конкретного кандидата,AI
10768,диск,метательный диск в легкой атлетике,AI
10769,аспирант,"студент, стремящийся к докторской степени",AI
10770,кинжал,нож с двумя лезвиями,AI
10771,двойное убийство,убийство двух человек,AI
10772,деревенская церковь,часто безымянная церковь в деревне,AI
10773,частота вращения,число оборотов (360°) тела вокруг оси за единицу времени,AI
10774,третье государство,государство вне союза,AI
10775,наркополитика,совокупность мер и решений по обращению с наркотиками,AI
10776,Дубровник,город в Хорватии,AI
10777,дуктус,"манера ведения линии при письме, рисовании и живописи",AI
10778,средний доход,средний арифметический доход группы,AI
10779,Эйхер,фамилия,AI
10780,собственный интерес,"интерес к исходу, обусловленный желанием личной выгоды",AI
10781,самостоятельная жизнь,развитие чего‑то по своим особым путям,AI
10782,самореклама,реклама самого себя,AI
10783,внесение,внесение или вклад,AI
10784,вторженец,"человек, получивший доступ без разрешения",AI
10785,рагу,"блюдо, где ингредиенты готовятся вместе в одном котле",AI
10786,индивидуальная услуга,отдельная услуга,AI
10787,одноместный номер,номер для одного человека,AI
10788,железнодорожник,сотрудник железнодорожной компании,AI
10789,фигурное катание,вид катания с выполнением фигур и прыжков,AI
10790,ледовый стадион,стадион для ледовых видов спорта,AI
10791,родительский совет,совет родителей,AI
10792,родительское объединение,"организованная группа родителей, поддерживающая учреждение",AI
10793,хоры,"повышенная галерея или трибуна, открытая в большой зал",AI
10794,окончательный расчет,заключительный расчет,AI
10795,конечный продукт,"итоговое изделие, не подлежащее дальнейшей обработке",AI
10796,процесс принятия решения,ход принятия решения,AI
10797,решительность,решительность,AI
10798,давление успеха,ощущаемый стресс от ожидания успеха,AI
10799,отсутствие,употребляется в выражении „in Ermangelung“ — при отсутствии,AI
10800,завоеватель,"человек, захватывающий чужую территорию",AI
