id,translate,translate_description,source
1401,сантиметр,одна сотая метра,AI
1402,свидетель,"человек, наблюдавший событие",AI
1403,комната,помещение в доме или квартире,AI
1404,зона,определенный район или область,AI
1405,зоопарк,учреждение для содержания животных,AI
1406,случай,непредвиденное и неумышленное,AI
1407,доступ,возможность получить или использовать,AI
1408,сплоченность,связь между членами группы,AI
1409,цель,"смысл или мотив действия, процесса или меры",AI
1410,оценка «2»,школьная оценка «хорошо» (2),AI
1411,отправление,начало поездки (обычно в определенное время или из определенного места),Ilia
1412,взнос/сборы,платежи в пользу органов власти,Ilia
1413,сбыт/каблук/абзац,наряду со снабжением и производством третья базовая функция предприятия; включает меры по реализации и продаже произведенных товаров,Ilia
1414,депортация,"принудительное исполнение обязанности выезда для лиц, которые не выполняют ее добровольно",Ilia
1415,страховая защита/гарантия,"мера, которая снижает личные риски или компенсирует ущерб в случае его наступления",Ilia
1416,намерение,воля реализовать что-либо,AI
1417,падение,падение людей или предметов; авария,AI
1418,уважение,"уважение, почтение и/или признательность к кому-то или чему-то",AI
1419,экшен,очень насыщенный событиями процесс или драматичный ход событий,AI
1420,адрес,"место, где можно найти человека, и куда можно отправить почту",AI
1421,адвент,"период примерно в четыре недели от первого адвента до Рождества, которым церковный год начинается с подготовки к Рождеству",AI
1422,предчувствие,"неопределенное, смутное предчувствие",AI
1423,Аэробус,европейский производитель самолетов.,AI
1424,академия,"государственное или частное исследовательское, образовательное или учебное учреждение",AI
1425,фондовый рынок,совокупность предложений и спроса на акции,AI
1426,принятие,"согласное принятие, признание; готовность принять или согласиться",AI
1427,Аляска,штат США на севере.,AI
1428,аналитик,"человек, который детально исследует сложный вопрос; составляет анализ",AI
1429,вид,"смотрение, созерцание, вид",AI
1430,служащая,"женщина, которая за оплату предоставляет свою рабочую силу (нефизический труд)",AI
1431,агрессивная война,"внезапное, противоречащее международному праву нападение на другое государство",AI
1432,разбег,разбег перед прыжком или толчком для набора скорости,AI
1433,предположение,вера в еще не доказанный или не доказуемый факт; гипотеза или аксиома,AI
1434,расположение,упорядоченное построение,AI
1435,свисток начала,сигнал к началу игры,AI
1436,прибытие,поездка к месту назначения,AI
1437,звонок,контакт по телефону или попытка его установить,AI
1438,объявление,объявление с определенной целью,AI
1439,развязка,"точка соединения автомагистрали с другими дорогами, позволяющая въезд/съезд",AI
1440,уважение,высокое мнение о ком-то или чем-то,AI
1441,речь,речь на определенную тему для выбранной аудитории,AI
1442,усадьба,"совокупность связанной недвижимости; участок с постройками, используемый как жилье",AI
1443,призыв,"настоятельное обращение, просьба",AI
1444,безработица,"состояние человека или группы, ищущих оплачиваемую работу и не имеющих ее",AI
1445,рабочее место,"место, где работает человек",AI
1446,архитектура,наука и искусство строительства,AI
1447,аргумент,утверждение или цепь выводов для обоснования другого утверждения,AI
1448,бедность,недостаток материальных средств и возможностей для минимального уровня жизни,AI
1449,арсенал,"учреждение для хранения, обслуживания и ремонта оружия",AI
1450,аспект,"точка зрения, ракурс",AI
1451,убежище,приют для людей без собственного жилья,AI
1452,соискатель убежища,"человек, который просит приема и защиты от политического преследования; подает прошение об убежище",AI
1453,разбор,"завершение дел, накопившихся за долгое время",AI
1454,пребывание,"присутствие, пребывание",AI
1455,призыв,настоятельная просьба сделать что-то,AI
1456,возникновение,появление явления,AI
1457,условие,"особое условие, которое нужно выполнить, чтобы получить разрешение на что-либо",AI
1458,удар,"сильный, слышимый удар о что-либо",AI
1459,призыв,публичный призыв что-то сделать или не делать,AI
1460,надпись,короткое письменное сообщение или обозначение на предмете,AI
1461,подъем,"подъем, прогресс",AI
1462,перечень,перечень данных,AI
1463,распространение,"распространение, расширение",AI
1464,сбой,отказ или потеря работы системы или ее части,AI
1465,информация,сведения; сообщение о чем-либо,AI
1466,исключение,"удаление людей/предметов из группы, мероприятия или процесса",AI
1467,объявление о конкурсе,письменное объявление с приглашением участвовать или подавать заявки,AI
1468,выход,действие по оставлению чего-либо,AI
1469,трансляция,передача радио- или телепередачи,AI
1470,расширение,"увеличение, расширение",AI
1471,тайм-аут,короткая пауза в игре,AI
1472,водительница,"женщина, которая управляет автомобилем",AI
1473,автопром,совокупность предприятий по производству и обслуживанию автомобилей,AI
1474,купание,процесс или идея погружения в жидкость; купаться,AI
1475,железнодорожная линия,"рельсовый путь, соединяющий два места",AI
1476,живот,часть туловища между диафрагмой и тазом,AI
1477,пляж,"полоска песка или гальки, выступающая в воду, особенно у моря",AI
1478,таз,часть тела ниже живота и выше ног,AI
1479,обслуживание,услуги одного человека для другого,AI
1480,завершение,"прекращение процесса, деятельности или хода событий",AI
1481,опрос,задавание вопросов свидетелям или подозреваемым о происшествии,AI
1482,освобождение,прекращение заключения или удержания,AI
1483,утверждение,высказывание факта без доказательств,AI
1484,инвалидность,"нарушение функций, ограничивающее участие в общественной жизни",AI
1485,пассажир,"человек, сидящий рядом с водителем",AI
1486,нога,конечность для ходьбы и стояния,AI
1487,признание,"обязательное заявление, что приписываемое действительно так",AI
1488,персонал,совокупность работников предприятия,AI
1489,оскорбление,любое нарушение личной чести,AI
1490,освещение,освещение пространства или объекта искусственным светом,AI
1491,популярность,свойство быть популярным,AI
1492,вознаграждение,"признание, компенсация за сделанное",AI
1493,наблюдение,целенаправленное восприятие и исследование,AI
1494,расчет,решение формул,AI
1495,спасение,"спасение находящихся в беде, раненых или погибших",AI
1496,экипаж,совокупность всех людей на судне или в самолете,AI
1497,жалоба,сообщение о нежелательной ситуации или нарушении,AI
1498,особенность,"особое свойство, признак",AI
1499,кандидат,"человек, подающий заявку",AI
1500,заявление,действие подачи заявки,AI
