id,translate,translate_description,source
10201,кандидатура на канцлера,выдвижение на пост канцлера,AI
10202,морковь,"округлая, ранняя разновидность моркови",AI
10203,телега,простое прочное средство передвижения на колесах,AI
10204,зона катастрофы,"территория, где произошла крупная катастрофа",AI
10205,печенье,сладкая плоская выпечка,AI
10206,ключевой вопрос,самый важный вопрос,AI
10207,Кигали,столица Руанды,AI
10208,ясли,учреждение для детей младше 3 лет,AI
10209,детская пора,период детства,AI
10210,Кингстон,"город, в том числе на Ямайке",AI
10211,замазка,пластичная масса для склеивания и герметизации,AI
10212,звуковая картина,общий звук; звуковой образ,AI
10213,классная поездка,многодневная поездка школьного класса,AI
10214,клей,неметаллический материал для склеивания,AI
10215,клиент,"человек, которого обслуживают или представляют",AI
10216,мальчик,ребенок мужского пола,AI
10217,корзина,корзина для переноски продуктов,AI
10218,комод,мебель с несколькими ящиками,AI
10219,презерватив,латексный чехол для защиты при половом акте,AI
10220,вероисповедание,принадлежность к определенной религии,AI
10221,курс на конфронтацию,"поведение, допускающее столкновение разных позиций",AI
10222,конгломерат,смесь или сгущение разных вещей,AI
10223,контрапункт,самостоятельная мелодическая и ритмическая линия,AI
10224,собор,церковный собор католической церкви,AI
10225,договор о сотрудничестве,договор о совместной работе,AI
10226,рост затрат,увеличение расходов,AI
10227,структура затрат,структура расходов,AI
10228,проба,небольшое количество для дегустации,AI
10229,существо,живое создание,AI
10230,кредитор,"человек или учреждение, выдающее кредиты",AI
10231,мел,мягкий белый известняк,AI
10232,председатель округа,председатель округа,AI
10233,районный совет,правление округа,AI
10234,крематорий,учреждение для кремации,AI
10235,перекрестный огонь,обстрел с нескольких сторон,AI
10236,военная служба,выполнение задач в военных действиях,AI
10237,плен,пребывание солдат в качестве военнопленных,AI
10238,противник на войне,противник в войне,AI
10239,состояние войны,"ситуация, когда стороны находятся в войне",AI
10240,главный свидетель,"свидетель, дающий показания в обмен на смягчение наказания",AI
10241,кукушка,"птица, подкладывающая яйца в чужие гнезда",AI
10242,референт по культуре,руководитель по культурным вопросам,AI
10243,конференция министров образования,встреча министров образования земель Германии,AI
10244,академия искусств,"академия, посвященная искусствам",AI
10245,арт-ярмарка,ярмарка искусства,AI
10246,муфта,"элемент, соединяющий вращающиеся части",AI
10247,руководитель курса,"человек, ведущий курс",AI
10248,уровень курса,уровень курса,AI
10249,участник курса,"человек, посещающий курс",AI
10250,падение курса,снижение курса,AI
10251,складское помещение,часть здания для хранения,AI
10252,волнение перед сценой,напряжение артиста перед выступлением,AI
10253,ландо,четырехместная карета с открывающейся крышей,AI
10254,земельная библиотека,библиотека земли,AI
10255,земельный политик,"политик, работающий на уровне земли",AI
10256,государственный язык,"язык, преимущественно используемый в стране",AI
10257,пейзаж,изображение ландшафта,AI
10258,лыжные гонки,лыжный спорт на местности,AI
10259,медлительность,состояние медленного действия,AI
10260,сход лавины,сход лавины,AI
10261,лавинная опасность,опасность схода лавин,AI
10262,образ жизни,способ вести и организовывать свою жизнь,AI
10263,жажда жизни,большая радость от жизни,AI
10264,вакансия,незанятая должность,AI
10265,учебник,книга для изучения предмета,AI
10266,легкомыслие,недостаток осторожности,AI
10267,пострадавшая,"женщина, вынужденная переносить последствия",AI
10268,Ленинград,бывшее название Санкт-Петербурга,AI
10269,письмо в редакцию,письменное мнение о теме,AI
10270,либеро,защитная позиция в футболе и волейболе,AI
10271,фотография,фото для идентификации на документах,AI
10272,источник света,"объект, излучающий свет",AI
10273,литовец,гражданин Литвы,AI
10274,лоббист,"человек, продвигающий интересы группы",AI
10275,лофт,квартира в одном большом помещении,AI
10276,налог на зарплату,"подоходный налог, удерживаемый с зарплаты",AI
10277,местная газета,"газета, ограниченная местной тематикой",AI
10278,воздушная война,боевые действия с применением авиации,AI
10279,лирик,"человек, пишущий лирические тексты",AI
10280,анорексия,психическое расстройство питания,AI
10281,магнум,патрон с повышенной баллистической мощностью,AI
10282,прием пищи,процесс приема еды,AI
10283,ночной дух,"ночное привидение, давящее спящего",AI
10284,маленький мужичок,"маленький, хилый мужчина",AI
10285,командный результат,результат команды,AI
10286,маркетолог,исследователь рынка,AI
10287,институт маркетинговых исследований,"организация, изучающая рынок",AI
10288,направление марша,направление движения,AI
10289,пулемет,скорострельное оружие на станке,AI
10290,братская могила,"могила, в которой захоронено множество тел",AI
10291,массовое убийство,убийство большого числа людей,AI
10292,крот,"млекопитающее, роющее землю",AI
10293,плата за проезд,дорожная пошлина,AI
10294,Мекленбург,регион в Северной Германии,AI
10295,медиация,процедура урегулирования конфликтов,AI
10296,медиаполитика,политика регулирования медиа,AI
10297,морское дно,"дно, покрытое морской водой",AI
10298,контрольный пакет,"доля, обеспечивающая большинство",AI
10299,обмен мнениями,взаимное высказывание мнений,AI
10300,дыня,тропическое растение и его сладкий плод,AI
