id,translate,translate_description,source
8901,монумент,крупный памятник,AI
8902,покушение на убийство,попытка совершить убийство,AI
8903,лоток,продолговатая емкость с углублением,AI
8904,муза,древнегреческая богиня искусств,AI
8905,музыкальный праздник,праздник музыки,AI
8906,музыкальная индустрия,"отрасль, производящая и продающая музыку",AI
8907,мышца,"орган, обеспечивающий движение",AI
8908,мутация,изменение генетического материала,AI
8909,соседняя община,община по соседству,AI
8910,потомки,грядущие поколения,AI
8911,национальная библиотека,"центральное научное собрание книг страны, собирающее и архивирующее всю литературу",AI
8912,национальная галерея,музей национального искусства,AI
8913,депутаты Национального совета,депутаты Национального совета,AI
8914,национальный театр,государственный театр,AI
8915,характер,"своеобразный склад характера, натура",AI
8916,неандерталец,вымерший родственник современного человека рода Homo,AI
8917,восстановление,строительство заново,AI
8918,новичок,"человек, который начинает что-то новое или новую работу",AI
8919,новая редакция,новая версия или редакция,AI
8920,Никосия,столица Кипра,AI
8921,монахиня,член женского ордена,AI
8922,аварийный выход,"выход из здания, предназначенный для использования в экстренной ситуации",AI
8923,ореховое дерево,лиственное дерево из семейства ореховых,AI
8924,старший врач,врач на руководящей должности,AI
8925,клуб высшей лиги,"спортивный клуб, выступающий в высшей лиге",AI
8926,Верхний Рейн,регион на верхнем Рейне,AI
8927,власти,ответственные носители государственной или церковной власти,AI
8928,обсерватория,место для наблюдений космоса с научными приборами,AI
8929,одержимость,"сильное эмоциональное увлечение темой, хобби, работой или действием",AI
8930,ода,лирическое произведение в сопровождении музыки,AI
8931,присяга должника,"клятва, при которой должник заявляет о своем имуществе и неплатежеспособности",AI
8932,омнибус,общественный транспорт для перевозки пассажиров,AI
8933,органист,"человек, играющий на органе",AI
8934,Восток,"регион, охватывающий Ближний, Средний, Дальний Восток, Северную Африку и Россию",AI
8935,ориентир,"то, что помогает ориентироваться",AI
8936,облик населенного пункта,"вид, который представляет поселение",AI
8937,спаривание,составление пары,AI
8938,аренда,передача вещи в пользование за плату по договору,AI
8939,нагнетание паники,попытка искусственно вызвать панику,AI
8940,Парма,город в Италии,AI
8941,партийная база,"основная масса членов партии, обычно без должностей",AI
8942,участок,измеренный участок земли с установленными правами собственности,AI
8943,патриарх,титул высшего духовного лица,AI
8944,патрон,металлическая гильза с зарядом и пулей для огнестрельного оружия,AI
8945,пацифизм,"идеология, выступающая за мир и против войны",AI
8946,Пегас,крылатый конь из греческой мифологии,AI
8947,кнут,гибкий бич для понукания или наказания,AI
8948,мех,шерстяной покров животного,AI
8949,персональная уния,объединение должностей в одном лице,AI
8950,пти,"маленький, изящный (фр.)",AI
8951,приходская община,"община верующих, возглавляемая пастором",AI
8952,пфенниг,"историческая немецкая монета, дробная единица",AI
8953,флора,растения определенного региона или эпохи,AI
8954,медработник по уходу,"работник ухода в доме престарелых, больнице или похожем учреждении, который заботится о нуждающихся",AI
8955,ворота,"небольшая дверь, входные ворота",AI
8956,пьяница,"человек, регулярно употребляющий много алкоголя",AI
8957,пионерская работа,"деятельность, существенно продвигающая что-либо",AI
8958,процедура планового утверждения,процедура планового утверждения,AI
8959,плато,ровная поверхность на возвышенности,AI
8960,звукозаписывающая компания,"предприятие, выпускающее пластинки и другие носители",AI
8961,наличие места,имеющееся место,AI
8962,болтовня,неформальная беседа,AI
8963,полемика,публичный острый спор,AI
8964,портрет,"изображение человека, обычно в виде живописи",AI
8965,почтовое отделение,отдельный офис или отдел почты,AI
8966,ценовая политика,политика формирования цен,AI
8967,частная клиника,клиника в частной собственности,AI
8968,частная школа,школа в частной собственности,AI
8969,тест-драйв,поездка для проверки автомобиля,AI
8970,производственная площадка,место производства,AI
8971,профессиональная лига,профессиональная спортивная лига,AI
8972,пролог,вступление к драме или представлению,AI
8973,пророк,"человек, призванный Богом передавать послания",AI
8974,пророчество,процесс предсказания или его содержание,AI
8975,магнит для публики,"то, что привлекает много посетителей",AI
8976,пудель,средняя порода собак с кудрявой шерстью,AI
8977,пазл,игра по составлению изображения из частей,AI
8978,пирамида,геометрическое тело с вершиной и основанием-многоугольником,AI
8979,питон,змея семейства питонов,AI
8980,квантовый скачок,в физике внезапный переход между квантовыми состояниями,AI
8981,квинтет,группа из пяти музыкантов,AI
8982,межа,полоса земли без посевов на границе полей,AI
8983,ранчо,крупное хозяйство по разведению скота,AI
8984,совет,рекомендация для решения проблемы,AI
8985,крыса,"грызун, похожий на мышь",AI
8986,территориальное планирование,планирование использования территории,AI
8987,сорт винограда,разновидность виноградной лозы,AI
8988,окончательный расчет,итоговая отчетность,AI
8989,правый экстремист,человек крайнего правого спектра,AI
8990,реформатор,"человек, стремящийся к улучшениям",AI
8991,реформенный процесс,процесс реформ,AI
8992,сезон дождей,период сильных дождей,AI
8993,регги,музыкальный стиль с Ямайки,AI
8994,трение,"сила, противодействующая движению",AI
8995,таунхаус,"дом, встроенный в ряд других домов",AI
8996,манеж,крытая площадка для верховой езды,AI
8997,рельеф,формы поверхности Земли,AI
8998,урок религии,предмет религия в школе,AI
8999,свидание,встреча с романтическими намерениями,AI
9000,гонки,виды спорта на скорость,AI
