id,translate,translate_description,source
4701,полицейский,сотрудник полиции,AI
4702,полицейское задержание,кратковременное удержание в полиции для предотвращения опасности,AI
4703,полицейская проверка,проверка лиц или обстоятельств полицией,AI
4704,пыльца,цветочная пыльца,AI
4705,подушка,подушка в кровати,AI
4706,поп-культура,массовая популярная культура,AI
4707,португалец,гражданин Португалии,AI
4708,игра в большинстве,"ситуация, когда у команды меньше игроков, чем у соперника",AI
4709,стажировка,деятельность стажеров для знакомства с профессией,AI
4710,динамика цен,изменение цены товара или услуги,AI
4711,ценовая категория,категория по цене,AI
4712,прибыль,финансовый выигрыш,AI
4713,протагонистка,ведущая фигура или сторонница идеи,AI
4714,протестная акция,организованное публичное действие протеста,AI
4715,процедура,способ выполнения задачи,AI
4716,процессор,центральный вычислительный узел компьютера,AI
4717,психиатр,врач по психическим заболеваниям,AI
4718,публикация,опубликование чего-либо,AI
4719,любимец публики,"человек, очень любимый публикой",AI
4720,выигрыш очков,получение очков,AI
4721,кукла,уменьшенная фигура человека или ребенка,AI
4722,переквалификант,"человек, перешедший из одной профессии в другую",AI
4723,радиостанция,"организация, вещающая радио",AI
4724,нефтеперерабатывающий завод,промышленное предприятие по переработке сырья,AI
4725,Рамадан,девятый месяц исламского календаря и месяц поста,AI
4726,рампа,наклонный въезд,AI
4727,дебошир,"человек, устраивающий беспорядки",AI
4728,привал,остановка в пути для отдыха,AI
4729,отравление дымом,отравление дымовыми газами,AI
4730,космический корабль,аппарат для перевозки людей и грузов в космосе,AI
4731,орбитальная станция,пилотируемый аппарат на орбите,AI
4732,реализм,"трезвая, адекватная оценка действительности",AI
4733,средство правовой защиты,возможность обжаловать решение суда,AI
4734,судебная практика,совокупность судебных решений,AI
4735,правовая определенность,гарантированная нормами безопасность,AI
4736,редактор,"человек, редактирующий материалы СМИ",AI
4737,судоходная компания,"компания, перевозящая людей и грузы на своих судах",AI
4738,полкам,вариант дательного падежа единственного числа существительного Regal,AI
4739,свод правил,сборник правил,AI
4740,ливень,кратковременный сильный дождь,AI
4741,зонт,складной зонт от дождя,AI
4742,региональные перевозки,перевозки на средние расстояния,AI
4743,реестр,"алфавитный список, например указатель",AI
4744,зрелость,завершение роста или развития,AI
4745,директор,руководитель школы,AI
4746,Ренессанс,культурное движение между Средневековьем и Новым временем,AI
4747,конюшня,команда владельцев и лошадей для гонок,AI
4748,репортер,женщина-журналист на месте событий,AI
4749,репрессии,подавление,AI
4750,ресурс,природные запасы сырья,AI
4751,спасательная операция,операция по спасению,AI
4752,ревю,сценическое представление с танцевальными и артистическими номерами,AI
4753,Рик,фамилия или имя,AI
4754,засов,"продолговатый металлический стержень, часть замка",AI
4755,говядина,мясо крупного рогатого скота,AI
4756,рок-звезда,известный исполнитель рок-музыки,AI
4757,труба,цилиндрический полый предмет для проводки,AI
4758,сырье,исходный материал для переработки,AI
4759,красное вино,вино из красного или синего винограда,AI
4760,рубрика,раздел или категория,AI
4761,корпус,нижняя часть корабля или самолета,AI
4762,набег,массовый наплыв людей к цели,AI
4763,тупик,улица без проезда,AI
4764,сейф,защищенный огнестойкий шкаф для ценностей,AI
4765,сок,жидкость в растениях,AI
4766,сатира,юмористически-критический жанр,AI
4767,седло,мягкое сиденье на спине верхового животного,AI
4768,шахматы,стратегическая настольная игра,AI
4769,шиллинг,историческая денежная единица,AI
4770,санки,низкий сидячий транспорт для снега,AI
4771,подчерк,линия в конце текста,AI
4772,обезболивающее,средство от боли,AI
4773,грязь,"нечистота, пыль",AI
4774,клюв,рот птиц и некоторых животных,AI
4775,ящик,выдвижной ящик мебели,AI
4776,школьная повседневность,обычный ход школьного дня,AI
4777,директор школы,"женщина, руководящая школой",AI
4778,сплочение,единение людей с общими интересами,AI
4779,сарай,хозяйственная постройка,AI
4780,нелегальная работа,работа без соблюдения закона,AI
4781,швед,гражданин Швеции,AI
4782,Швиц,кантон в Швейцарии,AI
4783,канатная дорога,транспорт на тросе,AI
4784,сект,игристое вино высокого качества,AI
4785,секция,часть целого,AI
4786,самооборона,защита от нападения,AI
4787,сенатор,женщина-член сената,AI
4788,эфирное время,время трансляции,AI
4789,дом престарелых,учреждение для проживания пожилых,AI
4790,сенсор,технический чувствительный элемент,AI
4791,серб,житель Сербии,AI
4792,шопинг,поход по магазинам,AI
4793,служба безопасности,организация для обеспечения безопасности,AI
4794,совет безопасности,"орган, отвечающий за безопасность",AI
4795,риск безопасности,опасность для безопасности,AI
4796,изъятие,обеспечение или конфискация,AI
4797,серебряная медаль,приз за второе место,AI
4798,сэр,титул британского дворянства,AI
4799,зал заседаний,зал для проведения заседаний,AI
4800,Сицилия,остров Италии,AI
