id,translate,translate_description,source
12801,трудоустройство,установление контакта между работником и работодателем,AI
12802,архивариус,специально обученный сотрудник архива,AI
12803,лекарство,средство от физических или психических недугов,AI
12804,кандидат,"соискатель, претендент",AI
12805,приют для соискателей убежища,жилье для соискателей убежища,AI
12806,атеист,"человек, отрицающий существование Бога",AI
12807,атолл,кольцевая коралловая островная группа с лагуной,AI
12808,атомная промышленность,"совокупность компаний, производящих атомную энергию или связанные услуги",AI
12809,противник атомной энергетики,"человек, категорически отвергающий использование ядерной энергии",AI
12810,атомный реактор,"реактор, где ядра делятся в цепной реакции, часто для выработки энергии",AI
12811,аудит,независимая и тщательная проверка записей и деятельности для оценки соблюдения правил,AI
12812,работа по заказу,"работа, выполняемая по заказу",AI
12813,книга заказов,реестр заказов.,AI
12814,план расширения,план расширения или увеличения.,AI
12815,профессия с обучением,профессия с регламентированным обучением.,AI
12816,зарубежная миссия,служебное/рабочее пребывание за границей,AI
12817,переселенец,"человек, который переселился или переселяется",AI
12818,оформитель,"человек или фирма, которая снабжает или оформляет",AI
12819,автограф-сессия,"время, когда знаменитость подписывает фото, вещи и т. п.",AI
12820,автомобилист,"человек, который водит автомобиль",AI
12821,автомобильный концерн,концерн в автомобильной промышленности,AI
12822,центр агломерации,центральная или плотно заселенная часть агломерации,AI
12823,бинт,обмотка из мягких эластичных тканей для обертывания частей тела,AI
12824,банковская группа,объединение нескольких банков.,AI
12825,клиент банка,клиент банка,AI
12826,ограбление банка,преступление по похищению денег из банка,AI
12827,варвар,"в древней Греции — человек, плохо говорящий по-гречески",AI
12828,цирюльник,"устаревшая профессия, ухаживавший за волосами и иногда лечивший",AI
12829,баррикада,"защитное заграждение из предметов, обычно в уличных боях",AI
12830,базисный тоннель,тоннель у подножия гор.,AI
12831,бас,низкий мужской голос.,AI
12832,боль в животе,болевое ощущение в области живота,AI
12833,крестьянская партия,"партия, представляющая интересы фермеров",AI
12834,строительная комиссия,комиссия по строительным вопросам.,AI
12835,профсоюз чиновников,профсоюз чиновников.,AI
12836,битл,участник группы The Beatles,AI
12837,ягода,маленький плод со сладкой мякотью без косточки,AI
12838,движение освобождения,"движение, целью которого является освобождение",AI
12839,сопутствующее явление,"явление, возникающее дополнительно в ходе процесса",AI
12840,метод лечения,способ лечения,AI
12841,прозвище,добавление к основному имени,AI
12842,кандидат на вступление,кандидат на вступление.,AI
12843,бел,единица измерения громкости.,AI
12844,значение,важность,AI
12845,благотворительность,"благотворительность, мероприятие в пользу.",AI
12846,горный фермер,"фермер, хозяйство которого находится в высокогорье",AI
12847,горный регион,"область, сформированная горами",AI
12848,исправление,исправление или указание на ошибки,AI
12849,поток посетителей,поток посетителей.,AI
12850,уверение,настойчивое подтверждение,AI
12851,председатель совета работников,председатель совета работников.,AI
12852,последовательность движений,координированный ряд движений,AI
12853,руководитель района,руководитель района.,AI
12854,районный центр,столица одноименного округа в ГДР,AI
12855,библиотекарь,сотрудник библиотеки,AI
12856,Бидермейер,образ жизни и художественный стиль в немецкоязычном пространстве с 1815 по 1848 год,AI
12857,скульптура,"вид искусства, в котором создаются скульптуры и пластики",AI
12858,женщина-скульптор,"художница, создающая пластические фигуры из различных материалов",AI
12859,учебный отпуск,оплачиваемое работодателем освобождение от работы для проф. или политического повышения квалификации (в Германии обычно пять дней в год),AI
12860,внутренний спрос,спрос внутри страны,AI
12861,Бирма,прежнее название Мьянмы,AI
12862,бобо,обозначение bourgeois bohemian,AI
12863,толстая доска,"четырехгранная, очень толстая, широкая доска",AI
12864,теракт со взрывным устройством,акт насилия со взрывным устройством,AI
12865,бурый уголь,"уголь, образованный главным образом в третичном периоде и относительно рыхлый",AI
12866,Браззавиль,столица Республики Конго,AI
12867,гон,период спаривания у многих млекопитающих,AI
12868,валовая зарплата,"зарплата, включая все отчисления (налоги, соцвзносы)",AI
12869,мальчик,мальчик,AI
12870,федеральный театр,театр федерации,AI
12871,характерная черта,определенное свойство человека или объекта; отличительный признак,AI
12872,чилиец,"человек, живущий в Чили или происходящий оттуда",AI
12873,чип‑карта,"пластиковая карта с интегрированной схемой, используемая как средство платежа, удостоверение или носитель данных",AI
12874,кавер‑версия,"новая версия песни, ранее записанной другим исполнителем",AI
12875,Куба,государство в Карибском море,AI
12876,Дагестан,ковер из овечьей шерсти с геометрическими узорами,AI
12877,уполномоченный по защите данных,"лицо, ответственное за соблюдение требований защиты данных",AI
12878,руководитель делегации,"человек, возглавляющий делегацию",AI
12879,правонарушитель,"человек, совершивший правонарушение (преступление)",AI
12880,диалектика,метод вывода: тезис + антитезис → синтез,AI
12881,диа‑лекция,показ слайдов с пояснениями,AI
12882,дилетантство,занятие искусством или наукой без проф. подготовки,AI
12883,директива,"указание, приказ, обычно сверху",AI
12884,дискуссионное мероприятие,мероприятие для обсуждения,AI
12885,диссидент,"человек, публично выступающий против общепринятого мнения или авторитарной власти",AI
12886,диссонанс,"неблагозвучие; интервал или аккорд, требующий разрешения",AI
12887,чертополох,травянистое растение с колючками,AI
12888,допинговый случай,случай незаконного применения веществ для повышения результатов,AI
12889,биплан,самолет с двумя крыльями одно над другим,AI
12890,драматург,"художественный консультант в театре, на радио и телевидении",AI
12891,печатная машина,механическое устройство для автоматической печати,AI
12892,единая община,самостоятельная коммунальная структура низшего уровня,AI
12893,сотрудник службы,"член официальной организации (пожарные, полиция и т. п.), участвующий в операции",AI
12894,единоличный судья,"судья, принимающий решение один",AI
12895,железнодорожная линия,"транспортная линия, обслуживаемая железной дорогой",AI
12896,катание на льду,катание на льду,AI
12897,электрод,"элемент, где электрический ток переходит в другую среду",AI
12898,башня из слоновой кости,"место оторванности от мира; упрек академикам, потерявшим связь с практикой",AI
12899,эмитент,выпускающий ценные бумаги,AI
12900,финальная борьба,"последняя фаза борьбы, решающая исход",AI
