id,translate,translate_description,source
6801,духи,концентрированная смесь ароматических веществ,AI
6802,пассат,пассатный ветер; также модель автомобиля,AI
6803,патриотизм,любовь к родине и верность ей,AI
6804,пенальти,"штраф за нарушение, например в футболе",AI
6805,пенис,мужской половой орган,AI
6806,вред людям,событие с раненными или погибшими,AI
6807,петрушка,пряная трава из зонтичных,AI
6808,средство защиты растений,биологическое или химическое средство против вредителей и болезней,AI
6809,служба ухода,служба помощи и ухода,AI
6810,персонал по уходу,"обученные сотрудники, которые ухаживают за пациентами",AI
6811,сиделка,"женщина, которая ухаживает за кем-либо",AI
6812,ПИН,персональный идентификационный номер,AI
6813,плазма,"протоплазма, содержимое клеток живых организмов",AI
6814,пуанта,неожиданный кульминационный момент рассказа,AI
6815,политически значимое дело,событие или предмет политической значимости,AI
6816,полицейская машина,служебный автомобиль полиции,AI
6817,начальник полиции,руководитель полиции,AI
6818,полицейская охрана,"защита, обеспеченная полицией",AI
6819,поп-музыка,широко распространенная популярная музыка,AI
6820,почтовый банк,банк почты,AI
6821,открытка,карточка с изображением и местом для сообщения и адреса,AI
6822,почтовый пункт,помещение для почтовых операций,AI
6823,кружка,питьевой сосуд,AI
6824,ценовое давление,давление на уровень цен,AI
6825,уровень цен,уровень цен на товары и услуги,AI
6826,престиж,общественное уважение или влияние,AI
6827,частная собственность,имущество частного лица,AI
6828,частное лицо,независимый от властей человек,AI
6829,разработка продукта,разработка продукта,AI
6830,ассортимент,совокупность продуктов производителя,AI
6831,профессионал,"специалист, профи",AI
6832,профессионализация,превращение деятельности в признанную профессию,AI
6833,провайдер,поставщик услуг или ресурсов,AI
6834,временное решение,временно приведенное в порядок,AI
6835,буфер,"амортизатор, например на железной дороге",AI
6836,буферная зона,территория между конфликтующими сторонами,AI
6837,пюпитр,стол с наклонной поверхностью для письма или чтения,AI
6838,количество очков,число очков,AI
6839,профессиональный велосипедист,"человек, профессионально занимающийся велоспортом",AI
6840,велопоездка,поездка на велосипеде,AI
6841,рафинированность,утонченность,AI
6842,ракетная атака,атака с применением ракет,AI
6843,рапс,"растение семейства крестоцветных с ярко-желтыми цветами, важная культура",AI
6844,курильщик,"человек, регулярно курящий табак",AI
6845,запрет курения,распоряжение не курить,AI
6846,реактор,ограниченное пространство для физико-химических процессов,AI
6847,трибуна,пюпитр или стол для выступающего,AI
6848,канатная дорога,место изготовления корабельных канатов,AI
6849,доклад,сообщение ранее собранной информации,AI
6850,припев,повторяющаяся часть песни,AI
6851,обычный случай,обычная ситуация,AI
6852,правительственный кризис,ситуация нестабильности правительства,AI
6853,период правления,временной срок пребывания у власти,AI
6854,косули,именительный падеж множественного числа существительного Reh,AI
6855,туристический автобус,автобус для поездок,AI
6856,время в пути,длительность поездки,AI
6857,рекордсмен,"человек, владеющий рекордом",AI
6858,рекордный год,год с рекордным показателем,AI
6859,директор,женщина-руководитель школы,AI
6860,реквием,заупокойная месса,AI
6861,берег Рейна,берег реки Рейн,AI
6862,праздник крыши,праздник по случаю завершения стропил,AI
6863,готовность к риску,готовность идти на риск,AI
6864,езда верхом,передвижение на лошади,AI
6865,эскалатор,лестница с движущимися ступенями,AI
6866,красный свет,красный свет с терапевтическим теплом,AI
6867,выходной,нерабочий день,AI
6868,обзорная поездка,поездка с осмотром объектов,AI
6869,удар по всем,вербальная атака во все стороны,AI
6870,посев,высев семян,AI
6871,Сахара,пустыня в Северной Африке,AI
6872,коллективный иск,"иск, поданный группой лиц",AI
6873,план санации,план работ по санации,AI
6874,Сараево,столица Боснии и Герцеговины,AI
6875,сатирик,автор сатир,AI
6876,саудовец,житель Саудовской Аравии,AI
6877,сумма ущерба,общая сумма вреда,AI
6878,овца,"парнокопытное, дающее шерсть и молоко",AI
6879,казначей,ответственный за финансы организации,AI
6880,лопата,инструмент для набора земли,AI
6881,прожектор,лампа с интенсивным светом,AI
6882,дарение,передача имущества без оплаты,AI
6883,сарай,хозяйственное здание для хранения,AI
6884,удар судьбы,"тяжелое событие, меняющее жизнь",AI
6885,патрон,официальный покровитель мероприятия,AI
6886,патронат,символическая поддержка мероприятия,AI
6887,сила удара,мощность удара,AI
6888,лозунг,краткая запоминающаяся формулировка идеи,AI
6889,заголовок,"крупный, броский заголовок",AI
6890,шлюз,ворота для регулирования уровня воды,AI
6891,финишный рывок,последнее ускорение,AI
6892,лакомство,деликатес,AI
6893,болевой порог,"минимальная сила раздражителя, вызывающая боль",AI
6894,бабочка,насекомое с чешуйчатыми крыльями,AI
6895,контрабанда,нелегальный перевоз товаров,AI
6896,снимок,спонтанная фотография,AI
6897,шнапс,крепкий алкоголь; также глоток,AI
6898,снежный покров,слой снега на земле,AI
6899,бутерброд,ломтик хлеба с начинкой,AI
6900,крик,громкий крик,AI
