id,translate,translate_description,source
1801,утро среды,утро в среду,AI
1802,день среды,послеполуденное время среды,AI
1803,модернизация,обновление,AI
1804,день понедельника,день понедельника,AI
1805,боеприпасы,"заряды, используемые в оружии",AI
1806,мюзикл,театральное представление с песнями и танцами,AI
1807,соседняя страна,государство с общей границей,AI
1808,район,окружающая жилую зону территория и жители,AI
1809,недостаток,негативный эффект,AI
1810,пища,"съедобные и питьевые вещества, которые принимают для поддержания организма",AI
1811,местное сообщение,перевозка людей и грузов на короткие расстояния наземным или рельсовым транспортом либо внутренними судами,AI
1812,нация,"сообщество людей, объединенных языком, культурой или территорией",AI
1813,национальная гвардия,"французская гражданская гвардия, основанная в 1789 году и распущенная после войны 1870/71",AI
1814,национальный совет,"парламент в Намибии, Австрии и Швейцарии",AI
1815,охрана природы,"меры по сохранению природы, защита растений и животных",AI
1816,новая часть города,позднее добавленная часть города,AI
1817,перезапуск,повторный старт,AI
1818,Северная Америка,континент Северная Америка,AI
1819,Северная Корея,государство в Восточной Азии,AI
1820,северо-восток,"промежуточное направление между севером и востоком, противоположное юго-западу",AI
1821,Северное море,море в Северо-Западной Европе,AI
1822,северо-запад,"промежуточное направление между севером и западом, противоположное юго-востоку",AI
1823,врач скорой помощи,"врач, специализирующийся на лечении неотложных случаев",AI
1824,нота,"символ записи тона: положение в нотном стане задает высоту, форма - длительность; состоит из головки и штиля",AI
1825,чрезвычайная ситуация,внезапная опасная ситуация,AI
1826,верхний этаж,этаж между мансардой и первым этажом,AI
1827,объект,"предмет, на который направлено мышление или действие",AI
1828,председатель,"человек, возглавляющий объединение, партию или организацию",AI
1829,фрукты,сырые съедобные сочные плоды с преимущественно сладким или кисло-сладким вкусом,AI
1830,открытость,свойство быть искренним и готовым к общению,AI
1831,ухо,орган слуха,AI
1832,Октоберфест,народный праздник в сентябре или октябре,AI
1833,Ольденбург,город в Нижней Саксонии,AI
1834,бабушка,мать отца или матери,AI
1835,опера,"жанр драматического театра, где действие выражается пением и музыкой",AI
1836,оптимизм,вера в лучшее в возможных мирах,AI
1837,оркестр,крупный ансамбль инструменталистов под руководством дирижера,AI
1838,оригинал,"первая версия текста, изображения и т.п.",AI
1839,Пасха,праздник воскресения Иисуса Христа,AI
1840,паника,"внезапный сильный страх, трудно контролируемое состояние",AI
1841,панцирь,твердая защитная оболочка или броня,AI
1842,глава партии,председатель или президент партии,AI
1843,партийный съезд,уставная встреча членов и функционеров партии,AI
1844,пациент,"больной, получающий медицинское лечение",AI
1845,комьютер,"человек, регулярно ездящий между местом жительства и работы",AI
1846,пансион,небольшой отель с домашней атмосферой,AI
1847,петиция,письменная просьба или жалоба властям,AI
1848,лошадь,"домашнее животное, используемое как рабочее и верховое",AI
1849,стойка,вертикальный конструктивный элемент,AI
1850,фунт,единица массы около или ровно 500 граммов,AI
1851,философия,"учение о бытии, происхождении и сущности вещей, познании и истине",AI
1852,пиксель,наименьший элемент цифрового изображения,AI
1853,пицца,блюдо из лепешки с томатным соусом и начинкой,AI
1854,банкротство,неспособность выполнять финансовые обязательства,AI
1855,подиум,платформа для выступающих или награждаемых,AI
1856,кубок,пышный сосуд или призовой кубок,AI
1857,полицейский выезд,выезд полиции при тревоге,AI
1858,полицейский участок,полицейское отделение,AI
1859,поп,"поп-музыка, современная развлекательная музыка",AI
1860,портфель,совокупность ценных бумаг в депо,AI
1861,личная жизнь,часть жизни вне работы и публичности,AI
1862,приз,цена (фр.),AI
1863,репетиция,репетиция в исполнительских искусствах,AI
1864,профиль,вид сбоку фигуры,AI
1865,пропаганда,распространение политических или мировоззренческих идей,AI
1866,исток,источник реки,AI
1867,квота,доля от целого,AI
1868,скидка,процентное уменьшение цены,AI
1869,велодорожка,выделенный путь для велосипедистов,AI
1870,ракета,летательный аппарат с реактивным двигателем,AI
1871,рампа,световой прибор на краю сцены,AI
1872,ранжирование,составление рейтингов,AI
1873,рэпер,"музыкант, исполняющий рэп",AI
1874,расизм,"учение, оправдывающее дискриминацию по внешним признакам",AI
1875,дымообразование,образование дыма,AI
1876,поиск информации,сбор и исследование информации,AI
1877,Регенсбург,город в Баварии,AI
1878,режиссура,художественное руководство постановкой,AI
1879,регулирование,контроль и управление процессом,AI
1880,империя,земля или земли под властью монарха,AI
1881,очистка,удаление загрязнений,AI
1882,религия,культовая и вероисповедная практика,AI
1883,ничья,ничейный результат,AI
1884,доходность,общий доход от инвестиций,AI
1885,отчет,подробное описание события,AI
1886,резерв,запас на случай нужды,AI
1887,результат,"то, что получилось в итоге",AI
1888,революция,"быстрое коренное изменение в науке, искусстве или обществе",AI
1889,ритм,регулярное чередование длительностей,AI
1890,рыцарь,"дворянин, служивший в коннице",AI
1891,рюкзак,сумка для ношения на спине,AI
1892,номер,номер телефона,AI
1893,Рур,промышленный район в Северном Рейне-Вестфалии,AI
1894,радиовещание,передача информации по радио,AI
1895,конец сезона,завершение сезона,AI
1896,соль,"хлорид натрия, поваренная соль",AI
1897,утро субботы,утро субботы,AI
1898,субботний день,дневное время субботы,AI
1899,ущерб,вред,AI
1900,создание,создание чего-либо,AI
