id,translate,translate_description,source
301,защита климата,меры против устойчивого изменения климата,AI
302,клиника,больница со стационарным лечением,AI
303,клуб,закрытое общество,AI
304,коалиция,"союз нескольких организаций, государств или партий",AI
305,комиссия,группа специалистов для решения задачи,AI
306,коммуникация,взаимодействие между людьми и организациями,AI
307,конфликт,противоречие мнений или интересов,AI
308,конкуренция,ситуация соперничества,AI
309,контакт,соприкосновение или связь,AI
310,контроль,"проверка, чтобы убедиться, что все в порядке",AI
311,концепция,оформленная мыслительная схема для реализации чего-либо,AI
312,концерн,объединение компаний под единой экономической властью,AI
313,концерт,"мероприятие, на котором исполняются музыкальные произведения",AI
314,сотрудничество,совместные действия нескольких лиц или систем,AI
315,голова,верхняя или передняя часть тела,AI
316,больница,медицинское учреждение для лечения и ухода,AI
317,окружность,геометрическое множество точек на одинаковом расстоянии от центра,AI
318,война,вооруженный конфликт между сторонами,AI
319,кризис,нестабильное состояние,AI
320,критика,профессиональная оценка продукта или произведения,AI
321,культура,все созданное человеком,AI
322,искусство,совокупность эстетических произведений,AI
323,курс,направление движения или обучения,AI
324,магазин,помещение для продажи товаров или услуг,AI
325,положение,"место, где что-то находится",AI
326,суша,"часть земной поверхности, не покрытая морем",AI
327,район,административный округ в Германии,AI
328,звук,шум,AI
329,жизнь,"все органическое, основанное на обмене веществ и росте",AI
330,продукты питания,товары для еды и питья,AI
331,лихтер,открытое судно без собственного двигателя,AI
332,страсть,сильная эмоциональная увлеченность,AI
333,Лейпциг,город в Саксонии,AI
334,колодка,формообразующая деталь для изготовления обуви,AI
335,результат,"действие, приводящее к определенному результату",AI
336,руководство,"управление, надзор",AI
337,свет,видимая часть электромагнитного спектра,AI
338,любовь,сильное чувство привязанности,AI
339,лига,"союз, объединение или спортивный дивизион",AI
340,линия,прямая или кривая между точками,AI
341,список,письменный перечень пунктов,AI
342,лив,народ ливов (финно-угорский),AI
343,Лондон,столица Великобритании,AI
344,судьба,неподвластная влиянию участь,AI
345,воздух,"газовая смесь, необходимая для дыхания",AI
346,показуха,"преувеличенная, неискренняя демонстрация",AI
347,власть,способность влиять на других,AI
348,май,пятый месяц года,AI
349,признак,"знак, характеристика",AI
350,экипаж,команда судна,AI
351,марка,постоянное обозначение или бренд,AI
352,рынок,место торговли товарами и услугами,AI
353,массив,"компактная горная группа, образующая единое целое",AI
354,море,большой соленый водоем,AI
355,излишек,большее количество или сумма,AI
356,большинство,большая часть целого,AI
357,мнение,лично сформированная точка зрения,AI
358,мастер,специалист высшего разряда,AI
359,количество,определенное число единиц,AI
360,метр,базовая единица длины СИ,AI
361,миграция,перемещение людей или групп,AI
362,миллион,1 000 000,AI
363,министр,глава министерства,AI
364,минута,60-я часть часа,AI
365,сотрудник,"человек, работающий в организации",AI
366,член,"лицо или организация, входящие в группу",AI
367,центр,середина,AI
368,сообщение,передача информации,AI
369,центр,"точка, равноудаленная от границы",AI
370,среда,средний день недели,AI
371,вечер среды,вечер в среду,AI
372,модель,упрощенное представление объекта,AI
373,модерн,"современная эпоха, противопоставленная традиции",AI
374,месяц,двенадцатая часть года,AI
375,понедельник,первый день недели по ISO 8601,AI
376,Москва,столица России,AI
377,девиз,краткое программное высказывание,AI
378,музей,учреждение для исследования и экспонирования объектов,AI
379,музыка,искусство звука,AI
380,музыкант,"человек, профессионально играющий музыку",AI
381,мужество,готовность действовать в опасной ситуации,AI
382,преемник,"человек, занимающий должность после другого",AI
383,спрос,готовность покупать,AI
384,день,время от полудня до вечера,AI
385,новость,сообщение о важном событии,AI
386,информационное агентство,"организация, собирающая новости",AI
387,ночь,время темноты,AI
388,природа,мир природы в противопоставление культуре,AI
389,нет,"отрицательный ответ, окончательный отказ",AI
390,сеть,плетеное сетчатое изделие с узлами,AI
391,новостройка,недавно завершенное здание,AI
392,девять,натуральное число между восьмью и десятью,AI
393,ничто,"место, где ничего не существует, пустое пространство",AI
394,поражение,"поражение, проигрыш в противостоянии (военном, личном или спортивном)",AI
395,нижнесаксонца,родительный падеж единственного числа существительного Niedersachse,AI
396,уровень,горизонтальная плоскость на определенной высоте,AI
397,север,"направление к Северному полюсу; основная сторона света, противоположная югу и между западом и востоком",AI
398,ноябрь,одиннадцатый месяц календарного года,AI
399,номер,"число, назначенное предмету или человеку и выражающее позицию в порядке",AI
400,польза,"преимущество, получаемое от использования вещи",AI
