id,translate,translate_description,source
13401,конституционалист,юрист‑специалист по конституционному праву,AI
13402,отчуждение,сделать менее знакомым,AI
13403,руководитель продаж,глава отдела продаж,AI
13404,место продажи,"место, где предлагают товар",AI
13405,помеха движению,ограничение в транспортном движении,AI
13406,транспортная проблема,"сложность, связанная с движением",AI
13407,сенатор по транспорту,"сенатор, отвечающий за инфраструктуру",AI
13408,транспортная техника,техника управления и безопасности транспорта,AI
13409,транспортное сообщение,маршрут или средство для перемещения,AI
13410,транспортная система,совокупность учреждений и принципов транспорта,AI
13411,издательская группа,группа издательств,AI
13412,зона убытков,зона с потерями,AI
13413,маркетолог,"человек или фирма, занимающиеся маркетингом",AI
13414,уменьшение,снижение количества или качества,AI
13415,различие,различность,AI
13416,заражение,контаминация,AI
13417,страховая группа,группа страховых компаний,AI
13418,страховая сумма,сумма покрытия при страховом случае,AI
13419,директор администрации,директор управления,AI
13420,отказник,"человек, категорически отказывающийся",AI
13421,обманный маневр,намеренное запутывание,AI
13422,четырехборье,спорт из четырех дисциплин,AI
13423,четырехцилиндровый двигатель,двигатель с четырьмя цилиндрами,AI
13424,скрипичный концерт,концерт для скрипки с оркестром,AI
13425,виолончель,крупный смычковый инструмент,AI
13426,гласный,"звук, при котором воздух проходит свободно",AI
13427,народный фронт,политическая народная фронта,AI
13428,Народная палата,"парламент, например в ГДР",AI
13429,народное представительство,"орган, представляющий волю населения",AI
13430,вуду,"синкретический культ, распространенный на Гаити",AI
13431,прогноз,высказывание о будущем,AI
13432,предок,предшествующее поколение,AI
13433,первая рука,"игрок, который ходит первым",AI
13434,привилегия,"право, которого у других нет",AI
13435,досрочная пенсия,период до официального пенсионного возраста,AI
13436,аванс,"денежная сумма, выданная заранее",AI
13437,предварительное обследование,первичное обследование,AI
13438,касса предпродажи,место предварительной продажи,AI
13439,приемная,первое помещение для посетителей,AI
13440,караульная служба,служба охраны объектов,AI
13441,охранник,"человек, охраняющий объект",AI
13442,наблюдатель на выборах,независимый наблюдатель,AI
13443,сирота,"ребенок, потерявший одного или обоих родителей",AI
13444,сирота,"ребенок, лишившийся родителей",AI
13445,плеер Walkman,небольшое переносное устройство для кассет с наушниками,AI
13446,настенная живопись,живопись на стене,AI
13447,Ванк,гора в Баварии; также фамилия,AI
13448,клоп,отряд насекомых из полужесткокрылых,AI
13449,противоугонный блокиратор,защита от угона,AI
13450,дегустация вина,возможность оценить качество вина,AI
13451,рекламный ролик,короткий фильм для рекламы,AI
13452,рекламный плакат,плакат для продвижения,AI
13453,рекламный слоган,часто повторяемая рекламная формула,AI
13454,корректировка стоимости,исправление стоимости,AI
13455,лягушка‑прогнозист,"лягушка, предсказывающая погоду",AI
13456,гонка парусников,соревнование парусных лодок,AI
13457,браконьер,"человек, незаконно добывающий дичь",AI
13458,зимний курорт,место для зимнего спорта,AI
13459,институт экономических исследований,организация для исследования экономики,AI
13460,экономическая жизнь,процессы и события в экономике,AI
13461,экономический план,план по экономике и финансам,AI
13462,дворник,стеклоочиститель на автомобиле,AI
13463,вал,большая сильная волна,AI
13464,социальное государство,государство с развитой соцзащитой,AI
13465,чудесное творение,восхитительное произведение,AI
13466,Цапф,фамилия; также форма шишки,AI
13467,ученик чародея,персонаж баллады Гёте,AI
13468,мультфильм,анимация из рисунков,AI
13469,таймлапс,ускоренная съемка,AI
13470,газетное интервью,интервью для публикации в газете,AI
13471,ядро клетки,"органелла, содержащая ДНК",AI
13472,совет центробанка,совет центрального банка,AI
13473,центральный институт,главный институт,AI
13474,центральный замок,устройство для одновременного запирания дверей,AI
13475,цыган,внешнее название для рома и ениш,AI
13476,процентный доход,доход от процентов,AI
13477,таможня,таможенное ведомство,AI
13478,зоолог,"ученый, изучающий животных",AI
13479,добавка,"вещество, которое добавляют",AI
13480,промежуток,свободное пространство между как минимум двумя вещами или людьми,AI
13481,реплика с места,крик во время речи или выступления другого,AI
13482,вечерняя академия,"академия, учреждение, проводящее занятия вечером",Ilia
13483,вечерний час,"час, время вечером (между 18 и 24 часами), вечером, к вечеру",Ilia
13484,абитуриент,"ученик, который сдает или уже сдал Abitur",Ilia
13485,измерение,"определение физической величины, измерение, снятие размеров",Ilia
13486,аннотация,"краткое, объективное, резюмирующее содержание более длинного (обычно научного) текста",AI
13487,объединение по водоотведению,объединение для утилизации сточных вод.,AI
13488,подмышка,место соединения плеча с туловищем,AI
13489,шестидесятник,участник или идейный симпатизант движения 1968 года,AI
13490,комиссар по сельскому хозяйству,комиссар по вопросам сельского хозяйства.,AI
13491,сельскохозяйственный продукт,"продукт, произведенный сельскохозяйственным предприятием",AI
13492,аграрная реформа,"изменения (реформа), затрагивающие аграрный сектор",AI
13493,акционерный капитал,"уставный капитал акционерного общества, разделенный на акции",AI
13494,опцион на акции,условная сделка с акциями: право купить или продать акцию позже по согласованной цене,AI
13495,обмен акций,обмен акций.,AI
13496,актуарий,страховой математик.,AI
13497,сигнальный колокол,"колокол, который звонят при опасных событиях, чтобы привести людей в готовность",AI
13498,Алиталия,бывшая итальянская авиакомпания.,AI
13499,ровесник,человек одного возраста,AI
13500,служебный кабинет,кабинет чиновника,AI
