id,translate,translate_description,source
6701,уровень жизни,объем материальных потребностей и благ,AI
6702,страхование жизни,выплата по достижении возраста или смерти застрахованного,AI
6703,жизненный путь,совокупность важных событий жизни,AI
6704,жизненный мир,жизненная среда со всеми ее свойствами,AI
6705,легион,воинская часть Римской империи,AI
6706,курс,учебное мероприятие,AI
6707,преподаватель,"человек, ведущий занятия",AI
6708,ученик,"человек, проходящий ученичество",AI
6709,заемная вещь,"предмет, одолженный во временное пользование",AI
6710,лен,волокно из льна,AI
6711,повышение эффективности,увеличение производительности,AI
6712,лекс,закон (лат.),AI
6713,свету,дательный падеж единственного числа слова свет,AI
6714,любовные отношения,"отношения, основанные на привязанности и влечении",AI
6715,поставщик,"организация, поставляющая товар",AI
6716,облегчение,уменьшение неприятных ощущений,AI
6717,место в списке,позиция в избирательном списке,AI
6718,рысь,род кошек Lynx,AI
6719,прямая линия,кратчайшее расстояние между двумя точками,AI
6720,люксовый отель,отель с повышенным комфортом и сервисом,AI
6721,Маас,река в Западной Европе,AI
6722,смена власти,переход власти к другому,AI
6723,Мадагаскар,островное государство у берегов Африки,AI
6724,мадам,госпожа,AI
6725,мадисон,"танец в размере 4/4, популярный в 1960-х",AI
6726,магнит,"ферромагнитный предмет, притягивающий металл",AI
6727,художница,женщина-художник,AI
6728,мальтиец,гражданин Мальты,AI
6729,манеж,круглая арена в цирке,AI
6730,Манила,столица Филиппин,AI
6731,недостаток,"то, что воспринимается как минус",AI
6732,крытый рынок,большое здание с торговыми рядами,AI
6733,рыночная власть,позиция влияния на рынке,AI
6734,Мартини,день святого Мартина 11 ноября,AI
6735,машиностроитель,"человек или фирма, производящие машины",AI
6736,математика,разг. название школьного предмета,AI
6737,матрас,мягкое основание для сна,AI
6738,механика,раздел физики о движении тел и силах,AI
6739,механик,"специалист по сборке, обслуживанию и ремонту машин",AI
6740,медиаландшафт,совокупность медиа и их сотрудников,AI
6741,медиакомпания,предприятие в медиасфере,AI
6742,миля,"единица длины от 1 до 11 км, обычно 1,609 км",AI
6743,Метцлер,фамилия,AI
6744,минерал,природное кристаллическое вещество,AI
6745,минеральная вода,питьевая вода с минералами,AI
6746,неудача,не достижение цели,AI
6747,несчастный случай,неудачное событие,AI
6748,жестокое обращение,причинение физического или морального вреда,AI
6749,сотрудничество,совместная работа,AI
6750,соучастие,доля вины,AI
6751,обеденный стол,"стол, накрытый к обеду",AI
6752,центральная линия,линия середины поля,AI
6753,средний путь,средний из нескольких путей,AI
6754,оператор связи,"компания, предоставляющая услуги мобильной связи",AI
6755,модный дом,магазин модной одежды,AI
6756,обманчивая упаковка,"упаковка, вводящая в заблуждение о содержимом",AI
6757,монолог,длинное высказывание одного человека,AI
6758,монополия,рынок с единственным поставщиком,AI
6759,дело об убийстве,"случай убийства, расследуемый полицией",AI
6760,история музыки,историческое развитие музыки,AI
6761,музыкальная капелла,группа музыкантов,AI
6762,мускулатура,совокупность мышц,AI
6763,мифология,изучение мифов,AI
6764,воспроизведение,создание копии по образцу,AI
6765,работа с молодежью,работа с молодежью,AI
6766,грызун,млекопитающее отряда грызунов с длинными постоянно растущими резцами,AI
6767,национальный гимн,"официальный гимн нации, часто государственный гимн",AI
6768,нацист,"сторонник национал-социализма или Гитлера, либо член НСДАП",AI
6769,побочный эффект,дополнительный эффект,AI
6770,второстепенная роль,менее значимая роль или персонаж,AI
6771,второстепенное,что-то незначительное,AI
6772,острые ощущения,"сильное возбуждающее напряжение, связанное с повышенным выбросом гормонов",AI
6773,новое начало,повторное начало дела,AI
6774,Невшатель,город или кантон в Швейцарии,AI
6775,девятка,что-то с номером 9,AI
6776,Новое время,"историческая эпоха, начавшаяся в XVI веке и продолжающаяся",AI
6777,неправительственная организация,независимая от государства организация,AI
6778,почка,"парный бобовидный выделительный орган, выводящий токсины и продукты обмена (у человека примерно 4 x 7 x 11 см)",AI
6779,морось,"вид осадков из капель диаметром меньше 0,5 мм",AI
6780,нимб,свечение вокруг головы святого,AI
6781,Северная Италия,северная часть Италии,AI
6782,северная сторона,северная сторона,AI
6783,нотариус,"непредвзятый юрист, удостоверяющий сделки и подписи",AI
6784,дежурная служба,"служба, оказывающая помощь также вне часов приема и работы",AI
6785,заметка,короткая письменная запись,AI
6786,чрезвычайная ситуация,"трудное, угрожающее положение",AI
6787,главнокомандующий,верховный руководитель или командующий войсками,AI
6788,старшая школа,среднее или старшее учебное заведение,AI
6789,старшая ступень,совокупность старших классов школьной формы,AI
6790,Олимпийский парк,парк для Олимпийских игр,AI
6791,предзнаменование,"знак, предвестие, предчувствие в символическом смысле",AI
6792,оперный бал,танцевальное и праздничное мероприятие в здании оперы,AI
6793,опус,произведение художника или ученого,AI
6794,местный совет,совещательный орган населенного пункта,AI
6795,окраина,граница между поселением и окрестностями,AI
6796,Пасха,праздничное празднование Пасхи,AI
6797,Остфрисландия,регион в Нижней Саксонии,AI
6798,панда,"черно-белый медведь, живущий в Китае и питающийся бамбуком",AI
6799,парадокс,внутреннее противоречие; невозможная вещь,AI
6800,параллель,"линия, параллельная другой",AI
