id,translate,translate_description,source
5001,протяженность,"объем или область, которую занимает тело или объект",AI
5002,исходная позиция,"место/ситуация, откуда начинают",AI
5003,концовка,окончание музыкального произведения,AI
5004,распродажа,массовая продажа для очистки склада,AI
5005,замена,процесс замены (обычно игрока в командном спорте),AI
5006,последствие,"следствия, последствия действия или бездействия",AI
5007,автосалон,"компания, продающая автомобили",AI
5008,водитель,"человек, который управляет автомобилем",AI
5009,производитель автомобилей,производитель автомобилей.,AI
5010,Балканы,регион в Юго-Восточной Европе.,AI
5011,балка,"столб с четырьмя гранями, обычно несущая конструкция",AI
5012,Бангладеш,государство в Южной Азии.,AI
5013,барокко,стиль искусства 1600–1750 в Европе,AI
5014,барьер,"препятствие, разделяющее или ограничивающее пространства",AI
5015,строительная отрасль,сектор экономики строительства.,AI
5016,строительная фирма,"компания, выполняющая строительные работы",AI
5017,разрешение на строительство,разрешение компетентного органа на строительство,AI
5018,год постройки,год изготовления/строительства,AI
5019,строительный магазин,крупный магазин стройматериалов и инструмента,AI
5020,мастер-строитель,специалист по строительному ремеслу с квалификацией мастера,AI
5021,строительное право,"совокупность норм, регулирующих строительство",AI
5022,строительная структура,совокупность элементов зданий по их состоянию и ценности,AI
5023,строительство,"область, занимающаяся созданием сооружений",AI
5024,строительная экономика,"совокупность деятельности по планированию, строительству и обслуживанию инфраструктуры",AI
5025,красавица,красивая женщина; красивый экземпляр,AI
5026,влияние,создание эффекта,AI
5027,пассажирское сиденье,сиденье рядом с водителем,AI
5028,захоронение,погребение останков,AI
5029,поддержка,"деятельность, помогающая кому-то; содействие",AI
5030,час пик,интенсивный трафик из‑за поездок на работу,AI
5031,апелляционный суд,"суд, рассматривающий жалобы на решения нижестоящих судов",AI
5032,оккупант,"член оккупационной силы, обычно солдат",AI
5033,указатели,установка табличек.,AI
5034,взятка,предоставление выгоды должностному лицу за ответную услугу,AI
5035,оператор,"женщина, которая что-то эксплуатирует",AI
5036,операционная прибыль,прибыль за период без разовых эффектов,AI
5037,фотоматериалы,общее обозначение фотографий,AI
5038,министр образования (жен.),"женщина, возглавляющая министерство образования",AI
5039,внутренний рынок,"экономическое пространство с определенными географическими границами, в котором свободно перемещаются товары, услуги, капитал и работники",AI
5040,биомасса,общая органическая масса живых или мертвых организмов,AI
5041,конференция епископов,"собрание епископов; орган, координирующий всех епископов определенного региона",AI
5042,кровавое преступление,умышленное убийство при квалифицированных обстоятельствах,AI
5043,полицейский,английский полицейский,AI
5044,угроза взрыва,"угроза, что в определенном месте размещена бомба",AI
5045,бомбардировщик,самолет для поражения наземных или морских целей,AI
5046,босниец,гражданин Боснии и Герцеговины,AI
5047,посол (жен.),высшая дипломатическая представительница государства за границей,AI
5048,бульвар,"широкая парадная или кольцевая улица, часто обсаженная деревьями",AI
5049,традиции,совокупность обычаев определенного сообщества,AI
5050,Брайсгау,регион в Баден-Вюртемберге,AI
5051,бридж,карточная игра из Англии для четырех человек с французской колодой (52 карты),AI
5052,бронзовая медаль,награда за третье место в соревновании,AI
5053,Бухарест,столица Румынии,AI
5054,матч Бундеслиги,игра футбольной Бундеслиги,AI
5055,федеральный партийный съезд,собрание делегатов партии на федеральном уровне,AI
5056,фракция Бундестага,представительство партии в Бундестаге (законодательном органе Германии),AI
5057,автобусный маршрут,"транспортная линия, обслуживаемая автобусами",AI
5058,Кембридж,город в Англии,AI
