id,translate,translate_description,source
7201,разногласие,различие во мнениях,AI
7202,докторская диссертация,научная работа для получения степени доктора,AI
7203,домен,"именное пространство для идентификации компьютеров в интернете, часть URL",AI
7204,площадь у собора,площадь у кафедрального собора,AI
7205,Драва,река в Австрии и на Балканах,AI
7206,место съемки,"локация, где ведутся съемки",AI
7207,вращение,процесс вращения вокруг центра,AI
7208,троеборье,соревнование из трех дисциплин с общей оценкой,AI
7209,наркосцена,"среда, где сходятся для торговли или употребления наркотиков",AI
7210,дрогери,"магазин, продающий лечебные средства, питание, косметику и уход",AI
7211,типография,"предприятие, где печатают книги, брошюры, газеты и т. п.",AI
7212,джихад,борьба с внутренним злом ради морального совершенствования,AI
7213,терпимость,проявление терпимости к кому‑то или чему‑то,AI
7214,желудь,"плод дерева, особенно бука и дуба",AI
7215,эгоизм,"установка, когда важна только собственная выгода",AI
7216,почетный гость,"гость, который особенно почитается и пользуется льготами",AI
7217,содержание,содержание,AI
7218,заход,действие — зайти в заведение,AI
7219,управление операцией,задача руководить и координировать операцию,AI
7220,экономия,"сокращение расхода, часто денег",AI
7221,настройка,подготовка к чему‑то,AI
7222,входной билет,"документ, дающий право посещать мероприятие как зритель",AI
7223,стоимость входа,плата за вход на объект или мероприятие,AI
7224,назначение,поручение функции,AI
7225,согласие,"действие по одобрению того, что касается человека",AI
7226,экстаз,состояние восторга и транса с потерей контроля над сознанием,AI
7227,электрик,"ремесленник, работающий в области электротехники",AI
7228,электротехника,инженерная наука о техническом применении электричества,AI
7229,эмиссия,выпуск новых ценных бумаг,AI
7230,конечная точка,крайняя точка,AI
7231,получение энергии,производство электричества или тепла,AI
7232,экспроприация,принудительное лишение частной собственности властью,AI
7233,отчуждение,"чувство чуждости, непринадлежности",AI
7234,воздержание,"добровольный отказ от удовольствий, еды или питья",AI
7235,энтузиазм,переживаемое воодушевление,AI
7236,наследство,"имущество умершего, переходящее наследникам",AI
7237,налог на наследство,"налог, зависящий от степени родства и размера наследства",AI
7238,следственная группа,группа для расследования,AI
7239,эротика,физическое и психическое влечение между людьми,AI
7240,скамейка запасных,резервная скамейка в спорте,AI
7241,извержение,"вулканический выброс лавы, камней и пепла",AI
7242,архиепархия,церковный округ архиепископа,AI
7243,заклятый враг,"самый злейший, давний враг",AI
7244,сова,ночная хищная птица с коротким крючковатым клювом и большими глазами,AI
7245,депутат Европарламента (жен.),избранная представительница в Европейском парламенте,AI
7246,Совет Европы,международная организация в Европе,AI
7247,оценка,профессиональная оценка и анализ,AI
7248,экскурсия,учебная поездка под научным руководством,AI
7249,профессиональное сообщество,совокупность специалистов определенной области,AI
7250,фарватер,маркированный путь в мелководье для безопасного судоходства,AI
7251,семейный круг,"группа людей, принадлежащих к семье",AI
7252,министр по делам семьи (жен.),руководительница министерства семьи,AI
7253,семейный день,"день, когда семья собирается вместе",AI
7254,фарс,грубая комедия; вставка между спектаклями,AI
7255,удар кулаком,удар кулаком,AI
7256,фаворитка,"женщина, которую предпочитают",AI
7257,ложная тревога,ложный сигнал без опасности,AI
7258,вражда,враждебная позиция,AI
7259,дом для отпуска,дом для временного пребывания в свободное время,AI
7260,курортный остров,"остров, популярный для отдыха туристов",AI
7261,квартира для отпуска,жилье для временного пребывания в отпуске,AI
7262,бинокль,оптический прибор для наблюдения на расстоянии,AI
7263,телебашня,башня с передающим оборудованием для радио и ТВ,AI
7264,фикция,выдуманная история,AI
7265,фиеста,испанский праздник,AI
7266,кинорежиссер (жен.),"женщина, снимающая игровые, короткие или документальные фильмы",AI
7267,кинофестиваль,кинофестиваль,AI
7268,история кино,прошлое кинематографа,AI
7269,финальный раунд,последний круг соревнования,AI
7270,финансовый сервис‑провайдер,поставщик финансовых услуг,AI
7271,финансовый центр,город или страна с важным финансовым рынком,AI
7272,финансовая система,"совокупность элементов, связанных с денежными потоками",AI
7273,нашедший,"человек, который что‑то нашел",AI
7274,история компании,история предприятия,AI
7275,штаб‑квартира,"место, где находится компания",AI
7276,вспышка,короткая вспышка; краткий эффект,AI
7277,фолк,народная музыка; фолк‑музыка,AI
7278,научная работа,работа с целью исследования,AI
7279,научный институт,"институт, занимающийся исследованиями",AI
7280,исследовательский центр,научный центр для сотрудничества исследователей,AI
7281,продолжение записи,"дальнейшее ведение, пролонгация",AI
7282,заседание фракции,заседание фракции,AI
7283,дерзость,нахальная манера; дерзость,AI
7284,музей под открытым небом,"музей, где строения и предметы доступны на воздухе",AI
7285,движение за мир,"организация или группа, выступающая за предотвращение войн",AI
7286,лягушка,земноводное без хвоста с длинными задними ногами,AI
7287,плодовитость,способность размножаться; продуктивность,AI
7288,возчик,"мужчина, управляющий повозкой",AI
7289,гэг,комическая вставка,AI
7290,гонорар,вознаграждение артистам,AI
7291,газовый баллон,стальная емкость для транспортировки и хранения газов,AI
7292,подержанный автомобиль,"автомобиль, бывший в употреблении",AI
7293,дата рождения,"дата, когда человек родился",AI
7294,противовес,"то, что уравновешивает",AI
7295,удержание заложников,содержание людей как заложников по распоряжению властей,AI
7296,зал общины,"зал, доступный общине",AI
7297,правление общины,руководство общины,AI
7298,общинный центр,здание религиозной общины для социальных и административных задач,AI
7299,генерал‑майор,генеральское звание,AI
7300,джентльмен,очень вежливый мужчина с хорошими манерами,AI
