id,translate,translate_description,source
10101,вольноотпускная грамота,документ о разрешении или освобождении от запрета/крепостной зависимости,AI
10102,лишение свободы,ограничение личной свободы по решению властей или суда,AI
10103,ксенофобия,негативное или враждебное отношение к иностранцам,AI
10104,заимствованное слово,слово из другого языка с минимальной адаптацией,AI
10105,мирная инициатива,инициатива по установлению мира и началу переговоров,AI
10106,политика мира,"политика, направленная на достижение/сохранение мира",AI
10107,миротворчество,меры по поддержанию мира,AI
10108,корм,"то, чем кормят животных",AI
10109,галерист,владелец художественной галереи,AI
10110,гальюнная фигура,деревянная фигура на носу парусника,AI
10111,гамма,название третьей греческой буквы,AI
10112,садоводство,"интенсивное выращивание цветов, фруктов и овощей",AI
10113,город‑сад,город с большим количеством садов и зелёных зон,AI
10114,цена на газ,денежная сумма за газ на рынке,AI
10115,принимающая семья,"семья, принимающая гостя на определенный срок",AI
10116,гостевая колонка,комментарий приглашенного автора,AI
10117,кляча,плохая лошадь,AI
10118,манера,характерное поведение,AI
10119,начальник разведки,руководитель спецслужбы,AI
10120,разведчик,сотрудник разведслужбы,AI
10121,тайная полиция,тайно действующая полиция с особыми полномочиями,AI
10122,захватчик заложников,"человек, лишающий других свободы",AI
10123,банкомат,автомат выдачи наличных,AI
10124,денежная масса,вся масса денег в обращении,AI
10125,муниципальное объединение,союз административных единиц,AI
10126,генеральный инспектор,самый высокий по рангу солдат Бундесвера,AI
10127,генеральный консул,"старший консул, руководитель генерального консульства",AI
10128,поколенческий договор,"соглашение, по которому работающие финансируют пенсии старших",AI
10129,товарищ,"человек, сопровождающий другого в делах или жизни",AI
10130,геометрия,наука о свойствах фигур на плоскости и в пространстве,AI
10131,юрисдикция,право осуществлять правосудие,AI
10132,полное собрание,полное произведение автора/художника,AI
10133,призрак,дух; часто пугающее сверхъестественное существо,AI
10134,дизайнер,"человек, который что‑то оформляет",AI
10135,реформа здравоохранения,крупная законодательная перестройка системы здравоохранения,AI
10136,охрана здоровья,"меры и правила, защищающие здоровье людей",AI
10137,восстановление,путь к возвращению состояния здоровья,AI
10138,зона прибыли,область с прибылью,AI
10139,дерганье,долгое резкое таскание,AI
10140,жираф,"крупное травоядное с длинной шеей, обитающее в африканских саваннах",AI
10141,уравнение,"формула, утверждающая равенство двух значений",AI
10142,жар,"тлеющий материал, горение без пламени",AI
10143,грамматика,языковые знания с правилами и лексикой,AI
10144,грифон,мифическое существо с головой орла и телом льва,AI
10145,грот,"пещера, обычно короткая, иногда искусственная",AI
10146,землевладелец,"человек, имеющий земельную собственность",AI
10147,земельный реестр,реестр прав и фактов по недвижимости,AI
10148,линия поля,"линия в спортивном поле, ограничивающая его",AI
10149,ключевая проблема,центральная основная проблема,AI
10150,принципиальный вопрос,вопрос принципиального значения,AI
10151,основа,исходный набор доступных вещей,AI
10152,полумесяц,"луна, освещенная наполовину",AI
10153,турнир в зале,"соревнование, проходящее в помещении",AI
10154,хомяк,сумеречный грызун семейства хомяковых,AI
10155,ручная граната,"металлический корпус со взрывчаткой, бросаемый рукой",AI
10156,перчатка,одежда для защиты или согрева руки и пальцев,AI
10157,конопля,род цветковых растений Cannabis,AI
10158,ангар,большой крытый зал для хранения и ремонта летательных аппаратов,AI
10159,Хаслингер,фамилия,AI
10160,главная аттракция,самая впечатляющая из нескольких,AI
10161,аттестат Hauptschule,школьный аттестат о завершении основной школы,AI
10162,главное произведение,важнейшая работа автора,AI
10163,визит на дом,посещение клиента/пациента на дому,AI
10164,бюджетные дебаты,обмен мнениями в парламенте о бюджете,AI
10165,домработница,"человек, помогающий по дому",AI
10166,домохозяин,"мужчина, ведущий домашнее хозяйство",AI
10167,авария,"крупное повреждение, особенно в транспорте",AI
10168,слушания,опрос и заслушивание экспертов комиссией,AI
10169,гегемония,доминирующее положение и власть,AI
10170,гектолитр,единица объема: 100 литров,AI
10171,понижение,действие по уменьшению,AI
10172,господский дом,дом владельца сельхозпоместья,AI
10173,акция помощи,мероприятие с целью помочь,AI
10174,скоростной поезд,"поезд, идущий более 270 км/ч",AI
10175,экономический бум,фаза высокого экономического роста,AI
10176,высокое напряжение,электрическое напряжение свыше 1000 вольт,AI
10177,высокие технологии,очень передовая техника,AI
10178,придворная свита,совокупность служащих и приближенных монарха,AI
10179,полость,пустое или заполненное жидкостью или газом пространство внутри твердого тела,AI
10180,деревянный дом,"дом, полностью построенный из древесины",AI
10181,Хорнунг,"старое название февраля, второго месяца года",AI
10182,собачий помет,"фекалии, происходящие от собаки",AI
10183,идиллия,"состояние простой, мирной жизни",AI
10184,пыл,сильная самоотдача чувству или делу,AI
10185,индивидуализация,тенденция уделять внимание свободе и самостоятельности личности,AI
10186,информационные технологии,наука и область информационной техники,AI
10187,иннунг,объединение ремесленников одного ремесла,AI
10188,интеллект,способность мыслить и познавать; разум,AI
10189,временной промежуток,промежуточное время,AI
10190,исламист,сторонник исламского фундаментализма,AI
10191,среднегодовое значение,"среднее, рассчитанное по значениям за год",AI
10192,перекус,легкая еда между основными приемами пищи,AI
10193,жокей,наездник на скаковой лошади,AI
10194,молодежная культура,культурные активности и стили молодежи,AI
10195,молодежный оркестр,оркестр из молодежи,AI
10196,театр для молодежи,театр для подростков,AI
10197,камерная пьеса,пьеса для небольшой сцены,AI
10198,соревновательное голосование,"голосование, где соревнуются два примерно равных кандидата",AI
10199,боевое применение,участие в боевых действиях,AI
10200,список кандидатов,"перечень людей, выдвигаемых в кандидаты",AI
