id,translate,translate_description,source
12601,пот,разговорное слово для пота,AI
12602,мыльный пузырь,тонкая пленка мыльной воды,AI
12603,самоутверждение,умение отстаивать себя и свои права,AI
12604,самообязательство,"правило, наложенное на себя",AI
12605,гидроусилитель руля,рулевое управление с усилителем,AI
12606,вздох,выражение чувств с дыханием,AI
12607,секстет,группа из шести музыкантов,AI
12608,зона безопасности,особо охраняемая зона,AI
12609,слог,единица речи,AI
12610,кремний,химический элемент номер 14,AI
12611,петрушка,петрушка,AI
12612,Синай,полуостров в Египте,AI
12613,потоп,всемирный потоп из Библии,AI
12614,ска,"жанр музыки, возникший на Ямайке",AI
12615,слэпстик,комедия с физическими трюками,AI
12616,солярий,устройство для загара УФ-светом,AI
12617,летняя академия,академия в летний период,AI
12618,летний театр,театр в летний сезон,AI
12619,спецпредложение,особо выгодное предложение,AI
12620,особый класс,отдельный класс,AI
12621,особый путь,отличающийся путь или мера,AI
12622,саундчек,проверка звука,AI
12623,спецобласть,особая предметная область,AI
12624,спайк,удар в волейболе,AI
12625,топ-менеджер,руководитель высокого уровня,AI
12626,спортивная школа,школа со спортивным уклоном,AI
12627,языковой курс,курс изучения языка,AI
12628,взрывной теракт,атака с применением взрывчатки,AI
12629,лозунг,полоса с лозунгом на демонстрации,AI
12630,государственное предприятие,предприятие в собственности государства,AI
12631,государственная власть,власть государства,AI
12632,городской автобус,автобус городского маршрута,AI
12633,городской сенат,сенат города,AI
12634,Сталинград,старое название Волгограда,AI
12635,место стоянки,"место, где что-то стоит",AI
12636,стартовый взнос,плата или призовой фонд,AI
12637,каменный дом,"дом, построенный из камня",AI
12638,каменный уголь,твердый уголь с высокой теплотой,AI
12639,стела,каменный столб с надписью,AI
12640,стебель,стебель растения,AI
12641,налоговая льгота,снижение налогов,AI
12642,стюардесса,обслуживающий персонал на борту,AI
12643,вышивка,декорирование ткани нитями,AI
12644,радиационная нагрузка,облучение,AI
12645,опора ЛЭП,"высокая стойка, несущая электропровода",AI
12646,студенческое движение,совокупность протестных действий студентов,AI
12647,трюк,опасное или акробатическое действие,AI
12648,Суматра,остров в Индонезии,AI
12649,симметрия,зеркальное равенство,AI
12650,ИТ‑поставщик,"компания, предоставляющая ИТ‑услуги",AI
12651,дневная ставка,фиксированная сумма в день,AI
12652,победитель дня,победитель дня,AI
12653,место проведения,"место, где проходит конференция",AI
12654,Тай,имя; также регион в Таиланде,AI
12655,Ташкент,столица Узбекистана,AI
12656,технологический центр,"центр, где исследуют и разрабатывают технологии",AI
12657,тинейджер,человек 13–19 лет,AI
12658,телефонный справочник,книга или список телефонных номеров,AI
12659,телефонная будка,кабина для общественного телефона‑автомата,AI
12660,ковролин,ковровое покрытие пола,AI
12661,фокус темы,основной акцент темы,AI
12662,термальный курорт,купальня с водой из термального источника,AI
12663,тембр,характеристическая окраска звука,AI
12664,герой названия,"персонаж, названный в заголовке",AI
12665,торс,туловище статуи без головы и конечностей,AI
12666,череп,голова умершего,AI
12667,покойничья вахта,дежурство у тела умершего,AI
12668,туристическая экономика,экономический сектор туризма,AI
12669,Траунер,фамилия,AI
12670,модный вид спорта,"вид спорта, набирающий популярность",AI
12671,триатлет,спортсмен по триатлону,AI
12672,свисток,маленький сигнальный инструмент с трелью,AI
12673,питье,жидкость для употребления,AI
12674,вывод войск,отвод войск,AI
12675,место сборов,"место, где часто собираются люди с общими интересами",AI
12676,тутти,все в музыке,AI
12677,инверсия,"обращение, противоположность",AI
12678,перераспределение,новое распределение средств,AI
12679,переобучение,новая профессиональная подготовка,AI
12680,подрывная деятельность,подстрекательская активность,AI
12681,огромное количество,очень большое количество,AI
12682,непосредственность,"свойство быть прямым, без посредников",AI
12683,подкомитет,"комитет, подчиненный вышестоящему",AI
12684,развлекательная музыка,"популярные жанры, служащие развлечению",AI
12685,подразделение компании,часть компании,AI
12686,младшие классы,нижняя ступень школы,AI
12687,результат исследования,итог исследования,AI
12688,неправда,"то, что не является истиной",AI
12689,веранда,"открытая пристройка к дому, часто с крышей",AI
12690,проступок,действие против морали или правил,AI
12691,результат переговоров,итог переговоров,AI
12692,транспортное предприятие,"предприятие, обслуживающее транспорт",AI
12693,туристическое общество,"общество, занимающееся туризмом",AI
12694,рыночная стоимость,стоимость на рынке,AI
12695,издательский дом,конкретное издательство,AI
12696,соблазн,"качество, привлекающее внимание",AI
12697,война на уничтожение,война с целью уничтожить инфраструктуру и население,AI
12698,стих,метрическая строка стихотворения,AI
12699,неудачник,"человек, часто не достигающий ожидаемого",AI
12700,страховая компания,"компания, предоставляющая страхование",AI
